0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,,,,,
,,,,,,,,,,,October,November,,,,January,Februaiy,March,April,,May,,June,,July,,August,September,October,November,December
,,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1969,3.7,3.3,3.0,3.4,,3.5,,3.8,,5.4,,3.9,4.3,4.8,4.0,2 .8,2.1
,,,,,,,,,,,,,,1970,2 .8,2.9,2.5,2 .6,,2 .6,,2 .8,,3.9,,3.0,3.5,3.4,2.7,1.9,1.4
1932,4.1,4.9,3.3,3.3,3.4,3.1,3.3,4.0,5.4,6.3,4.5,3.7,3.6,,,,,,,,,,,,,,,,,,
1933,6.5,4.0,3.0,,,,,,,,,,,1971,2 .6,2.0,1.9,2 .2,,2.3,,2.7,,3.5,,2.7,3.4,3.4,2.7,2 .2,1.6
,,,,2 .6,5.9,8 .6,1 2 .0,1 1 .6,10.4,6.9,4.9,4.4,4.0,,,,,,,,,,,,,,,,,,
1934,5.7,6.7,7.8,7.4,6.3,5.0,4.4,,,,,,,1972,3.3,2.6,2.4,2.7,,2.9,,3.6,,4.1,,3.4,4.4,4.3,3.8,2.9,2 .0
,,,,,,,,4.9,4.1,4.5,5.0,5.2,7.1,,,,,,,,,,,,,,,,,,
1935,5.1,7.3,4.9,4.5,4.4,3.6,3.9,5.5,,,,,,1973,3.9,3.5,3.2,3.5,,3.6,,4.4,,5.0,,4.1,5.0,4.7,4.3,3.0,2 .0
,,,,,,,,,5.9,6.3,6.3,4.3,3.9,,,,,,,,,,,,,,,,,,
1936,5.3,4.3,3.5,,,,,,,,,,,1974,3.2,3.2,2.7,3.0,,3.3,,3.9,,4.3,,3.7,4.2,3.9,2.9,1.7,1.0
,,,,4.7,5.4,4.9,5.5,6.5,6 .1,6.4,5.8,5.5,5.1,,,,,,,,,,,,,,,,,,
1937,,,,,,,,,,,,,,1975,,1.3,1.2,1.3,,1.6,,2 .0,,2.5,,,,,,,
,4.3,5.3,5.5,5.5,4.8,4.3,4.5,4.5,4.4,4.8,3.4,2 .2,2.5,,,,,,,,,,,,,,,,,,
1938,4.7,4.4,3.6,3.6,3.1,3.3,4.2,6.3,6.9,5.7,6.3,5.0,3.7,,,,,,,,,,,,,,,,,,
1939,5.0,4.7,3.6,3.9,3.5,3.9,,,,,,,,,,,,,,SEPARATIONS  PER  100  EMPLOYEES,,,,,,,,,,,
,,,,,,,4.8,5.5,6 .6,7.8,7.2,4.9,3.3,,,,,,,,,,,,,,,,,,
1940,5.4,4.3,3.5,3.4,3.7,4.1,5.9,6.3,8.5,7.8,6.7,5.6,4.8,1930,5.9,5.8,5.3,5.9,,6 .0,,6 .0,,6 .6,,7.1,6 .8,6 .2,5.7,4.8,4.5
1941,6.5,6.4,5.7,6 .6,7.3,7.2,7.7,7.9,7.0,6.5,5.9,4.7,5.6,1931,4.8,3.3,3.1,3.3,,3.9,,4.4,,6 .2,,5.6,4.4,7.0,7.8,4.8,4.2
1942,9.3,8 .0,7.0,8 .2,8 .6,8.7,1 0 .2,10.9,1 0.2,1 1 .6,1 0.6,9.7,8.1,1932,5.2,3.9,3.8,4.9,,6.5,,6 .0,,6.9,,6 .2,4.5,5.6,4.4,4.1,5.1
1943oh,9.1,9.6,9.2,9.8,8.9,8 .6,10.3,10.3,9.8,9.7,8.7,7.9,6.1,1933,4.5,4.2,5.0,5.0,,3.2,,2.7,,3.1,,4.3,4.0,5.4,5.8,5.9,5.7
1944,7.4,7.5,6.4,6 .8,6 .6,7.6,9.3,8.3,8.1,7.7,7.3,7.3,6.0,1934,4.9,4.0,3.4,3.6,,3.8,,5.7,,5.7,,4.7,5.4,6.5,6.7,5.6,4.2
1945,7.7,8 .1,5.9,5.8,5.7,6 .0,7.2,7.6,7.6,9.3,10.4,10.5,8.1,1935,4.3,3.5,3.2,3.7,,4.2,,5.1,,5.6,,4.4,4.5,4.1,3.9,4.4,4.6
1946,8 .1,9.8,8 .0,8.3,8 .1,7.3,8 .2,9.7,9.1,8.9,8.3,6.9,5.0,1936,4.0,4.1,3.5,3.2,,3.8,,3.9,,4.0,,3.8,5.5,4.2,4.0,3.7,4.1
