0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
,,,,,,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,,,,,
Y e a r,,,,March,,April,,May,,June,,July,,August,September,October,November,December,Year,,January,February,March,,,May,,June,,July,,,September,,,
,,,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1951,1.4,1.1,.9,,.9,1.1,,1.4,,1.2,,1.6,1.6,1.6,1.8,2 .1,1.9
,,,,,,,,,,,,,,,,,,,1952,1.4,1.6,1.4,,1.2,1.5,,1.3,,1.4,,2.7,1.2,.9,.9,.9,1.3
,,,,,,,,,,,,,,,,,,,1953,1.6,1.0,.9,,.9,1.0,,1.2,,1.1,,1.3,1.5,1.9,2.4,2.9,
1937,1.5,1.5,1.4,,1.7,,1.7,,1 .6,,2.3,,1.6,1.4,2 .0,1.4,.9,.7,,,,,,,,,,,,,,,,,,3.2
1938,.8,.6,.6,,.7,,.7,,.7,,.7,,.7,.8,1.0,1 .0,.8,.7,1954,2.3,3.2,2.4,,2.5,2.7,,2 .2,,2.1,,1.9,2.0,2.1,2 .1,2 .0,2 .2
1939,1 .0,1.1,.7,,.9,,1.0,,.8,,.9,,.9,1 .0,1.4,1.1,1.0,.8,1955,1.5,1.7,1.2,,1.4,1.4,,1.3,,1.5,,1.6,1.5,1.4,1.6,1.5,1 .8
1940oi,1.1,.7,.7,,.8,,.9,,.9,,1 .0,,1.1,1.3,1.7,1.6,1.4,1.2,1956,1.7,1.9,2 .0,,1.7,1.6,,1.9,,1.6,,1.5,1.4,1.8,1.7,1.9,1.8
,,,,,,,,,,,,,,,,,,,1957,2.1,1.7,1.5,,1.5,1.7,,1.8,,1.4,,1.6,1.9,2.3,3.0,3.4,3.4
1941,2.4,1.5,1.6,,2 .0,,2 .6,,2.5,,2 .6,,2.9,3.0,3.5,2 .6,2 .0,2.1,1958,2 .6,4.0,2.9,,3.3,3.2,,2 .6,,2 .0,,2.3,2.1,2.1,2.3,2 .2,2.4
1942,4.6,2 .8,2.9,,3.5,,4.4,,4.4,,4.8,,5.0,5.2,6.4,5.8,5.3,4.3,1959,2 .0,2.1,1.5,,1.6,1.6,,1.4,,1.4,,1.8,1.8,2 .0,3.2,2.9,2.4
1943oh,6.3,5.3,5.6,,6.4,,6 .6,,5.5,,6.4,,7.0,7.6,7.8,6.5,5.7,5.1,1960,2.4,1.8,1.7,,2 .2,2 .2,,1.9,,2 .0,,2.4,2.4,2.4,2 .8,3.1,3.6
1944,6 .2,5.4,5.5,,5.9,,6 .0,,6 .1,,6 .6,,6 .2,7.5,7.6,6 .2,5.8,5.0,,,,,,,,,,,,,,,,,,
1945,6 .1,5.4,5.1,,5.9,,5.9,,5.5,,6 .2,,6.3,7.2,7.8,6.9,6 .0,4.7,1961,2 .2,3.2,2 .6,,2.3,1.9,,1.8,,1.8,,2.3,1.8,2.1,2 .0,2 .2,2 .6
1946,5.2,5.0,4.7,,4.9,,5.2,,4.8,,4.9,,5.7,6.4,6 .6,5.8,4.7,3.5,1962,2 .0,2.1,1.7,,1.6,1 .6,,1.6,,1.6,,2 .2,2.2,1.9,2 .2,2.3,2.5
1947,4.1,4.1,3.8,,4.0,,4.5,,4.0,,3.8,,3.8,4.8,5.6,4.5,3.4,2.7,1963,1.8,2 .2,1.6,,1.7,1 .6,,1.5,,1.4,,2 .0,1.9,1.8,1.9,2 .1,2.3
1948,3.4,3.1,3.0,,3.3,,3.6,,3.2,,3.6,,3.6,4.1,4.8,3.5,2 .8,2.0,1964,1.7,2 .0,1.6,,1.6,1.4,,1.4,,1.3,,2.1,1.4,1.5,1.8,1.7,2 .1
1949,1.9,2 .0,1.7,,1.9,,2 .1,,1 .8,,1 .8,,1.7,2 .2,2 .6,1.9,1.5,1.0,1965,1.4,1.6,1 .2,,1.2,1.3,,1.1,,1.1,,1.8,1.6,1.3,1.4,1.5,1.9
1950,2.3,U,1.2,,1.4,,,,,,,,,3.5,4.2,3.4,2.7,,1966,1.2,1.3,1.0,,1.0,1.0,,.9,,1.0,,2 .0,1.1,1.0,1.1,1.3,
,,,,,,,1 .6,,1.8,,2.1,,2 .2,,,,,2 .0,,,,,,,,,,,,,,,,,,1.7
