0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,"SIC  19,24,25,32—39",,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,
,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,,February,March,April,May,June,July,August,September,October,,,,January,February,,,,,,,September,October,,
,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,1960,,1.0,,,1.1,,,1.0,,,,,
,"SIC  19,24,25,32-39 -",,,DURABLE  GOODS  (Con.),,,,,,,,,,,,,,,,,,,,.9,,
,,,,1.0,1.1,,,1.2,,,1.3,1.0,1961,,.6,,,.8,,,.9,,,1.1,,
1963,1.2,.9,.9,,,1.2,1.2,,1.8,2.0,,,,,,,,,,,,,,,,
,,1.0,,,1.2,,,1.3,,,1.4,1.1,1962,,.9,,,1.1,,,1.1,,,1.1,,
1964,1.3,,.9,1.1,,1.3,1.3,,1.9,2.5,,,,,,,,,,,,,,,,
,,1.2,,,,,,1.5,,3.2,2.0,,1963,,.8,,,1.1,,,1.1,,,1.2,,
1965,1.7,,1.1,1.4,1.5,1.6,1.6,,2.4,,,1.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,1964,,1.0,,,1.2,,,1.2,,,1.4,,
1966,2.4,1.7,1.7,2.2,2.3,2.3,2.3,2.3,3.4,4.2,2.6,1.9,,,,,,,,,,,,,,
1967,2.1,1.9,1.7,2.0,2.0,2.0,2.1,1.8,2.9,3.6,2.2,1.7,1965,,1.1,,,1.5,,,1.5,,,1.9,,
,2.2,1.8,1.7,,2.1,2.2,2.0,2.1,3.4,3.7,2.5,1.9,1966,,1.7,,,2.3,,,2.2,,,2.5,,
1968,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1967,,1.8,,,2.0,,,,,,,,
1969,2.5,2.1,1.9,2.3,2.4,2.5,2.4,2.4,3.6,4.0,2.6,1.8,,,,,,,,,1.8,,,2.1,,
,,1.9,1.7,1.7,1.8,,1.7,1.7,,2.7,1.8,1.2,1968,,1.7,,,2.1,,,2.1,,,2.5,,
1970,1.8,,,,,1.8,,,2.5,,,,,,,,,,,,,,,,,
1971,1.5,1.1,1.0,1.2,1.3,1.4,1.5,1.5,2.3,2.3,1.6,1.2,,,,,,WOMEN- ACCESSIONS  PER  100  WOMEN,,,,,,,,
1972,1.9,1.4,1.3,1.6,1.7,1.8,1.9,1.8,3.0,2.9,2.1,1.6,1958,,3.3,,,3.3,,,4.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4.7,,
1973,2.4,1.9,1.8,2.2,2.2,2.4,2.5,2.4,4.0,3.3,2.6,1.9,1959,,4.6,,,4.5,,,4.7,,,4.4,,
1974,2.0,1.8,1.7,2.0,2.0,2.3,2.2,2.2,3.5,2.8,1.9,1.2,1960,,4.4,,,3.3,,,3.8,,,3.9,,
1975,,1.0,.7,.8,.9,1.0,1.1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1961,,4.1,,,4.5,,,4.4,,,5.1,,
,,,,,,LAYOFFS  PER  100  EMPLOYEES,,,,,,,1962,,4.9,,,4.6,,,4.4,,,4.2,,
,,4.6,3.4,,3.4,,,2.5,,,2.0,1.8,1963,,4.2,,,4.0,,,4.5,,,4.2,,
1958,2.7,,,3.8,,2.8,2.2,,2.3,1.9,,,,,,,,,,,,,,,,
,,,,,1.4,,,,,,,,1964,,3.9,,,3.9,,,4.3,,,4.4,,
1959,2.0,2.0,1.5,1.5,,1.2,1.3,1.8,2.0,1.8,3.8,3.3,,,,,,,,,,,,,,
,,1.7,,,2.4,,,2.7,,,2.8,,1965,,4.3,,,4.2,,,4.5,,,5.2,,
1960,2.5,,1.8,2.5,,2.0,2.2,,2.9,2.3,,3.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,1966,,5.3,,,5.2,,,5.1,,,6.0,,
