0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,,,,,,,,,,,,,MANUFACTURING_____________________________________________,,,,,,,,,,,,,,,,SIC  19
,,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Year,,January,,,,,,July,August,,October,,,,,,,January,February,March,April,May,June,July,August,September,"Oc+,'ber",November,December
,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1947,22,21,22,22,22,22,22,22,,,,,
SIC  19 -,,ORDNANCE  AND  ACCESSORIES  (Con.),,,,,,,,,,,,,,,,,,,,,,,19,22,22,22,23
,,,,,,,,,,,,,,,,1948,23,23,23,23,23,23,23,23,23,23,23,23,23
,77.0,39.6,43.1,46.6,54.1,59.7,66.1,,,96.8,109.7,119.4,125.3,,,1949,20,23,23,23,22,21,21,19,18,18,18,19,19
1951,,,,,,,,76.9,86.6,,,,,,,,,,,,,,,,,,,,
1952,178.7,141.3,150.0,158.2,165.1,172.8,177.8,182.6,189.5,195.8,199.3,203.1,208.8,,,1950,23,19,19,20,21,21,22,22,23,25,27,28,29
1953,234.3,214.9,222.1,233.4,237.6,244.3,246.4,249.1,240.8,237.8,235.0,228.6,221.2,,,,,,,,,,,,,,,,
1954,163.3,210.7,195.7,180.4,169.0,158.2,153.8,150.3,148.3,149.8,148.5,147.3,147.0,,,1951,59.3,31.0,33.7,36.3,42.0,46.3,51.0,60.7,67.8,74.0,84.0,91.0,94.2
1955,141.2,146.3,144.1,144.9,142.9,141.9,141.4,141.8,141.3,140.6,137.4,137.1,134.6,,,1952,130.2,105.4,110.3,115.2,120.5,126.3,129.3,130.7,136.3,141.4,143.9,148.7,153.9
1956,138.5,135.6,135.0,134.9,135.5,136.1,137.9,139.1,138.1,141.2,141.4,142.7,144.9,,,1953,173.6,159.2,165.0,173.2,176.1,181.0,182.1,184.8,179.2,177.4,174.6,167.8,162.8
,140.2,144.8,144.0,144.0,143.7,142.2,,141.4,142.0,,,,131.7,,,1954,113.1,155.1,143.1,129.5,118.3,108.8,105.0,102.2,99.4,100.8,99.3,98.1,97.9
1957,,,,,,,141.6,,,139.0,134.9,132.6,,,,,,,,,,,,,,,,,
,158.1,131.4,136.3,140.4,145.3,149.4,155.0,160.4,165.7,170.5,173.0,181.9,187.3,,,1955,91.7,96.9,95.1,95.5,93.5,92.9,92.1,91.6,91.0,90.0,87.7,87.9,86.5
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,203.5,192.6,195.3,199.1,199.3,200.1,201.9,205.2,205.7,209.1,209.2,211.4,212.7,,,1956,84.9,86.8,85.7,83.9,85.0,84.5,84.7,83.7,82.0,84.4,85.0,85.6,86.9
,220.0,212.8,214.4,215.2,214.9,215.1,215.0,214.2,220.9,223.9,,232.3,235.9,,,1957,80.4,85.1,84.4,84.4,83.9,82.2,81.7,79.9,81.2,78.8,75.4,74.1,73.1
1960,,,,,,,,,,,225.9,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1958,82.4,72.8,74.7,76.6,79.0,80.2,82.4,82.1,83.3,86.0,86.0,91.2,94.2
1961,244.2,237.5,239.2,241.0,240.2,240.3,241.2,243.6,244.8,247.7,249.8,252.1,252.9,,,1959,98.0,96.2,96.4,97.9,97.7,97.5,97.5,97.6,97.0,99.7,99.7,99.1,99.7
