0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1973,518.4,503.1,505.2,506.6,511.0,515.2,525.5,529.6,528.3,526.9,523.7,523.7,522.4,1972,210.12,200.70,202.21,204.62,207.87,207.77,207.87,211.04,213.50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,216.48,210.65,220.01,216.24
1974,522.0,523.1,518.4,518.5,519.2,518.7,529.2,532.4,527.9,525.9,522.2,519.6,508.8,1973,230.74,223.63,219.47,220.42,224.35,222.50,224.80,229.61,,,,,
,,,,,,,,,,,,,,,,,,,,,,,233.78,241.92,233.54,250.65,240.02
1975,,506.7,502.2,496.6,482.6,471.3,464.7,,,,,,,1974,263.08,242.43,238.76,241.54,259.12,260.53,264.50,267.26,269.69,284.57,,,
,,,,,,,,,,,,,,,,,,,,,,,,,273.98,278.39,277.17
,,,,,,,,,,,,,,1975,,276.08,278.18,275.02,269.70,266.42,267.11,,,,,,
,,,,,,WOMEN  EMPLOYEES -   IN THOUSANDS,,,,,,,,,,,,,,,,,,,,,
1958,,23.1,,,21.7,,,21.5,,,21.3,,,,,,,PRODUCTION-WORKER AVERAGE  HOURLY EARNINGS -   IN  DOLLARS,,,,,,,,,
1959,20.6,21.3,21.6,22.0,22.4,22.6,23.0,22.7,16.2,15.5,15.0,21.9,22.7,1951,1.92,1.92,1.89,1.91,1.91,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1.90,1.93,1.94,1.90,1.95,1.91,1.92,1.93
,22.2,23.2,23.0,22.9,23.0,23.0,22.7,22.5,22.1,21.9,21.1,20.6,20.1,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,1952,2.02,1.94,1.92,1.92,1.91,1.91,1.96,1.94,2.07,2.16,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2.11,2.13,2.14
,,,,,,,,,,,,,,1953,2.19,2.18,2.13,2.13,2.13,2.14,2.17,2.23,2.23,2.30,2.22,2.21,2.21
1961,20.4,19.9,20.0,20.1,20.4,20.3,20.6,20.8,20.9,20.8,20.5,20.4,20.6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1954,2.23,2.21,2.18,2.18,2.17,2.19,2.22,2.27,2.24,2.30,2.27,2.28,2.28
1962,19.9,20.8,20.9,20.9,21.0,20.6,20.3,19.8,19.3,19.1,18.7,18.5,18.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1955,2.41,2.30,2.29,2.30,2.31,2.32,2.35,2.51,2.48,2.56,2.49,2.50,2.51
1963,18.8,18.2,18.3,18.5,18.7,19.1,19.5,19.7,19.1,18.9,18.6,18.4,18.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1956,2.57,2.52,2.51,2.51,2.52,2.53,2.53,2.54,2.57,2.66,2.64,2.66,2.67
1964,19.1,18.2,18.4,18.6,18.8,18.9,19.3,19.5,19.6,19.4,19.4,19.4,19.5,1957,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2.73,2.71,2.67,2.67,2.68,2.66,2.68,2.77,2.78,2.81,2.78,2.77,2.77
1965,19.6,19.5,19.5,19.5,19.7,19.8,20.2,20.5,20.4,19.8,19.2,18.9,18.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1958,2.91,2.81,2.79,2.80,2.81,2.80,2.85,2.97,2.99,3.02,3.01,3.02,3.02
1966,19.9,18.7,18.9,19.2,19.3,19.6,20.0,20.5,20.6,20.6,20.4,20.3,20.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1959,3.10,3.07,3.07,3.09,3.12,3.11,3.13,3.13,3.12,3.17,3.10,3.02,3.11
1967,20.5,20.2,20.4,20.5,20.4,20.4,20.7,20.9,20.9,20.5,20.2,20.3,20.3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1960,3.08,3.14,3.11,3.10,3.12,3.06,3.07,3.06,3.03,3.04,3.02,3.01,3.09
,20.7,20.5,20.6,20.8,20.8,21.1,21.5,21.8,21.2,20.3,20.1,20.0,20.1,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,21.5,20.6,20.3,20.3,20.5,21.0,21.7,22.1,22.4,22.5,22.2,21.9,22.4,1961,3.20,3.11,3.11,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3.12,3.15,3.17,3.19,3.21,3.19,3.21,3.26,3.28,3.29
1970,21.9,22.0,22.2,22.3,22.3,22.1,22.4,22.5,22.2,21.9,21.1,20.9,20.6,1962,3.29,3.32,3.33,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3.33,3.32,3.27,3.28,3.28,3.26,3.28,3.27,3.28,3.28
,,,,,,,,,,,,,,1963,3.36,3.30,3.32,3.34,3.44,3.38,3.39,3.37,3.33,3.35,3.33,3.33,3.36
1971,20.1,20.7,20.5,22.7,20.7,20.5,20.9,20.7,20.1,18.9,18.5,18.3,18.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1964,3.41,3.35,3.37,3.37,3.39,3.40,3.39,3.38,3.40,3.52,3.43,3.42,3.43
1972,18.8,18.2,17.9,18.5,18.7,18.8,19.1,19.2,19.1,19.1,18.9,18.9,19.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1965,3.46,3.44,3.44,3.45,3.48,3.43,3.46,3.47,3.43,3.49,3.47,3.47,3.50
,20.3,19.1,19.2,19.3,19.6,19.9,20.3,20.5,20.8,20.8,21.2,21.1,21.2,,,,,,,,,,,,,,
1973,,,,,,,,,,,,,,1966,3.58,3.53,3.54,3.56,3.59,3.59,3.60,3.61,3.59,3.61,3.59,3.58,3.56
1974,22.1,21.2,21.1,21.1,21.3,21.5,22.0,22.3,26.8,22.2,22.1,22.2,21.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1967,3.62,3.58,3.56,3.59,3.56,3.58,3.58,3.61,3.65,3.67,3.64,3.70,3.72
1975,,21.8,22.9,22.7,22.5,21.7,21.6,,,,,,,1968,3.82,3.74,3.72,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3.75,3.84,3.78,3.78,3.80,3.84,3.90,3.89,3.89,3.95
,,,,,,,,,,,,,,1969,4.09,3.98,3.98,3.99,4.05,4.04,4.04,4.09,4.18,4.22,4.18,4.17,4.17
,,,,,PRODUCTION  WORKERS -   IN  THOUSANDS,,,,,,,,,1970,4.22,4.13,4.12,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4.14,4.13,4.17,4.17,4.19,4.30,4.41,4.29,4.27,4.33
1958,432.2,460.8,438.9,425.1,405.3,406.2,422.3,415.5,422.2,437.2,447.9,450.0,454.7,,,,,,,,,,,,,,
1959,414.7,459.5,480.7,505.9,519.8,528.1,535.2,516.6,139.4,130.5,124.7,496.8,538.8,1971,4.57,4.35,4.36,4.40,4.46,4.40,4.48,4.41,4.75,4.85,4.85,4.86,4.99
1960,470.5,541.5,542.5,536.5,521.1,505.0,478.7,448.3,440.3,424.8,417.3,401.6,388.5,1972,5.15,5.03,5.03,5.04,5.07,5.08,5.07,5.11,5.22,5.28,5.24,5.34,5.30
See footnotes  at  end  o f tables.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1 2 2,,,,,,,,,,,,,,
