0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,,,SIC  3312,
,Annual,,,,,,,,,,,,,,Annual,,,,,,,,,,,,,,,,
Year,,January,February,March,April,May,June,July,August,September,October,November,December,Year,,January,February,March,April,,May,,June,,July,,August,September,October,November,December
,Average,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1970,2.7,2.7,2.2,2.3,,2.6,,3.2,,4.9,,2.4,2.4,2.5,1.9,2.2,
SIC  3312  -,,"BLAST  FURNACES,  AND  STEEL MILLS  (Con.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
,,,,,,,,,,,,,5.84,1971,3.5,4.3,3.7,3.4,,2.7,,2.8,,3.0,,1.4,3.3,4.4,4.8,3.8,4. i
1973,5.56,5.35,5.34,5.35,5.38,5.44,5.43,5.48,5.73,5.76,5.71,5.87,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1972,3.1,5.4,4.7,4.1,,3.1,,3.4,,3.3,,2.3,2.6,2.3,2.1,1.9,$0
1974,6.37,5.87,5.91,592,6.04,6.37,6.42,6.44,6.61,6.68,6.65,6.79,6.81,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1973,2.5,2.9,2.6,2.6,,2.6,,3.4,,3.8,,2.5,2.6,2.3,2.0,1.6,1.3
1975,,6.80,6.92,6.91,6.88,6.92,6.92,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1974,2.0,2.1,1.6,1.7,,1.8,,3.2,,3.2,,2.0,2.0,1.8,1.8,1.4,1.8
,,,,,PRODUCTION-WORKER  AVERAGE  WEEKLY  HOURS,,,,,,,,,1975,,2.6,2.1,1.6,,2.0,,2.4,,3.7,,,,,,,
1951,40.8,40.5,39.8,40.9,41.2,40.7,41.3,40.7,40.1,40.9,40.3,40.9,41.8,,,,,,,hlFW   H I R F S   P F R,,,ID O   F M P I f l Y F F S,,,,,,,,
1952,39.9,40.7,40.5,41.3,37.2,37.2,36.5,37.2,40.2,40.8,40.5,41.0,40.9,,,,,,,,,,,,,,,,,,
,40.4,41.3,40.8,40.8,40.2,41.0,40.8,40.7,40.9,39.9,40.1,39.5,39.1,1958,.3,.1,.1,.1,,. 1,,.1,,.2,,.2,.4,.4,.4,.4,.5
1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1959ac,1.6,1.0,1.9,2.4,,1.8,,1.5,,1.5,,a d,ad,a d,a d,a d,
1954,37.7,38.8,37.7,36.7,36.9,37.5,37.9,37.4,37.2,37.3,37.6,38.7,39.0,,,,,,,,,,,,,,,,,,1.2
,40.4,,39.7,40.1,40.4,,,,39.8,41.3,,,41.2,1960,.3,1.2,1.0,.5,,.3,,.2,,.3,,.2,.2,.1,.1,a «,a «
1955,,39.6,,,,40.8,40.9,40.0,,,40.5,40.6,,,,,,,,,,,,,,,,,,,
1956,40.4,41.7,40.2,40.2,40.3,40.5,40.6,38.1,38.6,41.1,40.4,40.2,40.8,,,,,,,,,,,,,,,,,,
1957,39.0,40.1,40.0,39.6,39.4,39.1,39.7,39.3,38.6,38.7,37.8,37.5,37.0,1961,.4,.1,.1,.1,,.1,,.3,,.8,,.5,.6,.6,.5,.3,.5
1958,37.3,36.2,35./,36.2,36.2,36.6,37.6,37.1,37.6,38.4,38.1,38.5,38.8,1962,.4,1.1,1.1,.7,,.2,,.1,,.3,,.2,.1,.1,.1,.1,.1
1959,39.8,39J,39.1,40.7,41.1,41.1,41.6,36.6,37.3,38.1,38.0,37.9,41.3,1963,.7,.2,.4,.6,,1.2,,1.7,,1.9,,.5,.3,.3,.3,.2,.2
1960,38.0,41.2,40.1,40.0,39.5,37.9,37.7,37.2,36.5,36.5,36.0,35.2,35.3,1964,1.5,.6,1.0,1.1,,1.5,,1.8,,2.6,,1.6,1.8,2.2,1.3,1.2,.9
,,,,,,,,,,,,,,1965,1.3,1.4,1.6,1.9,,1.5,,1.5,,3.8,,1.6,.9,.7,.3,.3,.4
1961,38.7,36.2,36.5,36.9,38.1,38.8,39.6,39.9,39.2,40.2,39.5,39.1,39.8,1966,1.7,.7,1.1,1.8,,2.0,,2.2,,4.3,,1.5,1.8,2.0,1.3,.9,.5
1962,39.0,40.7,40.6,40.6,40.4,38.3,38.0,37.4,37.8,38.6,37.7,38.0,38.9,1967,1.2,.7,.8,.8,,.8,,1.1,,2.4,,1.0,1.4,1.7,1.2,1.2,1.2
