0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
SIC  3312,,,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,
,Annuel,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Year,,January,February,March,April,May,,June,,,August,September,October,November,Oec ember,Year,,Jbnuary,February,March,April,May,June,July,August,September,October,,
,Avenge,,,,,,,,,July,,,,,,,Average,,,,,,,,,,,November,December
,,,,,,,,,,,,,,,,1974,247.3,247.8,246.2,242.8,245.6,246.6,247.7,243.7,246.4,,,,
SIC  3312  -,,,"BLAST FURNACES,  AND  STEEL MILLS  (Con.)",,,,,,,,,,,,,,,,,,,,,,,249.9,251.7,251.4,247.9
,,,,,,,,,,,,,,,,1975,,243.8,233.0,228.0,228.8,223.7,222.6,,,,,,
1974,.7,.6,.5,.5,.5,.5,,,.5,.5,1.7,1.4,.6,.3,.3,,,,,,,,,,,,,,
1975,,.3,.2,.2,.2,.2,,,.2,,,,,,,,,,,,,WOMEN  EMPLOYEES -   IN THOUSANDS,,,,,,,
,,,,,,,,,,,,,,,,1950,,8.9,,,9.6,,,10.0,,,10.6,,
,,,,,,LAYOFFS  PER  100  EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,
1958,2.6,5.9,3.8,5.0,3.2,2.0,,,1.5,2.7,1.4,2.1,1.2,1.5,1.0,1951,,10.9,,,11.6,,,11.7,,,12.0,,
1959oc,.4,.7,.3,.3,.3,.2,,,.4,a d,a d,a d,a d,a d,.4,1952,,11.9,,,12.6,,,13.4,,,13.8,,
1960,3.5,.4,.9,2.0,2.2,4.1,,,4.5,4.5,4.3,3.7,5.3,4.7,4.8,1953,,14.3,,,13.5,,,12.9,,,11.7,,
,,,,,,,,,,,,,,,,1954,,10.7,,,10.1,,,9.5,,,9.3,,
1961,1.5,2.8,1.9,1.7,1.0,1.1,,,1.0,1.0,1.2,1.1,2.1,2.3,1.1,1955,,9.7,,,9.9,,,9.7,,,10.4,,
1962,2.8,.9,.5,.8,2.6,5.8,,,5.5,3.9,2.8,3.1,3.4,2.6,1.9,1956,,10.6,,,10.7,,,10.9,,,11.0,,
1963,1.7,1.5,.8,.6,.5,.4,,,.7,2.9,3.5,3.1,2.9,2.0,1.6,1957,,11.6,,,11.2,,,11.0,,,10.3,,
1964,.5,1.2,.5,.5,.4,.3,,,.3,.3,.4,.3,.5,.5,.6,1958,,10.3,,,9.5,,,9.3,,,8.9,,
1965,1.3,.5,.2,.2,.2,.3,,,.2,.4,.6,2.7,4.8,3.4,2.0,1959,9.6,9.4,9.4,9.5,9.5,9.7,9.8,9.6,9.6,9.7,9.6,9.4,9.8
1966,.5,1.0,.4,.2,.2,.3,,,.2,.2,.2,.6,.7,.9,1.1,1960,9.5,9.9,10.1,10.0,9.8,9.6,9.4,9.3,9.0,9.4,9.3,9.1,9.2
1967,.9,1.2,.7,1.1,1.2,1.0,,,.9,.8,.8,1.1,1.1,.5,.7,,,,,,,,,,,,,,
1968,1.4,.5,.3,.3,.2,.2,,,.2,1.0,4.5,4.6,2.8,1.2,.9,1961,8.8,9.0,9.0,8.9,8.6,8.7,8.8,8.7,8.6,8.6,8.5,8.9,8.8
1969,.3,.5,.2,.1,.1,.1,,,.2,.3,.4,.4,.4,.5,.9,1962,8.8,8.9,8.9,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8
1970,1.2,.6,.7,.9,1.0,.8,,,.3,.6,.7,1.2,3.0,2.7,1.5,1963,8.8,8.9,8.9,8.7,8.7,9.0,8.7,8.8,8.6,8.7,8.8,8.6,8.8
,,,,,,,,,,,,,,,,1964,8.9,8.7,8.8,8.8,8.7,8.8,8.8,9.0,9.0,9.0,8.9,9.2,9.2
1971,3.0,.8,.5,.4,.3,.6,,,1.0,4.1,13.4,4.8,4.1,3.6,2.3,1965,10.0,9.3,9.3,9.5,9.7,10.0,10.0,10.1,10.1,10.3,10.4,10.5,10.6
1972,.8,1.4,1.2,.6,.6,.6,,,.6,.5,.6,.9,.9,.6,.5,1966,11.6,10.6,10.8,10.9,11.2,11.4,11.8,11.6,11.7,12.0,12.1,12.4,12.4
1973,.4,.6,.4,.4,.2,.2,,,.2,.2,.2,.4,.6,.4,.5,1967,12.2,12.7,12.4,12.4,12.0,12.2,12.3,11.7,12.1,12.2,11.9,11.9,12.0
1974,.7,.4,.5,.5,.6,.3,,,.2,.2,.4,.6,.7,1.2,2.8,1968,11.5,11.8,11.8,11.8,11.6,11.5,11.5,11.5,11.2,11.3,11.1,11.1,11.2
1975,,2.0,1.7,2.3,3.6,3.6,,,3.4,,,,,,,1969,11.7,11.2,11.2,10.1,11.1,11.4,11.5,12.2,11.9,12.3,12.4,12.4,12.6
,,,,,,,,,,,,,,,,1970,11.9,12.7,12.4,12.3,12.4,12.2,12.1,12.1,11.5,11.4,11.3,11.4,11.4
SIC  332  -,,IRON  AND  STEEL  FOUNDRIES,,,,,,,,,,,,,,1971,10.7,11.5,11.3,11.2,11.1,11.0,10.7,10.5,10.3,10.3,10.1,9.9,9.9
,,,,,,,,,,,,,,,,1972,10.2,9.8,10.0,10.1,9.8,9.9,10.2,9.7,10.1,10.5,10.7,10.9,11.0
,,,,,A l  1,F M P I O Y F F S,-,IN,T H O U S A N D S,,,,,,,1973,12.0,11.3,11.4,11.5,11.8,11.8,11.7,11.8,12.0,12.1,12.6,12.6,13.0
,,,,,,,,,,,,,,,,1974,13.6,12.8,12.7,12.7,12.8,13.2,13.2,13.5,13.7,14.1,14.8,14.9,14.6
1939,151.3,139.5,139.9,141.2,142.6,142.7,,,142.3,142.0,146.5,151.3,167.8,179.2,180.6,1975,,14.1,13.6,13.4,13.2,13.2,13.0,,,,,,
1940,174.0,177.8,173.2,167.5,163.0,159.0,,,160.1,164.1,171.2,177.4,184.0,192.1,198.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,P R O D U C T IO N   W O R K E R S,,- IN  T H O U S A N D S,,,,,,
1941,231.8,204.4,211.9,216.9,222.7,229.2,,,235.9,241.1,243.8,245.2,243.8,244.1,242.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1939,131.1,120.8,121.2,122.3,123.5,123.6,123.4,123.0,126.9,131.0,145.3,155.2,156.4
1942,248.8,245.7,246.2,247.4,249.2,248.1,,,248.3,248.8,250.7,249.3,249.2,250.3,252.6,,,,,,,,,,,,,,
,,,,,,,,,,,,,240.6,,,1940,151.7,154.2,150.3,145.6,141.8,138.5,139.6,143.1,149.5,155.0,161.0,168.3,173.8
1943,248.7,257.4,256.8,255.7,255.8,252.3,,,250.6,248.6,246.2,241.5,,239.5,239.5,,,,,,,,,,,,,,
1944,234.6,242.7,243.0,240.1,236.0,233.3,,,232.7,231.3,232.5,230.1,229.8,231.1,232.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1941,204.7,179.5,186.3,190.9,196.0,201.9,208.1,212.9,215.5,217.0,216.0,216.5,215.7
1945,228.6,242.2,243.9,243.9,240.4,240.3,,,234.4,226.3,219.9,208.2,211.1,213.7,218.8,,,,,,,,,,,,,,
,,,,214.5,,,,,,,,,244.6,,,1942,222.3,218.4,219.1,220.2,222.0,221.3,221.7,222.4,224.4,223.4,223.5,224.8,226.8
1946,233.0,225.6,174.6,,233.3,233.1,,,235.2,242.1,242.8,246.9,,251.6,251.5,,,,,,,,,,,,,,
,,,,258.1,,257.8,,,,251.0,256.1,255.9,257.4,258.8,259.7,1943,224.2,231.4,231.1,230.4,230.7,227.8,226.5,224.7,222.3,217.8,216.5,215.8,215.6
1947,256.8,255.6,257.1,,257.5,,,,257.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,255.4,,,259.0,260.4,259.4,257.1,1944,210.2,218.2,218.2,215.6,211.7,209.0,208.5,207.0,207.9,205.7,205.2,206.4,208.7
1948,257.4,261.2,261.5,262.6,257.8,254.8,,,,247.6,252.3,,,,,,,,,,,,,,,,,,
,,,,238.4,,,,,,200.2,201.0,196.0,193.8,191.0,193.7,1945,203.0,215.8,217.1,216.8,213.5,213.4,207.9,200.7,195.1,184.7,187.2,189.6,194.1
1949,212.7,251.3,244.8,,223.3,210.9,,,208.1,,,,,,,,,,,,,,,,,,,,
1950,223.6,192.9,197.6,202.1,208.7,213.2,,,219.7,221.4,232.4,240.8,245.6,252.2',256.8,1946,207.1,202.1,154.9,190.3,206.9,206.8,208.6,215.0,215.6,219.5,217.7,223.9,224.1
,,,,,,,,,,,,,,,,1947,228.8,228.3,229.6,230.2,229.4,229.7,229.0,223.4,227.7,227.8,229.3,230.3,231.4
,267.0,260.1,264.2,267.3,269.5,270.6,,,271.5,264.8,267.3,267.0,266.9,268.1,266.7,1948,228.7,233.0,233.3,234.0,229.2,226.0,226.8,218.9,223.3,230.3,231.2,230.6,228.3
1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,264.2,261.8,258.9,257.5,257.5,,,254.4,243.8,249.6,255.2,256.0,259.6,261.0,1949,184.8,222.1,215.4,209.6,194.5,182.4,180.0,172.0,173.1,169.1,167.4,164.8,167.4
1952,256.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,256.2,,,,248.3,242.0,241.7,234.6,228.3,226.9,1950,196.4,166.9,171.5,176.0,181.6,186.3,192.7,194.4,205.0,213.1,217.6,223.2,228.0
1953,247.6,260.8,259.4,259.2,259.1,,,,254.3,,,,,,,,,,,,,,,,,,,,
1954,210.7,223.1,219.4,217.4,215.9,211.5,,,211.3,206.0,206.2,203.4,203.1,204.4,206.5,,,,,,,,,,,,,,
1955,230.5,209.9,214.5,221.2,225.2,229.7,,,230.4,230.1,233.8,238.0,241.5,244.1,247.3,1951,237.3,231.0,235.1,238.2,239.9,240.8,241.6,235.4,237.6,237.4,236.5,237.8,236.8
1956,242.9,247.5,247.0,244.1,244.3,240.1,,,238.6,237.5,240.5,238.0,244.8,245.1,247.6,1952,226.1,234.3,231.2,228.1,226.9,226.9,223.6,213.3,218.9,224.8,225.5,229.5,230.5
1957,233.5,247.3,246.2,241.1,237.8,236.0,,,235.1,230.2,231.4,224.3,228.0,223.1,222.0,1953,217.5,230.0,228.8,228.9,228.8,225.7,223.8,217.8,211.8,211.7,205.5,199.1,197.6
1958,192.4,216.0,206.5,198.1,191.3,186.4,,,185.7,183.6,180.0,187.1,181.5,194.2,198.5,1954,182.5,193.7,190.9,188.9,187.6,183.4,183.4,178.4,178.2,174.9,175.1,176.8,179.2
1959,211.8,200.4,204.3,209.0,213.0,214.6,,,219.2,217.7,214.1,215.2,215.1,203.7,215.2,1955,201.8,182.4,187.3,193.3,197.3,201.4,201.8,201.1,204.6,209.0,211.6,214.1,217.1
1960,204.7,215.0,216.7,211.0,210.9,206.3,,,209.3,203.6,197.2,200.7,197.8,195.4,192.9,1956,211.2,217.3,216.1,212.9,213.0,208.4,206.6,205.2,208.5,205.6,212.5,213.0,214.9
,,,,,,,,,,,,,,,,1957,201.0,214.7,213.0,208.3,205.0,203.4,202.7,198.0,198.8,192.0,194.9,191.0,190.0
1961,186.7,188.5,184.1,182.5,181.3,185.4,,,187.9,186.8,187.7,187.6,185.8,190.7,191.8,1958,162.7,184.4,175.3,167.5,161.0,156.5,156.1,154.4,150.8,158.3,152.5,166.0,169.5
1962,193.6,190.5,194.4,194.1,195.3,194.6,,,195.1,192.1,191.9,194.7,193.7,193.0,193.5,1959,181.5,171.3,174.8,179.3,183.1,185.0,189.0,187.1,183.1,184.3,184.2,172.7,184.2
1963,198.1,193.4,194.3,194.8,196.9,198.3,,,200.3,198.3,196.0,201.5,199.7,201.1,202.9,1960,173.3,183.8,185.0,179.4,179.3,174.8,177.9,172.1,165.8,169.5,165.9,164.4,161.9
1964,212.3,204.5,207.1,208.2,209.7,211.8,,,214.8,212.3,213.7,217.5,209.9,217.8,220.0,,,,,,,,,,,,,,
1965,227.0,221.4,223.0,222.7,227.1,227.1,,,229.5,227.5,226.7,230.5,227.6,227.5,233.4,1961,156.6,157.8,153.7,152.1,151.3,155.7,157.9,156.6,157.8,158.0,155.8,160.9,162.0
1966,240.8,234.7,236.4,236.3,238.9,239.6,,,243.6,241.8,243.5,242.8,243.3,244.1,244.8,1962,163.7,161.1,164.6,164.6,165.5,165.0,165.2,161.8,161.8,164.4,163.6,163.0,163.6
1967,231.3,247.5,243.8,239.1,234.5,234.3,,,235.8,218.2,231.4,220.8,214.8,227.6,227.3,1963,168.2,163.7,164.3,165.0,167.1,168.5,170.2,168.2,165.9,171.3,169.6,171.1,173.4
1968,225.7,227.3,226.1,224.8,224.8,225.5,,,227.6,224.1,223.3,226.6,223.8,224.9,230.1,1964,181.9,175.0,177.2,178.3,179.9,181.7,184.4,181.5,182.5,186.9,179.4,187.1,189.1
1969,235.1,233.4,235.3,231.8,232.2,234.6,,,238.3,228.5,230.1,238.4,237.8,239.7,240.8,1965,194.6,189.9,191.6,191.3,195.3,195.1,197.1,194.9,193.7,197.3,194.5,194.3,200.0
1970,228.9,240.0,239.7,237.3,236.5,234.6,,,231.8,226.2,219.7,226.1,216.0,216.8,222.4,1966,205.8,201.4,202.8,202.1,204.8,204.5,208.3,205.7,207.6,207.3,207.5,208.3,208.8
,,,,,,,,,,,,,,,,1967,195.3,211.3,207.5,202.9,198.4,198.4,199.4,182.2,195.5,184.8,179.5,192.1,191.7
1971,217.9,221.3,221.0,220.2,220.3,219.1,,,220.2,213.6,215.2,219.4,215.5,214.8,214.2,1968,189.0,191.7,190.6,189.1,189.1,188.4,190.3,186.5,185.5,188.9,187.0,188.1,193.3
1972,222.1,213.9,218.5,220.3,221.9,222.7,,,223.7,215.8,220.8,224.7,225.4,227.4,229.5,1969,197.6,196.2,198.1,194.8,195.2,197.4,200.6,190.8,192.2,200.7,200.5,202.1,202.9
1973,238.8,229.5,233.2,232.9,233.2,237.2,,,240.6,237.7,239.6,242.0,244.0,246.9,249.2,1970,190.2,201.5,200.8,198.7,197.9,196.0,193.2,187.3,181.2,187.5,176.7,177.6,183.4
See  footnotes at  end  of tables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
