0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,"SIC  19,24,25,32-39",,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,,M m a *,March,April,May,June,July,August,September,October,,,,,January,February,March,April,May,June,July,August,September,October,November,December
,,,,,,,,,,,,,,,AMerage,,,,,,,,,,,,
,,,,,,,,,,,,,,1964,112.19,108.81,109.88,110.15,111.78,112.05,113.28,111.51,112.32,113.98,111.10,,
,"SIC  19,24,25,32—39 -",,,DURABLE  GOODS  (Con.),,,,,,,,,,,,,,,,,,,,,,113.84,117.02
,,,,,,,,,,,,,,1965,117.18,115.37,115.79,117.04,115.93,117.46,117.74,116.34,115.51,117.18,118.72,119.43,120.98
,,,,,,,,,,,,,,1966,122.09,119.99,120.69,121.11,121.54,121.82,122.25,119.81,120.96,123.94,124.07,123.77,124.62
1956,"7,669","7,784","7,730","7,661","7,725","7,663","7,647","7,123","7,582","7,627","7,795",7 850,"7,838",,,,,,,,,,,,,,
,,,,,,,,,,,"7,456",7 382,"7,233",1967,123.60,122.84,120.47,121.36,121.18,122.89,123.19,122.40,123.30,125.75,125.44,125.66,129.16
1957,"7,550",7.756,"7,741","7,704","7,652","7,614","7,627","7,467","7,521","7,452",,,,,,,,,,,,,,,,,
,,,,,,,,,,,"6,495",6 841,"6,839",1968,132.07,127.70,128.23,129.68,127.58,132.29,132.92,131.02,130.29,135.01,135.85,136.36,137.61
1958,"6,579","6,957","6,730","6,567","6,402","6,334","6,404","6,329","6,405","6,639",,,,,,,,,,,,,,,,,
,,,,,,,,,,,"6,854",7^002,"7,2 3 8",1969,139.59,136.04,135.05,137.45,137.61,138.69,139.86,138.24,139.33,143.45,142.42,142.55,145.53
1959,"7,033","6,835","6,879","7,001","7,104","7,222","7,327","7,243","6,770","6,920",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"6,622",1970,143.07,141.69,140.24,142.51,141.10,142.66,144.89,143.87,143.92,145.16,142.76,143.16,149.04
1960,"7,028","7,264","7,293","7,228","7,173","7,138","7,103","6,943","6,892","6,985","6,888",6*805,,,,,,,,,,,,,,,
,,,,,,,,,,,,"6,885",,1971,153.12,148.77,148.83,150.72,150.00,153.09,154.63,151.58,151.60,152.80,154.71,155.47,162.70
1961,"6,618","6,456","6,357","6,365","6,434","6,589","6,683","6,621","6,647","6,757","6,777",,"6,845",,,,,,,,,,,,,,
,,,,,,,,,,,,,6^941,1972,167.68,159.18,161.17,163.18,165.21,166.04,168.06,164.42,166.46,171.80,171.39,173.89,178.08
1962,"6,935","6,765","6,820","6,858","6,934","6,978","7,027","6,925","6,870","7,049","7,044",7 009,,,,,,,,,,,,,,,
,,,,,,,,,,,,7435,7404,1973,180.11,173.84,176.38,176.38,178.05,178.46,179.73,177.96,177.53,183.90,182.99,184.26,189.42
1963,"7,027","6,882","6,865","6,898","6,985","7,058","7,109","7,022","6,957","7,153","7,160",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1974,190.88,181.85,182.74,184.87,179.39,189.83,191.94,189.95,192.04,198.03,199.59,198.05,202.86
1964,"7,213","7,010","7,024","7,075","7,139","7,177","7,263","7,199","7,183","7,458","7,165",7 419,"7,440",,,,,,,,,,,,,,
,,,,,,,,,,,,"7,9 9 0",,1975,,195.53,196.21,197.79,199.58,199.87,203.49,,,,,,
1965,"7,715","7,386","7,431","7,488","7,582","7,636","7,767","7,724","7,708","7,917","7,935",,M16,,,,,,,,,,,,,,
1966,"8,370","7,982","8,086","8,164","8,265","8,340","8,488","8,348","8,379","8,579","8,614","8,618","8,582",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,PRODUCTION-WORKER AVERAGE  HOURLY EARNINGS  -   IN  DOLLARS,,,,,,,,,
1967,"8,364","8,478","8,447","8,414","8,346","8,338","8,410","8,221","8,276","8,273","8,256","8,462","8,445",,,,,,,,,,,,,,
