0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,SIC  332
,,,,,,,,,,,,,,,,,Annual,,,,,,,,,,
,,,,,,,,,w y,August,,October,November,December,,Year,,Jbnuary,February,March,AprilMayJuneJuly,,August,September,October,November,December
,,,,,,,,,,,,,,,,,Average,,,,,,,,,,
,,,,,,,,,,,,,,,,1972,4.36,4.28,4.31,4.30,4.324.354.34,4.30,4.33,,,,
SIC  332  -,,IRON  AND  STEEL  FOUNDRIES  (Con.),,,,,,,,,,,,,,,,,,,,,,4.39,4.42,4.45,4.53
,,,,,,,,,,,,,,,,1973,4.77,4.64,4.64,4.64,4.744.724.75,4.76,4.74,4.85,4.89,4.89,4.94
,,182.7,182.4,,182.0,,,,,,,,,177.9,,1974,5.06,4.90,4.87,4.92,5.055.074.93,5.04,5.06,5.15,5.23,5.20,5.27
1971,180.2,,,,,182.4,181.1,182.0,175.8,177.5,182.1,178.6,178.0,,,,,,,,,,,,,,
1972,184.9,177.4,181.5,,183.4,185.1,185.9,186.8,178.3,,187.0,188.0,190.1,192.3,,1975,,5.21,5.21,5.26,5.385.355.43,,,,,,
,,,,,,,,,,182.8,,,,,,,,,,,,,,,,,
1973,200.7,192.4,195.8,,195.6,195.8,199.3,202.2,198.9,200.9,203.6,205.5,208.3,210.5,,,,,,,,,,,,,
1974,207.0,208.2,206.3,,203.5,206.2,207.1,207.9,201.8,205.4,208.7,210.5,210.7,207.1,,,,,,,PRODUCTION-WORKER  AVERAGE  WEEKLY  HOURS,,,,,,
1975,,203.1,192.9,,188.2,188.9,183.9,182.7,,,,,,,,1947,41.9,42.2,41.7,42.2,42.442.242.0,41.6,40.4,41.7,41.9,41.7,42.6
,,,,,,,,,,,,,,,,1948,41.4,42.0,41.6,42.0,40.941.141.2,41.0,41.5,41.1,41.6,41.3,41.4
,,,,,PROOUCTION-WORKER,,AVERAGE  WEEKLY  EARNINGS  -   IN  DOLLARS,,,,,,,,,1949,37.8,40.2,40.1,38.2,36.836.136.8,36.9,36.8,37.2,37.5,36.9,38.9
1947,,53.64,52.92,,54.02,,,,,,,,,58.87,,1950,42.5,39.3,39.9,40.6,42.041.642.7,42.5,43.3,43.6,44.5,43.7,44.8
,55.73,,,,,54.23,55.80,56.66,55.95,54.34,57.00,57.49,57.34,,,,,,,,,,,,,,
1948,59.45,58.30,57.87,,58.76,57.34,57.83,58.63,58.71,60.13,60.95,61.90,61.41,61.56,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1951,43.1,44.0,43.5,44.0,43.743.443.3,42.2,42.6,42.6,42.6,42.2,43.0
