0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,SIC  34
,Anmiat,,,,,,,,,,,,,,Annual,,,,,,,,,,,,,
Year,,January,February,March,April,May,June,July,August,September,October,,,Year,,January,February,March,April,May,June,July,,August,September,October,November,December
,Average,,,,,,,,,,,,,,Average,,,,,,,,,,,,,
,,,,,,,,,,,,,,1959,3.2,2.6,2.3,3.5,3.0,2.5,2.8,,1.8,2.5,4.2,,,
SIC  3391  -,,IRON  AND  STEEL  FORGINGS  (Con.),,,,,,,,,,,,,,,,,,,,,,,,7.9,3.2,1.7
,,,,,,,,,,,,,,1960,3.7,2.0,2.5,3.0,3.2,4.3,3.5,,2.5,4.5,4.7,3.0,3.4,7.3
1956,41.6,42.8,42.3,42.2,41.5,41.5,41.1,40.7,40.5,40.9,42.1,41.9,41.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1961,4.4,9.6,8.9,12.8,2.3,2.0,2.0,,2.5,2.4,2.5,2.3,2.8,2.2
1957,40.2,42.5,41.6,41.5,40.5,40.5,41.1,40.5,39.8,39.1,38.4,37.5,38.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1962,2.5,1.8,2.2,2.6,2.5,2.6,2.0,,5.4,2.2,3.3,2.8,1.3,1.7
1958,38.1,37.8,37.1,37.7,37.1,37.1,38.0,38.9,37.5,38.5,38.5,38.5,40.4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1963,2.5,3.1,2.2,2.8,2.6,2.6,2.5,,2.5,2.4,3.1,2.3,1.7,1.7
1959,39.9,40.1,40.1,40.2,40.4,40.9,40.8,40.4,39.8,39.1,38.5,38.1,40.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1964,2.5,2.0,1.9,2.0,1.8,2.2,7.3,,1.8,2.9,2.9,2.2,1.6,1.5
1960,39.5,41.3,41.3,40.9,39.4,39.8,39.3,39.7,37.8,38.8,38.8,38.3,38.4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1965,2.2,1.6,1.6,1.8,1.8,1.6,1.8,,1.7,5.2,3.4,2.1,1.7,1.7
,,,38.8,,,39.5,,,,,,40.8,41.3,1966,2.8,2.2,1.9,2.6,2.3,2.3,2.6,,4.9,3.6,4.4,2.5,2.3,1.9
1961,39.7,39.3,,38.3,38.8,,40.2,39.9,39.2,40.3,40.0,,,,,,,,,,,,,,,,,
1962,40.8,40.6,40.8,41.3,41.0,40.5,40.9,40.4,40.8,40.9,40.4,40.8,41.3,1967,3.0,2.8,3.2,3.2,3.0,2.9,2.2,,3.5,3.0,4.8,3.0,2.3,2.0
1963,41.1,41.3,41.0,40.7,40.1,40.8,41.4,41.1,40.4,41.3,41.3,41.4,41.9,1968,2.7,3.2,2.4,2.7,2.4,2.7,2.1,,2.6,3.6,3.5,3.1,2.4,1.9
1964,41.6,40.5,41.2,41.6,41.7,41.7,41.5,41.0,41.5,41.7,42.1,41.5,43.2,1969,3.4,2.5,2.6,2.9,3.0,3.3,3.0,,3.2,5.3,4.9,3.8,2.7,3.3
1965,42.9,42.9,43.2,43.4,41.1,42.5,42.5,42.7,41.8,43.4,43.7,43.6,43.6,1970,4.2,3.6,4.9,3.6,4.0,4.3,4.7,,6.5,4.1,4.7,3.9,3.3,2.2
1966,42.8,43.5,44.0,43.6,42.1,43.3,42.8,40.9,42.1,43.1,42.9,43.2,42.4,,,,,,,,,,,,,,,
1967,41.0,42.4,41.6,41.4,40.1,40.5,40.3,40.3,40.9,40.8,40.3,41.3,41.9,1971,3.1,3.8,2.5,3.1,3.5,2.8,2.3,,3.9,3.6,3.3,3.2,2.1,2.6
1968,41.5,41.5,41.4,41.7,39.3,41.4,41.4,41.3,40.5,42.8,42.0,42.8,42.3,1972,2.3,2.5,2.1,2.5,2.2,1.9,2.2,,2.9,3.0,2.5,2.1,1.7,1.9
1969,42.2,42.9,42.6,43.0,42.3,42.2,42.3,41.5,41.3,42.7,42.2,41.3,42.4,1973,2.8,2.2,2.1,2.8,2.9,2.4,2.5,,2.9,4.5,3.1,3.3,2.6,2.2
1970,40.0,41.1,40.8,40.8,40.1,40.4,40.1,38.9,39.3,38.8,39.7,39.8,40.5,1974,3.1,3.4,3.1,2.7,3.0,3.0,2.8,,2.9,4.3,3.4,3.1,3.3,2.6
,,,,,,,,,,,,,,1975,,5.2,3.3,3.4,3.2,2.4,3.2,,,,,,,
1971,39.7,40.2,39.7,39.7,38.9,40.1,40.3,38.9,38.8,39.1,39.5,40.6,41.0,,,,,,,,,,,,,,,
1972,41.6,40.0,41.0,41.2,41.1,41.4,41.7,39.3,40.8,42.2,42.7,43.0,44.2,,,,,,,QUITS  PER  100  EMPLOYEES,,,,,,,,
1973,43.6,44.0,45.1,44.8,44.1,44.4,43.0,42.2,42.1,43.8,43.1,43.1,44.0,1958,.5,.5,.3,.4,.3,.4,.4,,.4,.7,.7,.6,.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.3
1974,42.4,42.9,43.1,42.8,40.0,42.9,43.0,41.4,41.9,43.0,42.7,42.3,42.7,1959,.8,.7,.7,.9,.9,1.0,1.0,,.7,.8,1.2,.6,.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.5
1975,,41.4,40.1,40.6,40.9,40.6,41.0,,,,,,,1960,.6,.7,.7,.6,.8,.6,.7,,.5,.8,.8,.4,.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.4
,,,,,,ACCESSIONS  PER  100  EMPLOYEES,,,,,,,,1961,.6,.4,.3,.4,.4,.5,.8,,.6,1.0,1.3,.7,.6,.5
1958,2.9,1.8,1.5,1.9,2.3,2.7,4.1,3.4,3.7,4.2,3.4,3.3,2.5,1962,.7,.6,.5,.7,8,.7,.6,,.7,1.0,1.0,.6,.4,.4
1959,3.2,3.9,2.8,2.6,2.9,3.5,3.7,2.6,2.7,2.1,3.4,4.3,3.6,1963,.7,.4,.4,.6,.7,8,.6,,.7,1.0,1.3,.7,.5,.4
1960,2.8,3.8,3.0,2.5,2.3,2.2,3.3,2.1,2.6,3.6,3.0,2.6,2.2,1964,.8,.6,.5,.6,.7,.7,.8,,.9,1.1,1.5,.7,6,.5
,,,,,,,,,,,,,,1965,1.1,.7,.7,.8,.9,.8,1.0,,1.0,1.5,2.4,1.0,1.0,.9
1961,2.8,3.2,2.2,2.2,3.5,3.3,3.4,2.2,2.9,3.0,3.0,2.8,1.8,1966,1.6,1.3,1.1,1.5,1.5,1.5,1.6,,1.5,2.5,3.1,1.5,1.3,1.1
1962,2.5,3.3,2.5,2.2,2.2,2.1,2.0,2.2,5.2,1.5,2.7,1.7,2.1,1967,1.4,1.4,1.1,1.3,1.4,1.4,1.3,,1.2,1.8,2.4,1.3,1.1,.8
1963,2.4,2.5,2.3,1.9,2.4,2.5,2.9,2.7,2.5,2.8,2.3,2.0,1.5,1968,1.4,1.2,1.0,1.2,1.3,1.4,1.2,,1.4,2.3,2.4,1.5,1.1,.9
1964,2.8,2.5,1.7,2.4,2.2,2.0,3.2,8.0,2.3,4.0,2.1,2.2,1.5,1969,1.8,1.4,1.3,1.5,1.6,1.6,1.6,,1.7,3.1,3.2,1.8,1.3,1.0
