0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
SIC 371,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,,,,
,Annual,,,,,,,,,,,,,,Annual,,,,,,,,,,,,,,,,
Year,,January,February,March,April,May,June,July,August,Septernbei,October,,,,,January,,March,April,,May,,June,,July,,August,September,October,November,December
,Average,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1961,2.6,.9,.9,.8,,1.5,,2.2,,2.1,,2.3,2.5,2.9,,,
SIC 371  -,,MOTOR VEHICLES AND EQUIPMENT (Con.),,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,5.5,5.4
,,,,,,,,,,,,,,1962,4.2,3.5,2.4,2.9,,3.4,,4.0,,3.9,,4.0,3.6,4.5,4.9,5.9,6.1
,,,,,,,,,,,,,,1963,4.4,3.8,3.3,3.7,,3.3,,4.3,,4.6,,4.0,3.5,4.3,5.5,6.1,6.3
1961,2.86,2.80,2.79,2.79,2.82,2.84,2.84,2.85,2.86,2.84,2.88,2.98,2.99,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1964,5.0,4.6,3.9,3.4,,4.5,,4.6,,5.4,,4.4,5.5,6.5,4.3,5.1,7.8
1962,2.99,2.94,2.90,2.91,2.93,2.96,2.95,2.97,2.97,3.04,3.04,3.09,3.11,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1965,6.2,6.9,6.4,7.0,,5.6,,6.4,,6.1,,5.3,4.8,5.0,6.6,7.4,6.9
1963,3.10,3.05,3.04,3.05,3.03,3.07,3.08,3.06,3.05,3.15,3.19,3.22,3.22,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.32,1966,4.9,5.5,5.3,4.7,,5.8,,4.1,,4.2,,4.4,5.0,5.2,5.9,5.0,4.1
1964,3.21,3.18,3.15,3.15,3.18,3.19,3.21,3.19,3.24,3.28,3.12,3.23,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3.44,3.43,1967,3.4,2.9,2.2,1.7,,2.2,,3.2,,3.4,,3.7,4.4,5.3,4.6,3.2,4.9
1965,3.34,3.31,3.30,3.33,3.31,3.32,3.32,3.29,3.28,3.36,3.39,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1968,5.8,5.1,4.1,4.7,,4.3,,6.5,,6.1,,5.2,4.9,6.5,7.7,7.8,6.0
1966,3.44,3.40,3.38,3.37,3.41,3.37,3.39,3.40,3.42,3.54,3.56,3.52,3.54,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1969,4.2,4.7,3.4,3.6,,4.0,,4.1,,4.5,,4.6,4.1,5.0,4.5,3.8,3.9
1967,3.55,3.50,3.46,3.45,3.49,3.51,3.54,3.57,3.57,3.60,3.58,3.59,3.68,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1970,3.2,2.5,1.9,2.0,,1.8,,3.3,,4.8,,4.3,3.5,4.8,3.4,3.1,3.4
1968,3.90,3.81,3.76,3.80,"3,81",3.88,3.87,3.85,3.83,3.94,3.96,4.03,4.11,,,,,,,,,,,,,,,,,,
1969,4.10,4.09,4.02,4.01,4.05,4.02,4.06,4.16,4.14,4.14,4.11,4.14,4.22,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1971,3.7,4.3,4.7,4.4,,3.9,,3.8,,3.7,,2.9,2.6,2.9,3.6,3.3,3.6
1970,4.22,4.19,4.10,4.14,4.14,4.22,4.28,4.26,4.26,4.29,4.05,4.03,4.52,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1972,4.9,2.2,3.5,4.0,,4.6,,4.9,,4.8,,4.4,4.7,5.9,5.8,6.2,7.0
,,,,,,,,,,,,,,1973,5.9,6.5,7.0,5.6,,6.8,,6.4,,6.8,,6.2,5.3,5.6,5.1,5.5,4.5
1971,4.72,4.70,4.73,4.71,4.70,4.71,4.70,4.68,4.64,4.68,4.70,4.69,4.94,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1974,3.4,3.2,3.1,3.2,,1.5,,3.3,,3.4,,4.2,4.0,4.3,4.8,2.9,2.3
1972,5.12,4.95,4.98,5.01,5.06,5.09,5.07,5.04,5.11,5.18,5.18,5.23,541,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1975,,1.0,1.2,1.2,,1.6,,1.8,,2.5,,,,,,,
1973,5.46,5.40,5.42,5.35,5.42,5.41,5.46,5.47,5.40,5.46,5.49,5^50,5.68,,,,,,,,,,,,,,,,,,
1974,5.90,5.65,5.58,5.65,5.63,5.78,5.87,5.89,5.92,6.08,6.26,6.13,6.22,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ACCESSIONS  PER  100  EMPLOYEES,,,,,,,,,,,
1975,,6.14,6.12,6.25,6.27,6.30,6.42,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1958,4.8,2.8,1.9,3.0,,3.6,,3.9,,4.6,,4.0,7.6,9.6,7.0,5.4,3.6
,,,,,PRODUCTION-WORKER  AVERAGE  WEEKLY HOURS,,,,,,,,,1959,5.9,3.1,3.4,4.4,,4.2,,3.8,,4.4,,3.2,6.8,8.0,4.2,5.5,20.0
