0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,SIC 372
,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,,,,,,,,,Septembei,October,,,,,,Februaiy,March,April,May,June,July,August,September,October,November,December
,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,1965,41.5,40.5,40.2,40.3,39.7,41.6,41.7,,,,,,
SIC 3 7 1 5 - TRUCK TRAILERS (Con.),,,,,,,,,,,,,,,,,,,,,,42.1,41.3,41.3,43.2,43.0,43.0
,,,,,,,,,,,,,,1966,41.9,40.9,42.0,42.7,42.6,43.4,42.9,41.8,40.9,41.0,41.0,41.2,42.0
1971,23.6,22.7,22.1,22.3,22.7,23.2,23.1,,,,,24.5,,1967,39.2,40.0,39.6,40.0,38.2,41.0,39.5,38.8,38.7,38.1,38.5,38.7,39.3
,,,,,,,,24.3,24.7,25.0,23.9,,24.5,,,,,,,,,,,,,,
1972,27.2,24.9,25.8,26.5,27.4,27.9,,,,,,,,1968,40.9,40.1,40.9,40.3,39.9,41.9,41.2,40.7,40.7,41.0,41.0,41.0,41.4
,,,,,,,26.9,26.8,26.9,27.9,28.2,28.5,28.9,,,,,,,,,,,,,,
1973,31.5,29.4,30.2,30.2,30.7,31.2,31.8,,,,,,,1969,40.7,40.3,40.9,41.6,41.3,41.8,42.1,40.2,40.2,40.6,39.3,39.8,40.6
,,,,,,,,31.6,31.8,31.8,33.0,32.8,33.1,,,,,,,,,,,,,,
1974,31.9,33.2,32.6,32.6,33.0,,,,,,,,,1970,39.1,39.6,39.0,39.1,39.5,39.5,39.6,39.2,39.2,38.6,38.0,38.4,39.6
,,,,,,33.3,32.8,32.5,32.3,32.1,30.6,29.7,28.2,,,,,,,,,,,,,,
1975,,21.6,20.2,18.5,18.5,18.5,17.4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1971,39.6,37.8,38.7,39.1,39.5,39.4,39.8,39.7,39.9,39.9,39.8,40.5,40.9
,,,,,,,,,,,,,,1972,40.5,40.4,40.5,40.3,40.7,40.4,40.6,41.1,40.2,40.8,40.6,40.2,40.1
,,,,,,WOMEN  EMPLOYEES -,IN THOUSANDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1973,40.0,39.9,39.6,40.3,40.4,39.8,39.8,39.4,39.4,40.2,40.1,40.4,40.6
1964,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.1,1.1,1.0,1.0,1.1,1974,39.3,39.9,38.1,,38.6,39.4,39.8,,,,,,
,,,,,,,,,,,,,,,,,,39.8,,,,39.2,39.8,39.6,39.1,38.6,39.4
1965,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1975,,36.8,37.3,,36.7,,37.1,,,,,,
,,,,,,,,,,,,,,,,,,37.2,,38.3,,,,,,,
1966,1.3,1.3,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.3,,,,,,,,,,,,,,
1967,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.3,1.3,1.2,1.3,1.3,,,,,,,,,,,,,,
1968,1.3,1.3,1.3,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1.3,1.3,1.3,1.3,1.3,1.3,1.3,S I C   3 7 9,-,AIRCRAFT AND  PARTS,,,,,,,,,,,
1969,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,,,,,,,,,,,,,,
1970,1.3,1.5,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ALL  EMPLOYEES  -,IN THOUSANDS,,,,,,
1971,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1939,63.2,41.8,45.0,46.7,51.9,56.5,61.3,65.8,66.9,69.9,75.1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,85.1,92.7
1972,1.3,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.3,1.3,1940,148.6,100.5,104.3,109.2,114.6,124.9,133.6,148.0,162.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,175.2,191.0,203.3,216.3
1973,1.5,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,
1974,1.7,1.6,1.6,1.7,1.8,1.8,1.8,1.8,1.7,1.7,1.6,1.6,1.6,1941,347.1,231.7,246.7,259.0,276.7,296.2,317.0,342.2,375.5,407.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,440.6,469.8,502.8
1975,,1.5,1.4,1.4,1.4,1.3,1.2,,,,,,,1942,831.7,554.8,610.6,649.7,696.4,742.1,787.4,845.6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,905.0,954.4,"1,022.7","1,073.9","1,137.6"
