0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,SIC  3391,
,Annual,,,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Year,,January,February,March,April,,May,,June,,Ju«y,,August,September,October,November,December,Year,,January,February,March,April,May,June,July,August,September,October,November,December
,Average,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.6,,,,,,,,,,
SIC  339 - MISCELLANEOUS  PRIMARY  METAL  PRODUCTS  (Con.),,,,,,,,,,,,,,,,,,1975,,.9,,.7,.7,.8,.8,,,,,,
1972,3.1,2.9,2.8,3.0,,2.8,,3.5,,3.5,,2.7,4.2,3.7,3.3,2.5,2.5,,,,,,,LAYOFFS  PER  100  EMPLOYEES,,,,,,,
1973,3.6,3.9,3.2,3.9,,3.4,,3.8,,4.1,,3.1,4.2,3.9,4.6,2.9,1.9,1958,3.0,6.7,4.1,4.5,3.9,3.1,3.8,2.8,1.7,1.4,1.7,1.3,.9
1974,3.3,3.3,2.S,3.4,,3.4,,3.8,,4.6,,3.1,3.8,4.5,3.5,2.0,1.4,1959,1.7,1.5,1.1,1.7,1.3,.8,1.2,.6,1.2,2.1,5.3,1.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
1975,,2.5,2.0,2.7,,2.8,,2.8,,4.0,,,,,,,,1960,2.4,1.3,1.5,1.7,1.8,2.8,1.9,1.7,2.7,2.8,3.4,2.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
,,,,,,NEW  HIRES  PER  100  EMPLOYEES,,,,,,,,,,,,1961,2.6,6.8,6.0,8.9,1.4,.8,1.0,1.2,.7,.8,1.0i,1.6,1.1
1958,.7,.4,.4,.4,,.5,,.5,,.9,,.6,.8,1.2,1.1,.9,.9,1962,1.3,.7,1.7,1.5,1.0,1.1,.7,3.0,1.0,1.7,1.5,1.0,1.1
1959,1.7,IS,1.7,1.9,,1.9,,2.0,,2.4,,1.9,2.1,1.7,1.0,.8,.7,1963,1.2,1.7,1.2,1.5,1.2,1.2,1.2,1.1,.8,1.1,1.2,1.3,1.0
1960,1.3,1.9,1.8,1.4,,1.1,,1.1,,1.7,,1.0,1.1,1.3,1.3,.7,.9,1964,1.1,.8,.8,.8,.6,1.0,4.2,.6,8,1.1,.8,.6,.7
,,,,,,,,,,,,,,,,,,1965,.5,.5,.5,.5,.3,.4,.2,.3,2.3,.3,.4,.1,.2
1961,1.5,.9,1.0,1.2,,1.2,,1.4,,1.9,,1.2,1.6,2.0,2.5,2.1,1.0,1966,.3,.2,.1,.2,.2,.1,.1,1.9,.2,.1,.1,.2,.1
1962,1.4,1.7,1.6,1.6,,1.3,,1.5,,1.5,,1.5,1.4,1.5,1.4,1.0,.7,1967,.8,.3,.9,1.0,.7,.9,.3,1.4,.6,1.4,.8,.6,.4
1963,1.3,1.3,1.2,1.0,,1.2,,1.2,,1.9,,1.4,1.4,1.7,1.4,1.1,.9,1968,.6,.8,.6,1.0,.4,.8,.5,.4,.5,.6,.5,.5,.4
1964,1.6,1.6,1.2,1.7,,1.5,,1.2,,2.7,,1.7,1.6,1.8,1.6,1.6,1.2,1969,.6,.5,.3,.3,.3,.6,.3,.5,.9,.6,.7,.5,1.3
1965,2.4,2.0,2.3,2.1,,1.7,,1.6,,3.5,,2.1,2.8,2.7,2.4,2.8,2.3,1970,2.2,1.5,2.1,1.6,2.4,1.8,2.5,3.9,1.8,2.2,2.8,2.0,1.7
1966,3.2,3.2,2.f,3.1,,2.6,,3.1,,5.3,,2.9,3.5,3.6,3.5,2.9,2.3,,,,,,,,,,,,,,
1967,2.1,2.9,2.3,1.9,,1.7,,1.7,,3.3,,1.9,2.2,2.3,2.1,1.6,1.3,1971,1.5,2.1,1.1,1.3,1.1,1.3,1.2,2.4,1.5,1.2,1.8,1.2,1.8
1968,2.5,2.1,2.0,2.0,,1.8,,2.2,,3.5,,2.6,2.6,3.2,3.5,2.4,1.7,1972,.5,1.0,.7,.5,.5,.5,.4,.9,.4,.3,.4,.2,.2
1969,3.1,2.1,2.f,2.9,,2.9,,3.C,,5.3,,3.1,3.0,3.5,3.2,2.5,1.7,1973,.3,.3,.2,.3,.5,.1,.2,.5,.3,.1,.2,.2,.6
1970,1.6,2.2,2.],1.7,,1.3,,1.7,,2.4,,1.4,1.5,1.4,1.3,1.2,1.1,1974,.6,.5,.7,.1,.3,.3,.2,.5,.2,.3,.5,1.6,2.5
,,,,,,,,,,,,,,,,,,1975,,4.0,2.5,2.8,1.5,1.4,1.6,,,,,,
1971,1.5,1.1,1.3,1.4,,1.5,,1.9,,2.2,,1.2,1.7,1.9,1.6,1.5,1.0,,,,,,,,,,,,,,
