0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,SIC 371
,Annual,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Tear,,January,February,March,April,May,June,July,August,Septembei,October,November,December,,,January,February,,,,,,August,September,October,November,December
,Average,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,35.44,36.27,36.46,34.17,35.96,32.98,37.84,37.59,,,
SIC  371  -,,MOTOR VEHICLES AND  EQUIPMENT (Con.),,,,,,,,,,,,,,,,,,,,,,,40.18,39.11,37.42
,,,,,,,,,,,,,,1941,42.68,38.69,41.34,41.88,37.48,42.90,47.14,41.71,41.89,42.80,45.94,45.48,44.00
1970,70.7,77.2,73.3,75.3,74.9,74.4,74.5,67.4,68.1,74.1,59.2,57.5,72.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1942,54.15,51.74,51.81,53.64,53.52,53.78,53.80,53.36,55.15,54.77,55.46,57.29,54.65
,,,,,,,,,,,,72.1,72.1,1943,59.13,58.11,57.96,57.69,57.93,59.31,59.52,59.62,59.16,59.93,61.85,60.79,57.95
1971,72.6,73.7,73.7,73.0,73.5,73.9,74.3,69.5,70.3,73.2,72.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,84.2,85.2,1944,60.12,61.34,60.56,60.83,60.92,59.98,60.79,58.70,59.23,58.22,60.25,60.59,60.80
1972,75.7,71.2,71.6,71.8,73.0,73.4,74.8,66.0,74.7,80.1,82.7,,,,,,,,,,,,,,,,
,,,,,88.4,,92.4,,,98.7,100.3,101.1,98.7,1945,55.28,61.67,61.82,61.36,60.59,57.99,57.87,55.36,43.29,46.59,48.92,47.91,45.83
1973,92.6,85.1,86.1,87.0,,91.1,,92.3,89.6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,94.6,92.5,82.1,1946,52.28,48.17,44.88,48.74,50.76,50.48,50.67,52.43,54.76,54.37,54.37,54.76,56.10
1974,87.4,91.5,84.5,81.9,83.3,85.0,87.3,86.7,86.2,93.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1947,58.63,56.08,55.32,56.12,55.58,56.98,58.42,57.48,56.66,60.25,61.38,62.64,66.14
1975,,75.8,70.2,67.9,70.2,72.9,74.3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1948,63.15,61.70,60.14,60.98,60.24,55.62,62.25,64.53,65.90,63.76,67.10,66.57,68.16
,,,,,PRODUCTION  WORKERS -   IN  THOUSANDS,,,,,,,,,1949,67.33,69.27,68.27,64.30,66.11,64.58,68.30,70.20,69.31,70.87,67.22,62.38,66.81
