0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,,,,,,,,,Annual,,,,,,,,,,,,
,,,,,,,,,,January,February,March,,May,,July,August,September,October,November,December
,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SIC 3711  - MOTOR VEHICLES (Con.),,,,,,,,,,,,,,WOMEN  EMPLOYEES  -   IN THOUSANDS,,,,,,,
,,,,,,,,1958,,3.2,,,2.7,,,2.4,,,1.5,,
,QUITS  PER  100  EMPLOYEES,,,,,,,1959,3.1,3.8,3.8,3.4,3.4,3.4,3.3,2.8,3.7,2.3,2.9,1.6,2.8
.4.4.4.5,,.4,.4,.6,.7,.6,.6,1960,2.5,2.7,2.9,2.9,2.7,2.7,2.7,2.7,1.0,2.0,2.3,2.6,2.4
61958.5,.5,,,,,,,,,,,,,,,,,,,,
8.4.8.7.6.91959,.7,.7,.7,1.0,.9,.5,.7,,,,,,,,,,,,,,
6.7.7.6.6,.5,.4,.5,.8,.7,.5,.3,1961,2.8,2.3,2.1,2.5,2.7,3.0,3.1,2.7,3.7,2.2,2.9,3.1,3.4
.61960,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1962,3.2,3.4,3.3,3.3,3.3,3.3,3.3,3.3,1.5,3.2,3.3,3.3,3.5
.4.4.4.4.5.51961,.5,.3,.5,.7,.5,.5,.3,1963,3.4,3.7,3.5,3.5,3.5,3.6,3.2,3.5,2.2,3.3,3.4,3.6,3.6
.4.3.35.6.6,.5,.6,.6,1.3,.7,.5,.3,1964,3.3,3.6,3.4,3.5,3.4,3.3,3.3,3.1,2.6,3.9,1.6,4.1,4.2
1962,,,,,,,,,,,,,,,,,,,,,
.43.5.6.419635,.5,.4,.6,.8,.6,.5,.4,1965,4.2,4.4,4.3,4.2,4.0,3.9,3.9,4.0,3.8,4.2,4.4,4.5,4.5
.4.4.7.5.5.51964,.6,.5,.9,1.5,.9,.7,.5,1966,5.0,4.0,5.1,4.9,4.8,4.9,4.8,4.7,3.0,5.4,5.9,6.1,6.0
8.7.7.8.91.01965,.9,.8,1.3,2.0,1.4,1.0,8,1967,3.9,4.2,5.2,5.3,5.1,5.0,4.7,4.4,2.3,2.7,2.8,2.8,2.4
1.41.01.11.31.11.51966,1.6,1.3,2.0,2.6,1.8,1.6,.9,1968,2.1,1.6,2.0,2.2,2.5,2.1,2.1,2.1,1.6,2.4,2.3,2.2,2.1
