0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,SIC  366
,Annual,,,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Year,,January,February,March,April,,May,,June,,July,,August,Septembei,October,November,,,,January,February,March,April,May,June,July,August,September,October,November,December
,Average,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1966,.7,.9,.9,.9,.8,1.2,.7,1.1,.2,.3,,,
SIC  365  -,,RADIO AND  TV  RECEIVING  EQUIPMENT  (Con.),,,,,,,,,,,,,,,,,,,,,,,,,,,.5,.5,.8
,,,,,,,,,,,,,,,,,,1967,2.5,1.9,2.5,7.4,4.6,1.9,8,.8,1.0,.7,.8,2.2,5.1
,,,,,,,,,,,,,,,,,,1968,1.6,3.3,4.0,2.1,1.8,1.0,.5,.8,1.1,.4,.8,1.3,2.2
1963,2.5,2.4,1.4,1.4,,1.9,,2.8,,3.6,,2.8,3.8,4.2,3.2,1.6,1.4,,,,,,,,,,,,,,
1964,2.8,1.7,1.4,2.3,,,,,,,,,,,,2.4,1.7,1969,1.9,1.7,1.8,2.2,.8,1.4,.4,1.9,.7,1.5,2.9,3.5,3.3
,,,,,,2.5,,2.3,,4.1,,3.3,4.7,4.0,3.7,,,,,,,,,,,,,,,,
1965,4.1,2.1,2.0,3.5,,3.1,,,,,,,,5.7,6.0,4.8,2.9,1970,2.7,4.2,2.8,4.3,2.2,2.7,2.1,1.6,3.0,.9,1.5,3.8,3.0
,,,,,,,,4.0,,5.0,,3.6,6.6,,,,,,,,,,,,,,,,,,
1966,5.7,4.3,3.5,4.6,,4.8,,5.6,,7.2,,5.4,9.2,8.0,7.7,4.8,2.7,,,,,,,,,,,,,,
1967,3.3,4.1,3.2,1.9,,1.3,,2.5,,2.8,,3.8,4.3,5.3,5.7,2.6,1.9,1971,1.9,3.5,3.2,2.0,2.1,.9,.6,1.7,.9,1.3,2.3,2.2,2.0
1968,3.6,1.7,1.7,1.9,,2.7,,3.6,,4.8,,4.1,6.1,6.5,4.9,3.2,1.9,1972,1.0,2.2,1.5,1.1,1.0,.8,1.1,1.5,.7,.4,.7,.5,1.0
1969,3.3,3.0,2.2,2.6,,3.2,,3.8,,4.9,,3.1,5.1,4.8,3.0,1.9,.9,1973,.9,1.4,.8,.9,.6,.6,.4,.7,.7,.3,.6,2.0,1.5
1970,2.7,2.0,1.9,1.3,,1.5,,1.6,,2.3,,2.9,5.6,4.5,3.8,3.1,2.1,1974,3.0,2.8,2.7,1.7,2.0,1.0,.6,1.7,1.2,1.9,2.7,10.7,6.5
,,,,,,,,,,,,,,,,,,1975,,7.7,4n7,3.6,1.0,1.2,1.7,,,,,,
1971,3.0,2.4,2.1,2.1,,2.5,,3.5,,4.6,,2.4,4.5,3.9,3.3,3.1,1.9,,,,,,,,,,,,,,
1972,3.9,2.9,2.3,2.4,,3.6,,4.7,,4.6,,3.4,5.1,6.4,5.1,3.6,2.4,,,,,,,,,,,,,,
1973,4.5,4.0,4.0,3.7,,3.9,,5.3,,6.1,,4.9,5.7,7.2,4.4,2.8,1.5,SIC  366  -,,COMMUNICATION  EQUIPMENT,,,,,,,,,,,
1974,2.5,1.8,2.1,1.8,,3.3,,4.7,,3.4,,2.6,3.2,3.0,2.3,1.2,.4,,,,,,,,,,,,,,
1975,,.5,.6,.4,,.7,,.9,,1.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,ALL  EMPLOYEES  -   IN  THOUSANDS,,,,,,,
,,,,,,SEPARATIONS  PER  100  EMPLOYEES,,,,,,,,,,,,1958,296.1,299.5,293.7,291.3,288.4,286.9,288.3,289.1,294.0,298.2,304.3,308.9,310.9
,,,,,,,,,,,,,,,,,,1959,339.7,314.9,318.1,319.5,322.5,327.4,335.0,340.4,347.9,354.8,360.3,365.6,369.6
1958,5.3,8.6,6.5,6.7,,5.4,,3.6,,4.5,,3.4,5.7,4.5,5.3,4.3,5.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1960,382.3,370.5,371.6,373.1,372.4,3 70.1,374.9,3 78.9,386.4,392.4,393.3,400.8,402.9
1959,5.3,5.5,•4.8,6.4,,4.2,,4.6,,3.9,,3.8,4.4,6.1,6.3,7.4,6.0,,,,,,,,,,,,,,
1960,6.3,5.8,6.9,8.9,,6.7,,6.6,,6.3,,3.7,5.7,4.7,5.5,7.6,7.6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1961,404.7,401.0,400.1,399.0,,398.4,400.2,398.2,401.6,406.0,412.7,417.9,423.1
,,,,,,,,,,,,,,,,,,1962,444.9,427.1,434.3,438.9,439.6,441.0,444.9,444.5,448.8,451.2,453.6,4 56.7,458.6
1961,5.2,7.1,4.8,5.8,,5.1,,5.9,,3.1,,2.8,4.1,5.0,4.9,6.8,6.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1963,435.8,455.6,451.9,446.8,441.5,436.9,433.6,429.3,428.6,429.7,429.0,422.6,424.5
1962,5.5,5.2,6.2,6.2,,4.1,,5.6,,5.0,,4.7,6.4,5.4,6.1,5.5,5.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1964,408.6,422.1,415.7,414.0,409.7,405.0,403.7,403.1,402.4,404.1,405.9,408.0,409.0
1963,4.8,6.4,3.9,5.7,,4.5,,3.8,,3.6,,4.0,5:o,5.7,4.3,5.6,5.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1965,416.8,408.3,408.3,408.7,408.5,409.5,412.6,413.7,416.1,421.4,426.1,431.2,436.7
1964,4.8,5.1,5.7,5.0,,4.6,,6.4,,3.4,,4.2,3.8,5.4,3.8,5.1,5.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1966,467.7,441.0,444.3,450.3,455.9,460.4,468.2,471.4,480.1,482.4,485.6,490.8,482.1
1965,4.5,4.3,3.7,5.2,,4.4,,4.1,,4.5,,4.1,4.7,5.4,4.8,4.5,4.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1967,510.9,484.6,498.4,502.1,505.4,506.2,509.1,513.4,515.8,515.8,522.7,528.6,528.9
1966,5.5,4.7,4.2,5.6,,4.8,,6.0,,5.1,,4.9,6.5,7.4,5.8,5.4,5.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1968,522.5,531.6,530.0,528.7,517.9,518.3,519.8,517.7,520.2,519.5,521.0,522.6,523.1
1967,6.9,6.6,6.9,11.2,,8.8,,6.4,,3.9,,4.6,5.4,6.9,6.7,6.2,8.6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1969,526.3,521.3,520.5,519.5,520.0,520.8,525.5,528.4,531.0,531.4,533.6,533.4,530.7
1968,6.6,8.0,8.7,6.4,,6.0,,5.4,,5.2,,5.0,7.3,8.0,6.7,6.4,5.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1970,500.0,529.3,518.3,515.8,509.5,507.0,505.9,502.3,495.3,490.7,480.6,4 74.9,470.7
1969,6.4,6.6,5.4,6.5,,5.8,,5.7,,5.1,,5.1,7.1,7.9,8.4,7.1,5.3,,,,,,,,,,,,,,
1970,6.0,7.8,5.9,7.1,,5.3,,5.6,,5.1,,4.4,6.9,5.3,6.1,7.3,5.6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1971,447.1,465.5,461.2,457.8,451.5,449.3,447.3,443.5,441.3,440.3,437.4,435.9,434.7
,,,,,,,,,,,,,,,,,,1972,436.1,431.6,430.7,431.0,431.4,432.2,434.4,433.7,436.8,440.5,442.6,443.1,445.1
1971,5.6,7.1,6.8,5.4,,5.2,,4.1,,4.0,,4.9,5.9,6.7,6.5,5.8,4.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1973,451.7,444.7,444.5,442.7,443.8,444.6,449.6,450.9,453.7,457.2,460.0,463.2,465.9
1972,5.2,5.9,5.0,5.1,,4.9,,4.8,,5.4,,5.3,5.8,6.1,5.4,4.7,4.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1974,457.8,465.0,465.3,464.3,461.4,459.9,460.6,459.6,416.3,454.6,463.8,463.5,459.1
1973,5.6,5.9,5.1,5.2,,4.8,,5.2,,5.7,,5.3,6.8,7.3,5.6,6.3,3.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1975,,457.5,447.9,445.8,438.4,433.1,430.2,,,,,,
1974,7.0,6.4,6.2,6.0,,6.0,,5.5,,5.1,,5.6,6.6,6.8,6.7,14.5,9.0,,,,,,,,,,,,,,
1975,,10.4,6.9,5.5,,2.8,,3.5,,3.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,WOMEN  EMPLOYEES  -   IN THOUSANDS,,,,,,,
,,,,,,,QUITS  PER  100  EMPLOYEES,,,,,,,,,,,1958,,101.0,,,93.2,,,91.9,,,98.5,,
,,,,,,,,,,,,,,,,,,1959,108.5,101.1,102.0,101.7,102.4,103.3,105.8,106.5,110.1,114.0,116.9,119.2,119.5
1958,1.5,1.4,1.1,.9,,.9,,1.0,,1.1,,1.4,2.5,2.7,2.3,1.6,1.3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1960,121.9,119.5,119.8,119.8,118.8,119.3,118.5,118.0,122.0,124.6,125.6,128.2,128.2
