0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
SIC  373,,,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,
,Annual,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,,,,,,,,,,Septembei,,October,,,,,,,,,,,,August,,,,
,Average,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1967,140.0,143.3,144.1,139.3,144.2,143.7,141.4,132.8,138.0,138.0,138.1,,
SIC 373 -,,SHIP AND  BOAT BUILDING AND  REPAIRING  (Con.),,,,,,,,,,,,,,,,,,,,,,,,,,138.5,138.6
,,,,,,,,,,,,,,,,1968,141.0,139.3,141.7,142.3,143.9,143.7,143.3,141.2,133.9,138.3,141.2,141.9,141.0
,,,,,,,,,,,,,,,,1969,142.0,141.5,142.4,142.4,142.9,142.2,143.9,142.6,142.7,140.9,141.2,141.0,140.1
1961,8.0,7.1,,7.9,6.1,10.0,8.7,10.3,7.6,7.2,,7.2,6.2,7.5,10.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7.4,,1970,132.7,138.7,138.6,137.6,135.9,131.8,132.2,129.0,128.3,129.0,128.8,131.2,131.1
1962,7.2,7.4,,6.6,5.9,7.1,7.5,8.9,6.9,8.5,,6.0,7.7,,6.7,,,,,,,,,,,,,,
1963,7.4,7.3,,7.1,6.3,7.7,10.1,7.5,7.6,7.2,,6.4,7.4,7.4,6.6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1971,130.6,131.3,129.4,128.1,129.2,127.8,126.9,128.4,131.9,130.4,134.0,133.7,136.0
1964,6.9,6.6,,7.1,7.6,7.8,7.5,8.4,6.3,6.4,,6.9,7.6,4.5,5.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1972,138.1,133.5,131.8,137.4,138.9,140.4,140.4,139.8,135.8,138.7,138.2,140.4,141.6
1965,5.0,5.2,,5.4,4.9,4.9,5.3,4.7,5.2,4.6,,3.5,6.4,5.5,4.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1973,143.9,142.8,144.4,143.9,144.2,142.4,141.3,139.6,141.1,142.1,145.7,148.2,150.9
1966,4.1,2.8,,3.5,3.9,4.9,5.0,4.8,3.5,4.3,,4.1,5.2,3.8,3.3,,,,,,,,,,,,,,
,,,,,,,,,,,,,4.1,4.0,3.6,1974,153.9,151.1,154.2,155.6,153.6,154.0,154.7,153.9,155.5,153.7,156.8,156.2,147.0
1967,4.7,4.2,,6.4,4.7,4.0,5.8,6.3,4.5,4.6,,3.6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4.5,3.1,1975,,152.9,152.0,152.9,155.5,155.9,157.4,,,,,,
1968,3.8,3.8,,4.2,3.2,3.8,4.9,4.0,3.9,3.9,,3.5,3.2,,,,,,,,,,,,,,,,
1969,3.2,3.2,,2.9,3.3,3.8,3.1,2.5,3.7,3.0,,2.6,3.2,2.4,4.1,,,,,,,,,,,,,,
,,,,,,,,,,3.6,,3.7,4.7,3.9,4.3,,,,,,,WOMEN  EMPLOYEES -,IN THOUSANDS,,,,,,
1970,4.4,3.7,,4.3,5.2,4.2,4.7,6.0,4.6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1958,,3.6,,,3.6,,,3.6,,,3.6,,
1971,4.4,3.8,,5.0,5.4,5.9,4.6,4.2,2.3,4.5,,3.5,4.3,3.9,5.1,1959,3.6,3.6,3.6,3.5,3.6,3.6,3.7,3.8,3.8,3.5,3.5,3.5,3.5
1972,3.5,4.2,,3.9,4.2,3.3,3.4,3.7,2.6,4.0,,3.1,3.2,3.6,2.6,1960,3.5,3.5,3.7,3.3,3.3,3.4,3.4,3.6,3.6,3.6,3.6,3.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
1973,2.9',2.9,,3.7,3.3,3.1,3.7,3.5,2.0,1.9,,1.9,2.4,2.7,3.3,,,,,,,,,,,,,,
1974,2.3,3.5,,1.7,2.3,1.6,2.4,2.2,1.7,1.7,,2.2,2.3,3.2,2.4,1961,3.6,3.5,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6
1975,,3.5,,2.3,1.7,2.8,2.1,2.3,,,,,,,,1962,3.5,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.4,3.5,3.5,3.5
,,,,,,,,,,,,,,,,1963,3.6,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.7,3.7,3.6,3.6,3.6
,,,,,,,,,,,,,,,,1964,3.7,3.5,3.7,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
SIC 3731  -,,SHIP BUILDING AND  REPAIRING,,,,,,,,,,,,,,1965,3.9,3.7,3.7,3.8,3.9,3.9,4.0,3.6,4.0,4.0,4.0,4.0,4.0
,,,,,,,,,,,,,,,,1966,4.5,4.1,4.0,4.2,4.3,4.3,4.5,4.5,4.6,4.5,4.5,5.1,5.3
,,,,,,,,,,,,,,,,1967,5.4,5.4,5.3,5.3,5.4,5.4,5.5,5.5,5.5,5.5,5.5,5.4,5.5
,,,,,,A L L   E M P L O Y E E S,-,IN   T H O U S A N D S,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1968,5.5,5.5,5.3,5.4,5.4,5.5,5.5,5.7,5.1,5.5,5.5,5.6,5.6
1923,68.2,68.5,,68.4,73.2,73.2,70.9,71.3,68.9,65.6,,63.5,64.6,65.7,64.0,1969,5.8,5.6,5.7,5.7,5.8,5.8,5.9,5.9,5.9,5.9,5.8,5.8,5.7
