0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,SIC  3731,
,Annual,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,,,,,,,,,Septembei,October,,,,,,January,February,March,April,May,June,July,August,September,October,November,December
,Average,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,1951,39.5,38.2,40.0,39.7,39.3,39.3,39.6,40.0,39.7,,,,
SIC  3731  -,,,SHIP BUILDING AND  REPAIRING (Con.),,,,,,,,,,,,,,,,,,,,,,39.5,39.7,38.6,40.1
,,,,,,,,,,,,,,,1952,39.8,40.3,39.6,40.6,40.1,40.6,40.4,40.1,40.0,40.1,38.9,37.2,39.8
,63  16,61.08,,,61.90,,62.25,64.35,64.95,62.70,62.57,64.41,66.66,,1953,38.5,39.2,37.7,38.6,39.0,38.9,38.8,38.9,38.9,37.8,38.0,37.3,39.0
1950,,,60.89,62.63,,63.35,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1954,38.1,37.4,38.5,38.8,38.0,38.3,38.4,38.3,38.4,37.2,37.8,37.6,38.4
1951,70.71,64.18,68.80,68.68,68.38,68.38,70.49,71.60,,71.50,73.45,72.18,,,1955,38.8,38.8,38.8,38.7,38.8,39.1,39.1,38.6,39.0,39.2,38.3,37.5,39.1
,,,,,,,,,71.86,,,,74.19,,,,,,,,,,,,,,,
1952,76.02,74.96,74.45,77.14,74.99,76.33,75.95,74.99,76.00,77.79,75.86,72.91,78.80,,1956,39.1,38.3,38.6,38.6,39.0,39.6,39.5,39.7,39.4,39.4,39.2,38.3,40.0
1953,80.08,76.83,77.29,79.90,81.12,80.91,80.32,81.69,82.08,79.76,80.56,79.45,83.07,,1957,39.2,39.9,39.3,39.5,39.6,39.7,40.0,40.1,39.8,38.9,38.5,36.5,38.6
1954,8153,79.29,82.39,83.42,81.32,81.96,81.79,81.58,,79.24,81.65,81.22,84.48,,1958,39.1,38.4,37.2,39.1,38.8,39.4,39.2,39.7,39.8,39.3,40.0,38.8,39.2
,,,,,,,,,82.18,,,,,,,,,,,,,,,,,,,
1955,85.75,84.20,84.58,84.75,85.36,85.63,85.63,83.76,86.58,87.42,86.18,84.75,88.76,,1959,39.2,39.6,38.5,39.3,39.4,39.2,39.1,39.3,39.8,39.2,38.7,38.6,39.4
1956,91.10,86.94,88.39,89.17,89.31,91.08,91.64,91.31,91.80,92.98,92.12,91.92,97.20,,1960,39.3,39.2,39.5,39.8,39.7,40.2,40.2,39.7,39.9,38.1,39.4,38.4,37.7
1957,96 82,96.56,96.29,96.78,97.02,98.06,98.00,98.65,98.70,97.64,96.64,91.25,96.50,,,,,,,,,,,,,,,
1958,100.88,96.00,93.74,98.53,97.78,99.68,98.78,102.03,104.28,103.75,106.40,103.21,105.45,,1961,40.0,39.5,39.3,39.2,39.9,40.1,39.4,40.2,40.1,40.4,40.8,40.9,40.0
1959,106.23,106.52,103.95,106.50,105.99,105.84,105.18,107.29,107.86,105.84,104.88,105.76,107.96,,1962,40.4,38.6,39.4,40.4,40.2,40.4,40.6,41.0,41.2,40.4,40.5,40.5,41.5
1960,110.43,107.80,109.02,110.25,109.18,110.95,111.76,111.56,112.92,109.73,113.47,110.59,109.71,,1963,41.0,41.0,40.7,40.9,40.7,41.4,41.0,40.6,40.8,41.3,41.4,41.8,40.3
,,,,,,,,,,,,,,,1964,40.7,40.2,40.4,41.6,40.5,41.2,40.8,40.5,40.5,39.3,40.4,41.4,41.2
1961,117.20,113.76,113.58,112.90,115.31,116.69,114.65,117.38,117.89,119.99,121.58,122.70,120.00,,1965,40.5,39.4,40.2,40.0,40.6,41.1,40.0,40.3,40.5,41.1,41.5,40.6,40.9
1962,121.60,115.03,117.41,119.58,119.80,120.39,121.80,122.59,124.84,122.01,122.72,123.12,127.41,,1966,41.5,41.5,41.6,41.8,41.2,41.2,42.0,41.1,41.0,40.5,42.0,41.2,42.6
1963,127.92,125.05,124.95,126.79,125.36,127.93,127.92,126.67,127.70,130.51,130.41,132.51,127.35,,1967,40.5,41.8,39.5,40.8,40.8,40.8,40.4,38.5,39.9,40.6,41.1,40.8,41.1
1964,128.21,125.83,127.26,131.04,127.58,128.54,128.11,126.77,127.58,124.19,127.66,131.24,130.60,,1968,40.5,39.7,40.6,41.0,39.2,40.8,41.0,40.1,40.1,41.4,40.9,40.2,41.4
1965,127.98,123.72,126.23,124.80,126.27,128.64,126.00,126.54,126.36,129.88,131.97,129.92,132.93,,1969,40.7,40.3,39.5,40.2,40.7,41.0,41.6,40.7,40.1,41.3,41.5,40.6,41.0
