0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
SIC 3711,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,,,
,Annual,,,,,,,,,,,,,,Annual,,,,,,,,,,,,,,,
Year,,January,February,March,April,May,June,July,August,Septembei,October,November,December,Year,,,February,March,April,,May,,June,,July,August,September,October,November,December
,Average,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1972,4.9,2.3,2.9,3.4,,4.1,,4.7,,4.8,3.8,4.8,6.5,,,
SIC  3711  -,,,MOTOR VEHICLES (Con.),,,,,,,,,,,,,,,,,,,,,,,,,6.2,6.4,7.7
,,,,,,,,,,,,,,1973,6.2,6.5,7.4,5.7,,7.2,,6.8,,7.4,6.4,5.7,5.7,4.8,6.0,4.9
,,,,,,,188.76,178.23,168.34,184.68,177.66,174.30,191.82,1974,3.1,2.8,3.1,2.8,,.8,,2.5,,2.2,4.5,4.2,4.5,5.2,2.7,1.8
1970,174.32,165.62,161.08,167.38,155.36,175.71,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1975,,.5,1.3,1.1,,1.2,,1.4,,2.2,,,,,,
1971,199.75,205.31,208.89,212.54,192.57,203.84,206.55,181.42,181.79,180.07,198.13,198.29,225.72,,,,,,,,,,,,,,,,,
,227.16,204.06,210.83,,221.13,226.61,228.90,223.97,205.52,237.89,234.13,239.12,269.20,,,,,,,ACCESSIONS  PER  100  EMPLOYEES,,,,,,,,,,
1972,,,,216.11,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,246.78,246.19,255.46,241.89,249.43,245.64,254.82,250.49,214.14,241.83,243.67,244.10,267.46,1958,3.9,1.5,1.4,1.8,,2.3,,2.7,,3.7,2.7,5.6,7.9,8.2,5.6,3.1
1974,247.38,231.25,235.97,235.82,212.99,241.80,240.73,253.34,241.40,262.03,280.08,259.13,266.26,1959,6.2,2.5,3.4,4.1,,4.1,,3.1,,3.9,3.0,7.8,10.1,4.9,3.1,24.4
1975,,246.46,253.76,248.82,258.33,259.25,269.61,,,,,,,1960,4.2,5.0,3.0,2.0,,2.3,,3.0,,2.9,3.3,9.8,7.4,4.5,4.6,2.0
,,,,PRODUCTION-WORKER  AVERAGE  HOURLY  EARNINGS  -   IN  DOLLARS,,,,,,,,,,1961,5.2,5.1,3.0,13.6,,4.6,,3.7,,2.9,2.3,13.5,4.5,4.7,2.3,2.6
1958,2.62,2.52,2.50,2.54,2.55,2.56,2.56,2.55,2.63,2.65,2.64,2.83,2.83,1962,5.0,6.7,3.7,4.5,,4.2,,3.6,,3.7,3.1,9.2,11.4,4.1,3.8,1.9
1959,2.79,2.73,2.72,2.74,2.74,2.74,2.75,2.75,2.87,2.92,2.89,2.79,2.85,1963,4.2,1.8,2.2,2.4,,3.4,,4.0,,2.9,2.4,11.1,10.7,4.4,2.6,1.9
