0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,,,SIC  3732  -,BOAT  BUILDING AND  REPAIRING,,,,,,,,,,,
,,,,,,SEPARATIONS PER  100  EMPLOYEES,,,,,,,,,,,,,,,,,,,,,
1958,12.1,11.5,10.8,14.6,9.9,12.0,11.3,11.6,12.2,13.8,12.3,12.1,12.8,,,,,,,ALL  EMPLOYEES -   IN THOUSANDS,,,,,,,
1959,11.4,11.8,10.8,11.1,13.3,11.1,13.6,12.1,11.5,10.8,9.2,11.5,10.3,1947,22.1,21.7,22.5,23.6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,25.2,26.3,26.8,24.6,21.1,18.6,17.8,16.9,19.7
1960,11.2,9.8,11.2,13.3,11.2,11.2,13.5,12.3,12.9,10.9,9.8,8.4,9.3,1948,16.4,19.2,17.6,17.7,17.7,18.3,18.4,15.7,14.9,14.7,,,
,,,,,,,,,,,,,,,,,,,,,,,,,14.5,14.3,14.3
,,,,,,,,,,,,,,1949,12.1,14.4,14.2,13.3,13.1,13.1,12.4,11.8,11.3,10.7,10.3,10.5,10.5
1961,10.8,9.7,10.1,8.7,13.3,11.0,11.2,8.8,10.5,11.5,10.1,11.2,13.6,1950,13.2,10.6,11.2,12.0,13.3,13.9,14.6,13.9,13.5,13.4,13.5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,14.3
1962,10.2,10.5,9.6,9.2,10.7,10.3,9.8,8.5,12.8,9.5,11.8,10.5,9.0,,,,,,,,,,,,,,
1963,10.6,9.8,10.3,9.7,11.4,13.9,9.2,10.1,10.7,10.7,10.9,10.7,9.3,1951,14.2,14.4,14.8,14.9,15.1,15.1,14.9,14.5,13.4,13.0,12.8,13.4,13.8
1964,10.2,9.2,10.8,11.1,11.1,11.4,11.5,9.0,10.1,11.7,11.1,6.9,8.7,1952,18.4,14.1,14.9,16.0,17.6,18.7,19.8,19.9,19.6,19.2,19.2,20.4,21.3
,,,,,,,,,,,,,,1953,22.4,21.6,22.1,22.6,23.7,24.1,24.0,23.3,22.4,21.7,21.4,21.6,20.8
1965,9.0,8.4,8.2,9.0,9.2,8.9,7.8,8.8,10.0,8.8,11.2,9.2,8.6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1954,21.3,21.9,22.5,23.3,21.4,23.6,22.6,21.5,19.9,18.6,18.8,20.0,21.4
1966,8.9,6.2,8.1,9.3,10.0,10.1,10.3,8.0,10.1,10.2,10.2,7.2,6.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1955,23.7,23.3,24.8,25.5,25.8,25.9,25.3,23.4,21.9,21.3,21.4,22.0,23.2
1967,8.9,8.3,10.7,9.2,8.2,10.5,10.9,8.4,9.1,8.9,8.5,7.5,6.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1956,22.9,23.4,23.9,23.7,24.2,24.6,23.3,22.0,19.7,20.7,21.7,23.1,24.8
1968,8.6,7.2,7.8,7.4,9.0,10.7,8.2,8.4,10.7,9.6,8.5,9.0,6.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1957,26.3,26.4,27.8,28.7,28.7,28.6,27.7,25.0,23.5,23.6,24.2,25.3,25.7
1969,8.0,7.6,7.2,8.4,10.0,8.1,7.7,8.0,8.7,8.9,8.2,6.0,7.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1958,24.3,25.7,26.3,25.4,26.2,26.6,24.2,22.3,20.2,20.9,22.8,24.6,26.0
1970,8.1,7.4,7.0,8.5,8.2,8.3,8.2,8.0,8.0,8.9,9.8,7.1,7.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1959,29.0,26.6,27.8,28.9,31.3,32.2,31.4,28.3,25.7,27.0,28.5,29.6,30.4
,,,,,,,,,,,,,,1960,29.4,31.2,32.3,33.7,34.6,34.1,31.2,26.3,25.2,25.7,25.7,27.1,25.1
1971,8.6,7.4,8.6,9.7,10.5,9.1,8.9,6.1,9.6,8.6,8.8,7.5,8.7,,,,,,,,,,,,,,
1972,7.8,8.7,7.8,8.5,7.1,7.5,8.8,6.4,10.1,8.1,7.6,8.0,5.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1961,25.6,26.9,27.4,28.0,28.6,27.8,25.9,22.7,21.7,23.2,24.7,25.0,25.1
1973,7.5,7.5,8.0,8.5,8.0,8.6,8.9,6.5,8.2,7.3,7.8,5.7,5.3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1962,26.0,25.8,27.1,28.0,29.6,27.8,25.7,23.6,23.4,24.0,24.9,25.9,26.6
1974,6.5,6.4,5.9,6.9,6.5,8.1,7.5,6.5,7.2,7.4,6.7,5.2,3.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1963,26.9,26.8,26.9,27.6,28.6,28.6,27.0,24.5,24.5,25.8,26.8,27.7,27.8
