0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,SIC 367
,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,,,,,,,,,Septembe,October,,,,,,,,,May,June,July,August,September,October,November,December
,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,1961,243.0,233.7,235.7,237.7,239.8,241.7,241.2,238.6,243.7,246.1,248.7,252.9,255.6
SIC  3 6 6 2   -,,RADIO  AND  TV  COMMUNICATION  EQUIPMENT  (C on.),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1962,266.1,257.9,259.8,261.0,261.3,262.7,268.9,270.1,269.7,271.2,270.4,270.4,269.2
1961,3.0,3.1,3.1,3.2,2.6,2.7,3.3,2.7,,,,2.9,2.7,1963,262.5,266.7,263.6,263.0,262.3,262.9,263.3,259.4,263.5,261.6,262.1,261.5,260.3
,,,,,,,,,3.0,3.8,3.0,,,,,,,,,,,,,,,,
1962,2.9,2.8,3.0,3.0,3.0,2.8,2.9,2.5,3.4,3.9,2.8,2.8,2.2,1964,264.8,259.8,258.3,258.8,258.3,259.4,260.1,257.9,264.4,270.2,274.2,277.6,279.0
1963,3.7,4.6,3.5,4.2,3.5,3.4,3.7,2.9,3.5,4.1,3.8,3.8,3.1,1965,307.1,280.5,283.3,286.1,290.7,294.6,301.9,303.9,311.5,319.1,330.1,338.3,344.8
1964,3.3,4.1,4.1,3.6,3.4,3.4,3.1,2.8,3.2,3.4,2.8,2.5,2.6,1966,388.6,351.9,360.9,367.9,376.1,382.3,393.0,391.6,401.7,403.7,409.8,411.4,413.2
1965,2.7,2.8,2.5,2.8,2.7,2.8,2.4,2.6,2.6,3.6,2.6,2.3,2.2,1967,384.9,412.4,406.6,400.2,387.9,377.8,367.2,366.4,377.2,378.5,381.5,380.9,382.5
1966,2.9,2.6,2.5,2.6,2.8,2.9,2.7,2.7,,4.4,3.4,2.6,2.4,1968,381.4,382.9,384.0,384.3,383.6,381.0,383.3,376.6,381.4,379.8,379.3,380.0,380.0
,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,
