0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,SIC  25
,,,,,,,,,,September,October,,,,,,January,Febniaiy,,,,,,,September,October,November,
,,,,,,,,,,,,,,,1962,2.1,1.4,1.5,2.1,2.1,2.7,2.2,2.2,3.3,3.0,2.3,,
SIC  249 -,,MISCELLANEOUS  WOOD  PRODUCTS  (Con.),,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.2
,,,,,,,,,,,,,,,1963a j,2.0,1.3,1.4,1.8,2.2,2.7,2.3,2.1,3.0,2.8,2.2,1.5,1.1
,,,,,,,,,,,,,,,1964,2.3,1.7,1.7,2.0,2.4,2.5,2.2,2.4,2.9,3.4,2.6,1.9,1.5
1960,4.3,5.0,4.9,5.3,5.2,4.9,4.7,4.6,4.9,3.7,3.1,,2.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1965,2.9,2.1,2.0,2.7,2.8,2.8,2.7,2.8,3.9,4.5,3.3,2.9,2.4
,,,,,,,,,,,,,,,1966,4.3,3.1,3.0,4.0,4.1,4.8,4.1,4.2,5.8,6.4,4.7,3.9,3.2
1961,4.4,4.2,3.7,4.7,5.6,4.3,4.7,4.2,5.7,5.4,4.5,3.4,2.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1967,4.0,3.4,3.0,3.6,3.6,4.4,4.1,3.8,5.8,5.9,4.0,3.4,2.8
1962,4.9,4.9,4.9,5.4,5.9,5.8,5.4,5.3,5.3,5.0,4.8,3.4,2.9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1968,4.1,3.5,3.1,3.6,4.0,4.1,3.7,3.9,5.8,6.2,4.6,3.9,2.9
1963o j,5.1,4.6,6.0,6.0,5.2,5.8,5.2,6.4,6.0,6.1,4.5,3.7,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1969,4.5,3.9,3.4,4.2,4.4,4.8,4.5,4.4,6.6,6.8,4.7,3.4,2.8
1964,5.0,5.0,5.3,5.4,5.1,4.9,5.7,5.1,5.7,6.0,4.6,3.7,2.9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1970,3.8,3.6,3.5,3.7,4.2,4.0,3.7,3.7,5.1,5.3,3.5,2.6,2.2
1965,5.3,5.1,5.2,5.7,4.9,5.1,6.3,4.8,6.3,6.5,5.6,4.8,37,,,,,,,,,,,,,,,
1966,6.6,4.9,5.6,7.1,6.3,6.6,8.1,6.7,7.5,8.2,7.8,5.6,4.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1971,3.1,2.7,2.3,2.4,2.8,2.9,3.2,3.0,4.5,4.9,3.5,2.6,2.1
1967,6.3,6.0,5.6,6.2,5.5,6.4,7.8,6.3,7.2,7.8,6.6,5.7,4.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1972,4.0,2.9,2.7,3.7,3.5,4.5,3.8,4.0,6.4,6.0,4.1,3.7,2.8
1968,6.3,7.1,5.4,5.2,6.3,6.1,7.8,6.3,6.8,7.2,6.7,5.8,4.7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1973,5.0,3.6,3.4,4.5,4.7,5.2,5.1,5.1,8.5,6.3,5.7,4.5,2.9
1969,6.5,6.7,5.7,6.2,6.4,7.1,8.9,6.8,7.3,8.0,6.6,4.6,3.9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1974,4.6,4.1,3.8,4.6,4.8,5.4,4.7,5.2,7.5,6.1,4.7,2.8,1.6
1970,5.7,6.4,5.4,5.7,5.8,5.7,7.1,5.7,7.1,6.6,5.5,4.1,3.4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1975,,1.9,1.5,1.8,2.0,2.5,2.4,,,,,,
1971,5.5,4.8,4.9,5.4,4.5,4.9,7.2,5.8,6.8,7.4,6.0,4.3,3.4,,,,,,,,,,,,,,,
1972,6.4,5.7,5.3,6.6,5.7,,,,,,,,,,,,,,,,LAYOFFS  PER  100  EMPLOYEES,,,,,,,
,,,,,,7.0,7.3,6.2,7.8,8.0,7.3,5.5,4.0,,,,,,,,,,,,,,,
1973,7.3,6.6,6.2,6.9,6.9,8.1,8.5,7.2,9.3,8.5,8.6,6.2,4.5,,1958,2.3,3.9,2.7,2.7,2.7,2.5,1.4,1.5,2.1,1.9,1.9,2.1,2.5
1974,6.4,6.7,5.8,6.2,6.7,7.4,8.0,7.6,7.7,7.5,6.2,3.8,3.1,,1959,1.8,1.8,1.8,1.0,1.0,1.3,1.2,1.1,1.7,2.4,3.4,2.2,2.8
1975,,4.5,4.4,4.7,5.9,6.4,5.9,,,,,,,,1960,2.1,1.7,1.7,1.7,1.1,1.6,1.3,1.7,2.2,1.8,2.9,2.9,4.2
,,,,,,NEW  HIRES  PER  100  EMPLOYEES,,,,,,,,,1961,2.1,2.8,2.4,2.2,1.5,1.6,1.8,1.9,2.4,1.9,2.3,2.3,2.0
,,,,,,,,,,,,,,,1962,2.0,2.0,1.7,1.9,1.9,1.6,.9,2.7,1.7,1.8,2.8,2.1,2.9
1958,2.1,1.4,1.2,1.3,1.8,1.6,2.1,3.0,2.9,3.2,3.5,1.9,1.6,,,,,,,,,,,,,,,
,,2.7,,,,,,,,,,2.0,,,1963a j,2.1,2.7,2.3,2.0,1.6,1.2,2.1,2.8,2.3,1.8,1.8,2.1,2.7
1959,3.6,,3.0,3.8,4.0,4.5,4.7,3.7,4.6,4.6,3.2,,1.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1964,1.6,2.4,1.8,1.4,1.1,1.6,1.2,1.5,2.0,1.4,1.8,1.4,1.3
1960,3.2,3.2,3.6,3.5,3.8,3.8,3.8,3.8,3.7,3.0,2.5,1.7,1.4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1965,1.2,1.3,1.1,1.0,1.2,1.7,.6,1.4,1.5,1.1,1.0,1.2,1.2
,,,,,,,,,,,,,,,1966,1.2,1.4,.7,.8,.9,.5,.7,2.0,1.5,1.2,.9,1.4,2.4
1961,3.1,2.3,2.3,2.7,3.3,2.8,3.6,3.2,4.7,4.3,3.5,2.4,1.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1967,1.2,1.7,1.0,1.2,2.3,.9,.7,1.0,1.0,1.2,.8,1.4,.9
1962,3.7,3.3,3.4,4.2,4.6,4.5,4.4,3.5,4.4,4.0,3.9,2.6,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1968,1.0,1.5,1.2,1.3,1.1,.4,.8,1.3,.8,.7,.7,.9,1.2
1963a i,3.7,2.4,3.8,4.1,3.8,4.8,4.2,4.5,4.3,4.7,3.4,2.7,1.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1969,.7,1.1,.8,1.0,.5,.5,.5,.6,.4,.4,.7,1.1,1.1
1964,3.8,3.2,3.7,3.8,3.9,3.8,4.7,4.2,4.7,4.9,3.9,2.9,2.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1970,1.4,1.2,.6,1.0,1.6,1.2,1.2,2.3,1.4,1.1,1.2,2.2,1.6
1965,4.4,3.8,4.1,4.8,3.9,3.9,5.5,3.9,5.3,5.5,4.6,4.1,3.0,,,,,,,,,,,,,,,
1966,5.7,4.0,4.5,6.0,5.3,5.8,7.2,5.7,6.5,7.5,6.8,4.7,3.9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1971,1.1,1.1,1.3,1.0,1.2,1.2,1.0,1.4,.9,.8,1.1,1.1,1.5
1967,5.3,4.8,4.4,4.7,4.4,5.3,6.7,5.5,6.3,7.0,5.8,5.0,3.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1972,.9,1.3,.9,.6,.6,.7,.6,1.0,.8,.6,1.0,1.1,1.4
1968,5.3,5.5,4.2,4.2,5.1,5.4,6.6,5.0,5.6,6.6,5.9,5.1,3.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1973,.7,1.0,.9,.7,.5,.6,.7,.5,.8,.8,.9,.5,.7
1969,5.7,5.7,4.7,5.1,5.6,6.2,8.0,5.8,6.4,7.4,6.0,4.0,3.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1974,1.9,1.5,.7,.5,.8,.7,1.0,1.4,1.8,2.3,2.6,4.8,5.1
1970,4.7,5.4,4.4,5.0,5.1,4.8,6.1,4.7,5.4,5.8,4.7,3.0,2.4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1975,,5.1,3.7,2.1,2.1,2.8,1.9,,,,,,
1971,4.4,3.4,3.8,4.3,3.7,3.9,5.8,4.7,5.5,6.3,5.2,3.6,2.6,,,,,,,,,,,,,,,
1972,5.4,4.6,4.2,5.4,5.0,6.1,6.2,5.3,6.8,7.3,6.0,4.6,3.2,,,,,,,,,,,,,,,
1973,6.6,5.4,5.5,6.1,6.1,7.5,7.8,6.6,8.6,8.0,7.9,5.6,3.7,,SIC  25 -,,FURNITURE  AND  FIXTURES,,,,,,,,,,,
1974,5.5,5.8,5.0,5.5,6.0,6.6,7.3,6.7,6.7,6.7,5.1,2.8,,,,,,,,,,,,,,,,
1975,,2.0,1.9,2.4,3.9,3.9,4.3,,,,,,,,,,,,,,ALL  EMPLOYEES  -,IN  THOUSANDS,,,,,,
,,,,,,,,,,,,,,,1947,336,329,336,336,330,327,327,318,331,339,347,354,357
,,,,,,SEPARATIONS  PER  100  EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1948,346,361,362,358,348,338,337,332,339,344,347,346,339
1958,4.3,5.5,4.1,3.9,4.6,4.3,4.5,3.4,4.6,4.7,4.3,3.6,,,1949,317,326,321,316,,,299,2%,307,322,330,330,336
,,,,,,,,,,,,,,,,,,,,311,302,,,,,,,
1959,4.6,4.0,3.9,2.9,3.6,4.4,4.2,4.4,5.3,6.7,6.4,4.5,,,,,338,,,,,,,376,385,387,,
,,,,,,,,,,,,,,,1950,364,,347,351,354,353,356,357,,,,386,383
1960,4.8,3.8,4.1,4.5,4.4,4.5,4.0,4.7,6.2,5.3,5.5,4.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1951,357.2,380.3,383.5,385.1,375.9,357.3,343.3,337.9,338.8,339.1,343.1,349.4,352.8
1961,4.6,4.6,4.2,4.1,4.1,4.1,4.1,4.5,5.8,5.8,5.2,4.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1952,357.1,353.8,353.0,352.1,347.4,343.4,345.6,343.4,355.3,364.4,371.1,377.3,378.3
1962,5.0,4.2,3.9,4.7,5.0,5.3,4.0,5.8,6.1,5.6,6.1,4.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1953,369.9,376.2,381.0,382.4,378.8,372.4,368.0,366.3,365.1,367.6,365.2,361.3,354.1
1963a j,5.0,4.9,4.4,4.7,4.5,4.7,5.1,5.8,6.2,5.6,5.0,4.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1954,341.9,346.1,344.9,343.5,336.3,329.6,328.3,325.7,341.4,350.0,353.1,353.9,349.6
1964,4.8,5.1,4.5,4.3,4.4,5.0,4.4,4.8,6.1,5.6,5.4,4.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1955,363.8,345.9,350.7,354.1,354.2,354.1,357.7,355.1,370.9,378.0,381.8,382.3,380.8
1965,5.1,4.7,4.0,4.6,4.9,5.5,4.3,5.2,6.6,6.7,5.4,5.2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1956,375.5,378.4,379.2,376.0,372.2,368.7,370.3,364.5,376.9,381.8,382.8,377.7,377.2
1966,6.6,5.6,4.8,6.2,6.1,6.3,5.7,7.2,8.4,8.9,6.9,6.4,,,1957,,,,,,,,,,,,,375.7
,,,,,,,,,,,,,,,,374.3,369.7,371.3,371.2,370.7,367.2,371.3,369.9,379.5,382.6,382.8,379.8,
1967,6.5,6.1,5.0,6.3,6.9,6.3,5.9,5.9,8.1,9.1,6.3,6.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1958,360.8,366.9,360.9,354.7,347.2,345.6,348.9,347.5,362.8,372.6,375.7,374.8,371.8
1968,6.2,6.4,5.4,6.0,6.3,5.5,5.6,6.4,7.7,8.1,6.4,5.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1959,385.0,376.6,378.5,378.1,379.5,380.3,385.8,384.5,388.3,392.7,392.8,391.3,391.0
1969,6.4,6.4,5.2,6.1,6.1,6.4,6.2,6.2,8.4,8.6,6.7,5.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1960,383.0,388.3,387.1,386.6,387.3,383.2,384.9,377.6,385.7,386.3,385.4,377.8,365.2
1970,6.3,6.0,5.4,5.9,6.9,6.2,6.0,7.3,7.9,7.8,5.7,5.7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1961,367.5,355.0,355.7,356.0,358.4,358.5,364.3,363.3,374.6,378.6,383.0,381.7,380.6
1971,5.4,4.9,4.5,4.6,5.1,5.4,5.3,5.6,6.9,7.3,5.8,4.6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1962,385.1,375.1,377.4,379.5,380.9,383.2,386.4,382.2,391.8,392.5,392.9,391.4,387.5
1972,6.1,5.1,4.8,5.5,5.5,6.6,5.7,6.0,8.5,7.9,6.5,6.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1963,389.9,383.9,382.1,382.5,382.3,382.8,387.8,386.6,396.8,399.6,400.0,398.6,395.8
1973,6.9,5.9,5.7,6.6,6.5,7.2,7.1,6.7,10.7,8.6,7.9,6.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1964,405.9,390.9,392.9,396.3,398.4,395.8,405.9,404.7,412.6,417.5,419.9,418.9,417.3
1974,7.7,6.8,5.6,6.4,6.8,7.4,7.0,7.9,10.5,9.5,8.6,8.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1965,430.7,415.5,417.6,421.5,424.8,422.8,429.0,427.4,434.8,440.1,442.8,445.0,447.6
1975,,7.7,5.9,4.7,5.0,6.4,5.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1966,461.5,446.6,448.4,453.0,452.4,455.6,463.9,457.8,472.2,471.0,472.4,473.6,470.8
,,,,,,,,,,,,,,,1967,455.4,461.5,458.2,454.5,449.7,447.2,450.5,441.5,455.4,456.0,460.6,463.2,466.2
,,,,,,QUITS  PER  100  EMPLOYEES,,,,,,,,,1968,471.6,463.1,463.1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,464.0,463.5,464.0,472.9,464.9,477.2,478.0,480.4,484.7,483.5
