0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,August,Septembei,October,,,,,Febmaiy,April,,May,June,July,,August,September,October,December
,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,WOMEN  - ACCESSIONS  PER  1 0 0   WOMEN,,,,,,,,
SIC  25 -,,FURNITURE AND  FIXTURES  (Con.),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1 9 5 8,2 .8,,,3 .7,,,,4 .5,,,4 .2,
1 9 7 4,4 .0,3 .9,3 .4,,4 .1,4 .4,4 .6,3 .8,4 .8,6 .8,5.1,3 .9,2 .3,1.3,1 9 5 9,4 .8,,,3 .7,,,,4 .6,,,4 .7,
1 9 7 5,,1 .5,1.2,,1.3,1 .6,1 .9,1.9,,,,,,,1 9 6 0,4 .9,,,3 .9,,,,4 .0,,,3 .5,
,,,,,,,LAYOFFS  PER  1 0 0   EMPLOYEES,,,,,,,,1961,4.2,,,4 .0,,,,5.2,,,5 .2,
,,,,,,,,,,,,,,,1 9 6 2,4 .4,,,4 .4,,,,5 .0,,,4 .1,
1 9 5 8,2 .4,3 .7,2 .2,,3 .2,3 .6,2 .9,1 .9,1 .6,1 .2,1.5,1 .9,2.1,2 .7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1 9 6 3,4 .3,,,4 .3,,,,4 .9,,,4 .4,
1 9 5 9,1 .8,2 .0,1.7,,1.7,1 .5,1 .4,1.3,1.7,1 .4,1.6,2 .5,2.1,2.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1 9 6 4,4 .0,,,3 .9,,,,4 .6,,,4 .9,
1 9 6 0,2 .1,1 .9,2.1,,2 .0,1 .9,1.7,1.5,1 .9,1 .6,1.7,2 .6,3 .2,3.3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1 9 6 5,4.6,,,4 .4,,,,4 .7,,,6 .7,
,,,,,,,,,,,,,,,1 9 6 6,5 .2,,,6 .6,,,,5 .8,,,7 .9,
196 1,2 .1,3 .4,2 .5,,2 .5,1 .7,2 .3,1 .5,2 .2,1 .7,1.7,1.9,2.0,2.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1 9 6 7,4.6,,,4 .0,,,,6.1,,,6 .6,
1 9 6 2,1 .8,2 .0,1.6,,2 .2,1 .4,1.4,1 .8,2 .2,1.7,1.4,1.7,2.1,2.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1 9 6 8,4 .9,,,5 .6,,,,6 .4,,,7.7,
