0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,"SIC  375 ,9",
,Annual,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Year,,January,February,March,April,,June,July,August,,October,November,December,Year,,January,February,March,April,,June,July,August,September,October,,December
,Average,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,1969,8.6,11.5,9.0,11.2,10.3,8.7,,,,,,,
"SIC 375,9 - OTHER TRANSPORTATION  EQUIPMENT (Con.)",,,,,,,,,,,,,,,,,,,,,10.5,8.0,6.8,9.4,8.2,6.0,3.8
,,,,,,,,,,,,,,1970,7.9,11.4,7.7,8.0,7.2,7.9,9.8,8.2,9.2,10.2,7.0,5.5,3.2
1966,2.40,2.31,2.36,2.39,2.39,2.40,2.39,2.38,2.39,2.44,2.43,2.42,2.43,,,,,,,,,,,,,,
1967,2.54,2.43,2.49,2.50,2.49,2.53,2.56,2.55,2.56,2.58,2.60,2.57,2.59,1971,8.2,11.3,7.3,9.2,9.5,9.9,9.5,7.5,8.8,8.1,6.4,5.8,4.7
1968,2.77,2.59,2.64,2.70,2.73,2.79,2.76,2.75,2.80,2.82,2.83,2.85,2.83,1972,8.8,15.3,7.6,8.8,9.1,9.7,7.8,9.4,11.8,9.1,8.6,4.9,3.5
1969,2.91,2.83,2.83,2.88,2.89,2.91,2.92,2.91,2.91,2.95,2.96,2.97,2.96,1973,8.0,10.4,8.3,10.0,10.2,9.4,9.0,7.5,8.8,8.1,7.7,4.6,2.1
1970,3.07,3.00,3.02,3.02,3.05,3.03,3.05,3.05,3.08,3.13,3.14,3.13,3.16,1974,7.0,9.7,6.8,7.7,9.1,9.8,10.7,7.1,7.8,6.2,4.4,3.3,1.8
,,,,,,,,,,,,,,1975,,14.7,9.6,8.9,10.2,11.4,8.1,,,,,,
1971,3.31,3.16,3.22,3.23,3.27,3.29,3.32,3.33,3.33,3.38,3.35,3.33,3.37,,,,,,,,,,,,,,
1972,3.50,3.36,340,3.47,3.51,3.52,3.50,3.50,3.53,3.54,3.55,3.54,3.59,,,,,,,NEW  HIRES  PER  100  EMPLOYEES,,,,,,,
1973,3.69,3.61,3.59,3.64,3.66,3.68,3.68,3.69,3.69,3.77,3.77,3.75,3.79,1958,3.3,1.1,1.3,2.3,2.3,1.9,3.2,3.9,6.3,7.2,5.0,3.5,2.1
1974,3.88,3.73,3.76,3.85,3.85,3.86,3.87,3.83,3.86,3.95,3.97,3.99,4.09,1959,4.3,3.1,3.7,3.8,4.0,5.5,5.3,5.8,6.6,6.2,4.2,2.4,1.2
1975,,4.11,4.14,4.16,4.17,4.21,4.17,,,,,,,1960,3.2,2.2,3.3,3.8,3.6,3.6,3.3,4.1,4.3,3.4,3.1,2.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
,,,,,PRODUCTION-WORKER  AVERAGE  WEEKLY HOURS,,,,,,,,,1961,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3.9,2.0,2.0,V,5.1,4.6,5.2,4.9,5.3,5.1,4.8,2.0,1.5
1958,39.5,37.6,37.2,38.3,38.8,39.2,40.2,39.1,40.1,41.3,41.2,39.6,40.6,1962,5.3,4.0,5.1,619,8.1,7.8,6.4,4.6,7.0,5.5,3.3,2.8,2.5
1959,40.4,39.4,38.5,40.1,41.6,41.3,41.3,40.9,40.9,40.3,40.5,39.4,40.3,1963,5.1,3.6,5.0,5.2,6.2,6.3,6.1,5.4,5.5,6.9,4.9,3.4,3.0
1960,38.9,37.8,38.3,37.2,39.0,39.6,40.3,39.4,39.1,40.0,39.4,38.7,38.2,1964,6.4,5.8,5.9,7.9,7.3,7.5,7.0,7.0,7.6,8.2,5.9,4.1,2.5
,,,,,,,,,,,,,,1965,6.5,3.9,6.3,7.9,7.8,7.9,6.8,6.9,7.5,8.8,6.0,4.9,3.2
1961,39.3,37.2,37.5,38.6,39.3,39.4,40.1,39.6,40.5,41.1,40.4,39.0,38.6,1966,7.0,5.9,5.9,9.3,9.4,8.4,8.8,6.4,9.1,8.2,5.4,3.7,3.0
1962,40.1,36.9,38.8,38.4,40.7,41.0,41.8,40.3,41.4,41.2,40.5,39.0,39.6,1967,7.7,5.7,7.6,8.4,8.2,10.4,10.8,7.4,8.6,8.5,6.8,6.1,3.7
1963,41.0,39.2,39.9,40.3,40.8,41.9,42.0,41.7,41.6,42.2,41.6,39.7,40.9,1968,8.4,6.5,7.3,8.4,10.7,10.8,11.2,8.4,8.7,10.0,8.8,5.9,4.2
1964,41.0,39.1,40.5,40.8,41.3,42.2,42.1,40.6,41.6,40.6,42.1,40.4,40.5,1969,7.7,8.8,7.7,10.2,9.6,8.2,9.6,7.4,6.3,8.4,7.2,5.6,3.2
1965,40.3,39.8,38.3,39.1,39.2,40.5,41.4,39.6,41.4,41.7,41.5,40.4,40.2,1970,6.3,5.4,5.9,6.0,5.7,6.6,8.6,7.3,7.7,8.9,6.1,4.3,2.6
1966,39.8,38.9,38.9,40.0,40.1,40.4,40.7,39.2,40.7,40.8,40.0,39.1,38.9,,,,,,,,,,,,,,
1967,40.2,38.3,37.8,39.3,39.5,40.7,41.6,40.0,41.2,41.1,41.6,40.5,39.2,1971,6.4,3.9,4.3,6.7,7.4,8.6,8.5,6.8,8.1,7.4,6.0,5.0,3.5
1968,40.1,36.4,38.9,39.5,38.5,41.0,40.9,40.8,41.3,41.4,40.8,40.3,39.8,1972,7.4,7.3,6.0,7.7,8.1,9.1,7.2,8.5,10.9,8.4,8.0,4.2,3.0
1969,39.7,39.2,39.1,39.7,39.8,40.0,40.4,39.7,39.6,40.3,39.8,39.9,39.3,1973,7.1,7.3,6.5,8.9,9.6,8.9,8.6,6.9,8.3,7.2,7.2,4.1,1.9
1970,38.7,37.8,37.7,38.4,38.7,38.9,39.2,38.8,39.4,38.7,39.7,38.8,38.5,1974,5.6,5.6,5.0,6.1,6.8,8.2,9.3,6.4,7.2,4.9,3.6,2.3,1.2
,,,,,,,,,,,,,,1975,,1.6,1.9,2.9,4.6,5.3,3.9,,,,,,
1971,39.2,36.6,36.6,38.2,39.1,40.3,40.4,39.8,40.2,40.2,39.5,39.8,38.8,,,,,,,,,,,,,,
1972,39.7,38.3,39.2,39.9,40.0,40.2,40.3,39.6,40.9,40.6,40.2,39.4,38.0,,,,,,,SEPARATIONS  PER  100  EMPLOYEES,,,,,,,
1973,38.7,36.7,38.4,39.3,39.2,40.1,39.8,39.1,39.0,39.2,39.0,37.6,36.7,1958,5.9,4.4,6.7,6.5,5.1,4.2,3.2,4.7,4.7,5.9,5.3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,11.6
1974,38.3,36.3,37.3,38.7,38.4,40.1,39.9,38.2,38.4,37.9,37.4,37.4,38.0,1959,7.5,5.0,5.0,5.1,5.0,4.9,5.4,5.3,6.5,6.4,6.7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,26.4
1975,,35.6,36.1,37.2,38.3,39.1,39.3,,,,,,,1960,9.9,8.7,8.1,8.5,5.8,5.9,5.5,7.1,8.9,8.6,11.2,17.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8
,,,,,PRODUCTION-WORKER  AVERAGE  WEEKLY OVERTIME  HOURS,,,,,,,,,1961,6.9,7.5,4.0,5.9,4.6,5.0,7.9,6.0,6.3,6.5,5.2,7.5,16.8
1958,2.1,1.2,.9,.8,1.3,1.4,2.2,1.7,2.4,3.6,3.7,2.3,2.8,1962,7.4,4.9,4.0,5.0,4.8,6.2,6.4,8.0,7.3,6.7,9.2,9.2,17.1
1959,2.9,2.3,1.7,2.8,3.2,3.3,3.4,3.2,3.2,2.8,3.0,2.6,2.5,1963,7.1,5.3,4.8,5.9,6.1,5.7,5.9,5.9,7.6,8.4,7.6,6.8,15.2
1960,1.7,1.8,1.7,1.4,1.4,2.1,2.3,1.9,1.8,1.8,1.8,1.3,1.1,1964,7.5,6.0,5.9,6.5,6.9,5.8,6.3,6.8,8.7,9.9,7.7,7.0,12.7
,,,,,,,,,,,,,,1965,8.0,6.9,5.8,6.6,7.2,7.3,6.3,7.9,9.0,10.3,8.4,8.5,12.0
1961,1.8,.9,.7,1.3,1.7,1.9,2.2,2.0,2.5,2.9,2.4,1.7,1.2,1966,10.4,9.3,8.3,10.2,7.9,9.0,7.7,8.7,10.8,12.7,9.5,13.0,17.4
