0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
SIC  367,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,,,,
,Annual,,,,,,,,,,,,,,Annual,,,,,,,,,,,,,,,,
Year,,January,February,March,April,May,June,July,August,Septembei,October,November,December,Year,,January,February,March,April,,May,,June,,July,,August,September,October,November,December
,Average,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1969,2.2,2.1,2.1,2.2,,2.1,,2.2,,2.4,,2.1,2.2,2.4,2.2,2.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
SIC  3 6 7   -,,ELECTRONIC  COMPONENTS  AND  ACCESSORIES  (C on.),,,,,,,,,,,,,1.7,,1.8,,,1.7,,1.6,,,,,,,,,
,,,,,,,,,,,,,,1970,,2.2,,1.8,,,,,,1.7,,1.7,1.7,1.4,1.4,1.5,1.5
1966,92.11,91.80,92.66,92.21,92.16,93.02,93.43,89.67,91.43,92.46,92.40,92.00,92.86,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,97.76,,1971,1.8,1.4,1.5,1.6,,1.4,,1.6,,1.8,,1.6,1.9,2.1,2.2,2.1,2.4
1967,94.08,91.80,90.95,91.80,91.48,92.58,93.60,94.38,94.86,95.11,96.38,,99.05,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1972,2.7,2.3,2.3,2.3,,2.4,,2.4,,2.8,,2.4,2.7,3.3,3.2,3.1,3.0
1968,100.73,98.60,99.65,99.40,96.25,99.79,101.24,99.71,101.12,102.68,102.56,102.70,103.36,,,,,,,,,,,,,,,,,,
1969,,102.83,,104.41,,104.94,106.27,104.13,105.59,10692,106.11,105.84,108.38,1973,3.0,3.2,3.1,3.0,,3.1,,2.9,,3.1,,2.4,2.9,3.1,3.0,3.0,2.9
,105.20,,102.43,,103.23,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,111.17,,113.10,113.98,114.76,115.44,1974,2.2,2.5,2.8,2.6,,1.8,,2.1,,2.3,,2.0,2.1,2.0,1.9,2.0,1.9
1970,110.87,107.41,107.09,108.70,108.64,109.42,111.54,,112.52,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1975,,1.3,1.3,1.3,,1.4,,1.4,,1.7,,,,,,,
1971,117.21,114.64,114.94,116.82,116.31,117.21,118.40,115.62,117.90,118.29,117.71,117.61,121.10,,,,,,,,,,,,,,,,,,
1972,124.40,119.38,120.38,121.79,122.19,123.29,125.33,122.53,124.89,127.98,128.39,128.30,128.96,,,,,,,ACCESSIONS  PER  100  EMPLOYEES,,,,,,,,,,,
1973,130.07,127.68,127.92,128.32,128.48,129.52,129.85,126.43,129.89,131.01,131.14,134.27,136.28,1958,4.0,3.6,2.7,2.9,,3.5,,3.3,,5.0,,4.6,5.3,5.8,4.2,3.4,3.8
1974,136.89,132.50,133.91,134.35,130.64,134.55,138.29,134.49,137.32,140.40,138.93,142.35,146.17,1959,5.0,5.2,4.7,4.7,,4.7,,4.7,,5.8,,5.6,6.3,6.4,4.7,4.2,3.0
1975,,145.14,144.78,147.07,148.60,149.77,153.27,,,,,,,1960,4.0,4.1,4.5,3.8,,3.3,,4.8,,4.9,,3.5,4.7,4.5,3.8,3.4,2.6
,,,,PRODUCTION-WORKER  AVERAGE  HOURLY  EARNINGS  -   IN  DOLLARS,,,,,,,,,,1961,4.7,4.6,3.9,4.5,,5.1,,4.1,,5.1,,4.0,5.7,6.2,5.5,4.7,3.3
1958,1.79,1.76,1.77,1.76,1.78,1.78,1.79,1.79,1.78,1.80,1.79,1.80,1.82,1962,4.5,5.1,4.4,4.6,,4.9,,5.0,,5.8,,3.9,4.7,4.5,4.1,3.8,3.1
1959,1.85,1.82,1.84,1.83,1.84,1.84,1.85,1.84,1.85,1.86,1.87,1.88,1.88,1963,4.0,4.0,3.7,4.0,,4.0,,3.6,,4.3,,4.7,4.5,4.4,4.3,3.4,3.3
1960,1.93,1.89,1.89,1.91,1.90,1.92,1.93,1.94,1.93,1.94,1.95,1.96,1.99,1964,4.5,4.2,3.9,4.3,,4.1,,4.3,,5.5,,4.5,5.0,5.1,5.2,4.1,3.4
,,,,,,,,,,,,,,1965,5.4,4.0,4.7,5.2,,4.7,,4.9,,6.6,,4.1,6.4,6.9,6.3,5.6,4.8
1961,2.00,1.98,1.99,1.99,1.99,2.00,2.00,2.01,2.00,2.02,2.02,2.02,2.03,1966,5.7,6.6,5.8,6.5,,5.4,,5.9,,8.1,,4.7,6.7,6.3,5.1,4.1,2.8
1962,2.05,2.03,2.03,2.03,2.04,2.05,2.05,2.04,2.05,2.05,2.06,2.07,2.08,1967,4.2,4.3,3.2,3.4,,3.2,,3.9,,5.7,,4.9,5.8,4.9,4.9,3.8,2.9
1963,2.09,2.07,2.09,2.09,2.08,2.09,2.09,2.09,2.08,2.10,2.11,2.11,2.13,1968,4.5,4.6,4.1,4.3,,4.1,,4.2,,5.8,,4.3,5.7,5.4,4.6,3.5,3.3
1964,2.16,2.14,2.15,2.14,2.14,2.14,2.15,2.16,2.16,2.17,2.17,2.18,2.18,1969,4.9,4.9,4.4,4.8,,4.4,,5.4,,7.1,,4.9,5.9,6.3,4.8,3.1,2.5
1965,2.21,2.19,2.18,2.19,2.19,2.19,2.21,2.20,2.20,2.21,2.22,2.23,2.25,1970,3.0,3.6,3.4,2.9,,2.7,,2.8,,4.0,,3.2,3.7,3.2,2.5,2.1,2.1
1966,2.28,2.25,2.26,2.26,2.27,2.28,2.29,2.27,2.28,2.30,2.31,2.30,2.31,,,,,,,,,,,,,,,,,,
1967,2.40,2.33,2.35,2.36,2.37,2.38,2.40,2.42,2.42,2.42,2.44,2.45,2.47,1971,3.6,3.1,2.8,3.8,,3.4,,3.5,,4.5,,3.6,4.2,4.1,3.8,3.3,2.5
1968,2.55,2.49,2.51,2.51,2.50,2.52,2.55,2.55,2.56,2.58,2.59,2.60,2.61,1972,4.4,3.6,3.8,3.7,,3.5,,4.6,,5.1,,3.7,5.4,5.6,5.3,4.7,3.5
1969,2.67,2.61,2.64,2.63,2.62,2.65,2.67,2.67,2.68,2.70,2.70,2.70,2.73,1973,5.3,b.1,4.5,4.7,,4.5,,5.8,,7.2,,5.2,6.5,6.7,5.7,3.7,3.3
1970,2.85,2.74,2.76,2.78,2.80,2.82,2.86,2.88,2.90,2.93,2.93,2.95,2.96,1974,3.6,4.6,3.6,4.1,,4.0,,4.4,,5.3,,3.8,4.5,3.7,2.8,1.6,1.2
,,,,,,,,,,,,,,1975,,2.7,2.1,2.1,,2.2,,2.7,,3.8,,,,,,,
1971,2.99,2.97,2.97,2.98,2.99,2.99,2.99,2.98,3.00,3.01,2.98,2.97,3.02,,,,,,,,,,,,,,,,,,
1972,3.11,3.03,3.04,3.06,3.07,3.09,3.11,3.11,3.13,3.16,3.17,3.16,3.20,,,,,,,NEW  HIRES  PER  100  EMPLOYEES,,,,,,,,,,,
1973,3.26,3.20,3.19,3.20,3.22,3.23,3.23,3.25,3.28,3.30,3.32,3.34,3.39,1958,1.7,.9,1.0,1.0,,1.1,,1.0,,1.7,,1.6,2.5,2.9,2.5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.C,1.7
1974,3.51,3.38,3.39,3.41,3.42,3.45,3.51,3.53,3.53,3.60,3.59,3.65,3.71,1959,3.4,3.3,2.9,2.8,,3.0,,2.9,,4.4,,3.6,4.7,4.8,3.4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,1.9
1975,,3.76,3.80,3.81,3.83,3.86,3.90,,,,,,,1960,2.4,2.4,2.8,2.4,,2.0,,2.5,,3.3,,2.1,2.9,2.6,2.3,2.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
,,,,,PRODUCTION-WORKER  AVERAGE  WEEKLY  HOURS,,,,,,,,,1961,2.8,2.0,2.0,1.9,,2.2,,2.2,,3.1,,2.4,3.8,4.3,4.0,3.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
1958,39.0,38.2,38.0,38.0,38.3,38.6,39.4,38.6,39.3,40.3,39.8,40.0,3?.7,1962,3.0,3.7,3.4,2.9,,3.3,,3.5,,4.3,,2.7,3.0,3.2,2.6,2.1,1.5
1959,40.0,39.6,39.7,39.8,39.7,40.0,40.4,38.9,40.1,40.4,40.5,40.4,40.2,1963,2.3,2.0,1.9,1.9,,1.9,,2.2,,2.7,,2.5,2.6,2.8,2.7,2.0,1.8
1960,39.5,39.9,39.3,39.7,39.1,39.6,40.0,38.2,39.8,39.9,40.0,39.8,38.5,1964,2.7,2.1,2.1,2.4,,2.2,,2.4,,3.5,,2.5,3.3,3.6,3.3,2.9,2.3
,,,,,,,,,,,,,,1965,4.1,2.8,3.1,3.7,,3.5,,3.6,,5.0,,3.3,5.0,5.5,5.2,4.4,3.9
1961,40.2,40.2,40.2,40.0,40.0,39.9,40.1,38.5,40.2,40.6,40.9,41.0,40.7,1966,4.7,5.4,4.9,5.3,,4.5,,5.1,,7.0,,3.7,5.3,5.3,4.1,3.3,2.1
1962,40.0,40.1,39.9,40.1,40.2,40.4,40.4,39.5,39.7,40.3,40.0,39.9,40.0,1967,2.7,3.3,2.3,2.3,,1.9,,2.0,,3.5,,2.8,3.5,3.3,3.5,2.4,1.8
1963,39.6,39.6,39.5,39.8,39.3,39.7,39.6,39.1,39.6,39.7,40.0,39.9,39.7,1968,3.0,2.9,2.7,2.6,,2.6,,3.0,,4.3,,2.8,3.5,4.1,3.4,2.3,2.3
1964,39.9,39.0,39.7,39.7,39.8,39.9,39.8,39.5,39.8,39.9,40.2,40.4,41.0,1969,3.7,3.4,3.2,3.7,,3.4,,4.2,,6.0,,3.5,4.2,5.1,3.9,2.3,1.8
1965,40.4,40.4,40.5,40.7,39 J,41.0,41.0,39.2,39.6,40.0,40.4,40.8,41.2,1970,1.7,2.4,2.3,1.9,,1.6,,1.6,,2.5,,1.5,1.7,1.7,1.3,1.0,.9
1966,40.4,40.8,41.0,40.8,40.6,40.8,40.8,39.5,40.1,40.2,40.0,40.0,40.2,,,,,,,,,,,,,,,,,,
1967,39.2,39.4,38.7,38.9,38.6,38.9,39.0,39.0,39.2,39.3,39.5,39.9,40.1,1971,2.0,1.4,1.1,1.6,,1.6,,1.7,,2.6,,2.2,2.6,2.7,2.4,2.2,1.6
1968,39.5,39.6,39.7,39.6,38.5,39.6,39.7,39.1,39.5,39.8,39.6,39.5,39.6,1972,3.3,2.3,2.5,2.7,,2.5,,3.6,,4.0,,2.9,3.9,4.5,4.3,3.7,2.7
1969,39.4,39.4,38.8,39.7,39.4,39.6,39.8,39.0,39.4,39.6,39.3,39.2,39.7,1973,4.4,4.8,3.8,3.8,,3.7,,5.0,,6.4,,4.2,5.4,5.8,4.7,3.1,2.6
1970,38.9,39.2,38.8,39.1,38.8,38.8,39.0,38.6,38.8,38.6,38.9,38.9,39.0,1974,2.8,3.7,2.8,3.3,,3.2,,3.4,,4.3,,2.9,3.5,2.8,2.0,1.0,.5
,,,,,,,,,,,,,,1975,,1.0,.7,.8,,.8,,1.0,,1.4,,,,,,,
1971,39.2,38.6,38.7,39.2,38.9,39.2,39.6,38.8,39.3,39.3,39.5,39.6,40.1,,,,,,,,,,,,,,,,,,
1972,40.0,39.4,39.6,39.8,39.8,39.9,40.3,39.4,39.9,40.5,40.5,40.6,40.3,,,,,,,SEPARATIONS  PER  100  EMPLOYEES,,,,,,,,,,,
1973,39.9,39.9,40.1,40.1,39.9,40.1,40.2,38.9,39.6,39.7,39.5,40.2,40.2,1958,3.9,6.8,4.2,4.4,,4.9,,4.0,,2.6,,2.5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3.4,4.3,3.0,3.5
1974,39.0,39.2,39.5,39.4,38.2,39.0,39.4,38.1,38.9,39.0,38.7,39.0,39.4,1959,3.6,3.5,3.2,2.8,,3.5,,3.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3.7,,3.1,4.1,4.5,4.1,3.9,3.6
1975,,38.6,38.1,38.6,38.8,38.8,39.3,,,,,,,1960,4.3,4.2,4.2,4.2,,4.2,,4.2,,4.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.3,4.6,4.4,5.2,4.3
,,,,,PRODUCTION-WORKER  AVERAGE  WEEKLY OVERTIME  HOURS,,,,,,,,,1961,4.1,4.2,3.7,5.2,,3.4,,3.6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4.5,,3.5,4.1,6.2,4.0,3.6,3.3
1958,1.1,.9,.9,.5,.5,.8,.9,1.1,1.4,1.8,1.6,1.5,1.4,1962,4.3,3.5,4.1,4.7,,3.8,,3.7,,4.3,,4.0,5.2,5.4,4.9,4.5,3.8
