0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
SIC  363,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,January,February,,,,,,August,Septembe,October,November,December,,,,February,March,April,May,June,July,August,September,October,November,December
,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,1965,2.78,2.73,2.72,2.72,2.73,2.75,2.76,2.77,2.78,2.81,,,
,SIC  363 - HOUSEHOLD  APPLIANCES  (Con.),,,,,,,,,,,,,,,,,,,,,,,,2.83,2.83,2.87
,,,,,,,,,,,,,,1966,2.87,2.84,2.85,2.80,2.86,2.88,2.86,2.85,2.86,2.91,2.89,2.93,2.91
1962,30.0,29.0,29.3,29.6,29.9,30.0,29.8,28.1,29.4,30.8,31.4,31.7,30.9,1967,2.98,2.92,2.92,2.92,2.93,2.95,2.96,2.98,2.99,2.94,3.04,3.08,3.08
1963,31.7,30.3,30.3,30.3,30.3,29.8,30.2,29.7,31.4,33.2,34.9,35.3,34.3,1968,3.15,3.11,3.09,3.10,3.10,3.11,3.12,3.13,3.13,3.16,3.20,3.22,3.28
1964,32.6,32.3,32.3,32.3,32.5,31.5,32.4,31.3,31.6,33.5,34.2,34.7,33.7,1969,3.28,3.30,3.29,3.28,3.29,3.26,3.26,3.26,3.29,3.29,3.28,3.23,3.34
1965,35.1,32.9,33.4,34.4,34.3,34.3,34.9,33.4,33.6,35.5,37.1,38.6,38.7,1970,3.43,3.36,3.40,3.40,3.42,3.44,3.48,3.47,3.43,3.37,3.44,3.41,3.59
1966,41.0,38.1,39.2,38.6,40.4,41.1,40.3,38.2,39.9,42.7,44.9,44.4,44.4,,,,,,,,,,,,,,
1967,40.4,42.2,40.6,39.9,39.0,39.1,39.4,37.1,38.7,39.2,42.9,43.9,43.2,1971,3.67,3.56,3.55,3.62,3.64,3.69,3.71,3.73,3.66,3.71,3.68,3.71,3.77
1968,42.1,40.9,40.5,40.4,40.8,40.7,41.4,40.1,42.2,43.0,44.4,45.9,45.1,1972,3.86,3.79,3.81,3.82,3.85,3.87,3.87,3.85,3.88,3.89,3.84,3.92,3.96
1969,47.3,47.5,46.5,46.3,47.3,48.0,48.3,47.2,47.8,49.8,51.1,43.5,43.7,1973,4.06,4.01,3.98,3.98,4.00,4.02,4.05,4.08,4.09,4.10,4.08,4.13,4.16
1970,47.9,42.5,47.5,48.7,48.2,47.2,46.7,46.3,48.5,49.3,50.8,50.3,48.3,1974,4.25,4.16,4.18,4.19,4.17,4.22,4.28,4.29,4.31,4.30,4.28,4.29,4.40
,,,,,,,,,,,,,,1975,,4.44,4.40,4.47,4.48,4.49,4.54,,,,,,
1971,45.6,45.2,45.0,45.1,44.0,44.7,44.4,44.0,44.8,47.2,47.4,47.8,48.0,,,,,,,,,,,,,,
1972,49.8,46.7,46.9,47.5,47.8,48.1,49.1,49.0,49.3,51.7,53.9,54.3,53.8,,,,,,PRODUCTION-WORKER AVERAGE  WEEKLY  HOURS,,,,,,,,
1973,57.0,52.8,53.8,55.0,55.3,55.9,56.2,55.6,57.1,59.6,60.6,61.6,60.6,1958,39.4,39.1,38.3,38.9,37.3,38.5,39.0,39.2,39.8,41.5,38.8,41.4,41.0
1974,58.0,58.8,56.6,57.4,58.0,58.9,60.6,59.7,61.7,61.6,60.7,54.4,47.9,1959,40.2,40.5,40.3,40.0,40.0,39.9,40.8,40.4,40.6,40.1,40.4,38.4,41.3
1975,,43.9,40.2,38.6,39.3,40.0,42.7,,,,,,,1960,39.6,40.3,40.0,39.3,39.3,39.4,39.6,39.7,39.6,39.9,39.9,39.0,39.4
,,,,,PRODUCTION  WORKERS -   IN  THOUSANDS,,,,,,,,,1961,40.2,39.7,38.9,39.6,40.2,40.2,40.3,40.2,40.4,41.0,40.5,40.6,40.9
1958,112.6,119.7,116.4,114.1,111.2,106.6,104.5,104.2,104.6,113.1,116.3,120.6,120.2,1962,40.4,39.4,40.1,40.1,40.3,40.2,40.6,40.4,40.8,40.8,40.8,40.7,41.2
1959,121.8',118.7,120.1,121.9,121.4,122.2,121.3,119.0,122.3,124.4,125.3,120.6,123.9,1963,40.8,39.9,40.2,40.8,40.4,40.9,41.5,41.3,40.8,41.7,40.9,40.3,41.1
1960,119.4,127.1,128.4,128.4,126.1,123.5,121.0,116.2,113.0,115.0,109.6,114.5,110.0,1964,40.5,39.5,40.1,40.2,40.4,40.0,40.4,40.4,40.6,40.6,41.3,41.4,41.5
,,,,,,,,,,,,,,1965,41.2,41.3,41.2,41.3,40.7,40.8,41.0,40.0,40.8,40.9,42.0,42.0,42.8
1961,112.9,108.5,110.2,110.9,111.7,112.2,112.9,110.6,111.8,115.1,117.3,117.0,116.5,1966,41.4,41.9,41.5,40.7,41.5,41.8,41.5,40.8,41.8,42.1,41.4,41.3,40.1
1962,114.8,113.6,113.8,115.1,116.0,116.4,115.3,111.7,112.6,115.9,116.5,115.8,115.4,1967,40.3,39.6,39.3,39.4,38.2,40.1,40.2,40.4,40.1,40.9,41.2,42.1,41.3
