0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,SIC  3632,
,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,,,,,,,,,Septembei,October,,,,,,,,,,,,,August,September,October,November,December
,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,1972,1.8,1.3,1.2,1.4,1.5,1.7,1.7,1.5,3.2,2.8,,,
SIC  363 -,,HOUSEHOLD  APPLIANCES  (Con.),,,,,,,,,,,,,,,,,,,,,,,,2.3,1.8,1.3
,,,,,,,,,,,,,,,1973,2.5,2.1,1.6,2.1,2.1,2.3,2.3,2.2,3.7,4.1,3.6,2.3,1.5
1970,4.1,3.9,3.7,4.0,4.3,4.6,5.1,3.7,4.4,,3.4,2.6,3.6,,1974,2.1,1.7,1.5,1.9,2.3,2.4,2.3,2.1,3.9,3.4,2.1,1.2,.8
,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1975,,.8,.6,.8,1.0,.9,1.0,,,,,,
1971,3.7,3.1,2.9,3.3,3.5,3.6,4.0,3.0,6.0,4.8,4.5,3.2,2.8,,,,,,,,,,,,,,,
1972,4.4,4.3,4.8,3.7,4.0,4.9,4.6,3.8,6.0,6.0,4.9,3.7,2.3,,,,,,,,LAYOFFS PER  100  EMPLOYEES,,,,,,,
1973,4.7,4.3,4.2,4.2,4.7,5.1,5.0,4.3,5.9,6.9,6.4,3.7,1.8,,1958,2.5,3.5,2.1,3.2,4.7,3.5,2.9,2.3,1.8,.8,1.4,1.7,1.9
1974,4.0,3.4,2.9,3.6,4.4,5.1,5.7,4.8,5.5,5.2,3.7,2.1,1.0,,1959,2.2,1.5,1.1,.8,1.2,1.9,2.3,1.8,5.2,2.6,2.4,3.1,2.3
1975,,4.4,2.6,3.6,4.6,5.2,6.1,,,,,,,,1960,2.8,1.1,1.7,1.7,2.4,2.8,3.6,3.3,3.0,2.6,2.6,4.2,4.1
,,,,,N,EW  HIRES  PER  100  EMPLOYEES,,,,,,,,,1961,2.1,2.7,2.3,1.6,1.3,1.6,2.4,3.8,1.4,2.0,1.9,1.6,2.8
1958,1.4,1.6,1.3,1.0,8,.8,1.1,1.2,1.8,2.8,2.5,1.3,.8,,1962,1.8,1.5,1.6,1.2,.8,1.1,2.2,2.3,1.7,2.2,1.9,2.3,2.6
1959,1.9,1.8,1.7,1.9,1.6,1.8,2.2,1.9,2.8,2.6,2.0,1.4,1.5,,1963,1.4,1.8,1.3,1.2,.7,.9,1.0,1.8,1.8,1.1,.9,1.8,2.2
1960,1.7,2.7,2.2,2.8,1.5,1.4,1.7,1.2,1.7,1.8,1.7,.8,.3,,1964,1.2,1.5,1.1,1.2,1.2,.9,.7,2.2,.7,.9,.5,.7,2.5
,,,,,,,,,,,,,,,1965,1.2,.9,.7,1.0,1.0,.8,1.3,3.4,2.2,.7,.4,.9,1.1
1961,1.5,.8,.5,1.1,1.2,1.4,1.5,1.3,2.4,2.3,2.4,1.7,1.1,,1966,.8,.4,.4,.5,.2,.4,.7,3.4,.7,.4,.4,.7,1.1
1962,1.8,1.6,1.8,2.2,1.9,2.4,2.0,1.2,2.2,2.2,1.8,1.2,.8,,1967,1.1,2.4,2.1,1.6,1.0,.9,.3,.4,1.1,.7,.2,.5,1.5
1963,2.3,1.3,1.5,2.1,2.3,2.5,2.5,2.0,4.0,3.6,2.5,1.8,1.5,,1968,.8,1.4,1.2,1.0,.7,.7,.7,.4,.3,.2,.6,1.0,1.1
1964,2.1,2.1,1.7,1.6,2.1,2.1,2.4,1.7,2.3,3.0,2.4,2.1,1.4,,1969,.7,.6,.5,.5,.5,1.2,.4,1.0,.5,.3,1.0,.8,1.3
1965,2.7,2.5,2.4,2.6,2.3,2.1,2.5,2.2,2.6,3.5,4.0,3.0,3.2,,1970,1.3,1.3,.8,.8,1.6,.7,.7,.5,1.9,.7,.9,2.7,2.8
1966,4.1,4.1,4.0,4.1,4.1,4.0,5.1,3.0,4.3,5.6,5.6,3.5,1.7,,,,,,,,,,,,,,,
1967,2.7,2.0,1.7,1.8,2.0,2.4,3.3,2.2,3.6,4.1,4.0,3.3,1.8,,1971,1.7,3.0,.8,1.0,1.0,.7,4.3,1.3,.7,1.9,3.3,1.0,1.8
1968,3.2,2.2,2.4,2.4,2.9,3.1,3.6,3.4,4.1,4.9,4.6,2.7,2.0,,1972,.9,.9,.8,1.1,.6,.5,1.1,1.3,.9,1.3,1.0,.6,1.0
1969,3.5,3.9,3.2,3.6,3.7,4.1,4.2,3.3,3.4,5.0,3.7,2.5,1.9,,1973,.7,1.4,.5,.5,.4,.6,1.1,1.0,.4,.2,.6,.8,1.3
1970,2.8,2.9,2.7,3.1,3.2,3.1,3.8,2.4,3.0,3.6,2.6,1.7,1.0,,1974,1.9,1.6,1.5,.5,.6,.5,.6,1.1,1.0,1.9,3.1,3.9,6.7
,,,,,,,,,,,,,,,1975,,10.5,4.7,3.7,3.1,1.9,1.9,,,,,,
1971,2.0,1.5,1.4,1.9,1.7,2.0,2.4,1.8,2.5,3.1,2.6,1.8,1.2,,,,,,,,,,,,,,,
1972,3.0,2.6,2.3,2.5,2.5,3.5,3.5,2.3,4.3,4.5,3.8,2.7,1.7,,,,,,,,,,,,,,,
1973,3.6,3.0,3.0,3.1,3.6,3.9,3.9,2.9,4.5,5.3,5.4,3.0,1.2,,SIC  3632  -,,HOUSEHOLD  REFRIGERATORS AND  FREEZERS,,,,,,,,,,,
1974,2.7,2.0,2.1,2.6,2.9,3.7,4.3,3.2,3.8,3.7,2.2,1.3,.3,,,,,,,,,,,,,,,
1975,,.3,.4,.5,.8,1.2,1.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,A,LL  EMPLOYEES  -  IN  THOUSANDS,,,,,,,
,,,,,,SEPARATIONS PER  100  EMPLOYEES,,,,,,,,,1958,43.8,46.4,46.8,46.4,45.1,43.0,41.7,40.6,38.4,42.1,43.2,45.1,46.5
,,,,,,,,,,,,,,,1959,48.6,47.5,49.1,50.0,50.2,50.2,49.0,47.8,47.6,48.8,47.4,46.1,49.0
1958,3.8,4.8,3.2,4.4,5.7,4.6,3.9,3.5,3.2,2.7,3.2,2.9,2.9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1960,48.1,51.5,53.8,55.0,53.9,53.0,50.9,45.6,42.7,42.9,39.2,43.6,44.7
1959,3.9,3.3,2.4,2.2,2.9,3.5,3.9,3.4,7.2,5.2,4.3,4.5,3.5,,,,,,,,,,,,,,,
1960,4.3,2.6,3.1,3.5,4.3,4.4,5.3,4.8,4.6,5.1,4.0,5.2,5.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1961,45.7,45.6,46.6,46.7,46.1,46.0,45.3,43.7,42.9,45.0,46.1,46.4,47.5
,,,,,,,,,,,,,,,1962,46.5,47.6,47.2,48.3,48.7,48.8,48.1,46.3,44.6,45.1,44.2,43.6,45.6
1961,3.6,4.0,3.3,2.7,2.4,2.9,3.8,5.4,3.3,4.5,3.8,3.2,4.1,,,,,,,,,,,,,,,
