0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,,,,,,,,,,,November,,,,,,,,,,,,September,October,November,December
,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC  372 -,,AIRCRAFT AND  PARTS  (Con.),,,,,,,,,,,,,,,,,,NEW  HIRES PER  100  EMPLOYEES,,,,,,,
,,,,,,,,,,,,,,1958,1.4,.8,1.1,1.1,1.2,1.2,2.1,1.6,1.5,2.0,1.7,1.5,1.2
1955,41.3,41.5,41.1,41.3,40.7,41.0,41.0,41.2,41.0,41.4,41.5,41.7,42.2,1959,1.5,1.5,1.4,1.4,1.3,1.4,2.5,2.0,1.6,1.6,1.2,.9,.9
1956,42.1,42.0,42.0,41.7,41.7,41.9,41.7,41.9,42.3,42.4,42.3,424,42.9,1960,1.4,1.3,1.2,1.1,.9,1.0,1.7,1.5,1.8,1.6,1.7,1.5,1.3
1957,41.0,42.6,42.3,42.2,42.0,40.6,40.6,40.4,40.4,40.2,40.1,39.9,40.6,,,,,,,,,,,,,,
1958,40.5,40.6,40.3,40.6,40.3,40.4,40.5,40.4,40.6,40.6,40.3,40.5,40.8,1961,1.7,1.6,1.5,1.4,1.4,1.3,2.2,1.5,2.0,2.0,2.3,2.0,1.5
1959,40.7,40.6,40.6,40.5,40.6,40.4,40.9,40.7,40.7,40.6,40.7,40.7,41.0,1962,2.1,2.2,2.1,2.0,2.1,2.0,2.8,2.4,2.1,2.4,2.4,1.7,1.3
1960,40.9,40.8,40.8,40.8,40.3,41.0,40.8,41.1,40.9,40.7,41.1,41.2,41.4,1963,1.7,1.8,1.6,1.6,1.7,1.5,2.4,1.9,1.7,2.0,1.8,1.4,1.1
,,,,,,,,,,,,,,1964,1.4,1.2,1.2,1.3,1.2,.9,1.9,1.6,1.7,1.6,1.5,1.3,1.2
1961,41.4,41.7,41.6,41.5,41.1,40.9,40.7,40.9,41.1,41.5,41.5,41.8,42.3,1965,2.5,1.6,1.7,2.1,1.9,2.0,3.0,2.9,2.9,2.8,3.1,3.1,2.8
1962,41.8,41.8,41.8,41.9,41.8,41.6,41.5,41.4,41.5,41.8,42.2,42.3,42.3,1966,3.6,3.8,3.6,3.6,3.1,3.6,5.3,3.7,4.0,3.6,3.8,2.7,1.9
1963,41.5,42.0,41.7,41.3,41.1,41.2,41.4,41.4,41.5,41.7,41.7,41.4,41.5,1967,2.6,2.4,2.5,2.5,2.4,2.5,3.8,3.1,2.8,2.7,2.8,2.1,1.5
1964,41.4,41.3,41.1,"41,1",41.2,41.1,41.4,41.2,41.3,41.2,41.5,41.8,42.0,1968,1.8,2.1,2.0,1.6,1.7,1.6,2.7,2.1,1.9,2.0,1.9,1.3,1.0
