0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,September,October,,
,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,1931,20.64,2 0 .8 6,21.91,22.23,2 1 .8 6,21.72,21.08,20.37,20.25,19.39,19.48,19.07,19.10
,,,,,,,,,,,,,,,1932,16.89,18.37,18.62,18.06,17.35,17.15,16.41,15.95,15.78,16.15,16.52,16.03,15.86
,,,,,,,,,,,,,,,1933,16.65,15.31,15.51,14.86,15.32,16.28,16.90,17.08,17.67,17.71,17.65,17.01,17.15
1932,"5,351","5,648","5,743","5,657","5,470","5,259","5,097","4,923","5,059","5,333","5,423","5,350","5,252",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1934,18.20,17.22,18.21,18.45,18.76,18.71,18.41,17.70,18.00,17.78,18.16,18.03,18.88
1933,"5,924","5,110","5,227","5,029","5,160","5,399","5,781","6,155","6,570","6,860","6,827","6,555","6,413",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1935,19.91,19.04,19.77,19.93,19.86,19.47,19.38,19.17,19.93,20.18,20.63,20.47,2 1 .1 1
1934,"6,909","6,354","6,747","7,026","7,156","7,176","7,077","6,954","7,046","6,735","6,928","6,800","6,910",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1936,21.56,20.46,20.48,2 1 .1 1,21.25,21.56,21.56,21.15,21.62,2 1 .1 2,22.29,22.49,23.40
1935,"7,374","7,002","7,232","7,349","7,366","7,260","7,130","7,171","7,412","7,591","7,701","7,654","7,618",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1937,23.82,22.67,23.39,24.17,24.72,24.90,24.64,24.04,24.48,23.69,24.05,22.71,2 2 .0 1
1936,"8,014","7,469","7,507","7,605","7,731","7,806","7,856","7,969","8,203","8,407","8,499","8,500","8,619",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1938,22.07,21.17,21.60,21.78,21.43,21.49,21.42,21.45,2 2 .2 2,22.62,23.22,22.79,23.40
1937,"8,791","8,473","8,698","8,894","8,988","9,004","8,910","8,956","9,079","9,091","8,952","8,474","7,965",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1939,23.64,22.94,23.21,23.44,22.94,23.10,23.41,22.75,23.61,23.64,24.70,24.61,25.00
1938,"7,478","7,434","7,494","7,473","7,328","7,148","7,026","7,073","7,434","7,723","7,778","7,876","7,955",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1940,24.96,24.24,24.17,24.40,24.18,24.42,24.67,24.28,25.14,25.52,25.96,25.74,26.73
1939,"8,318","7,795","7,926","8,037","8,037","7,992","8,038","8,081","8,375","8,722","8,987","8,947","8,882",,,,,,,,,,,,,,,
1940,"8,940","8,636","8,653","8,617","8,528","8,488","8,537","8,586","8,973","9,338","9,541","9,636","9,745",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1941,29.48,26.36,27.27,27.66,27.91,29.10,29.98,29.45,30.12,30.50,31.11,31.06,32.01
,,,,,,,,,,,,,,,1942,36.68,33.15,33.79,34.45,34.89,35.69,36.04,36.34,37.32,37.70,38.81,39.69,40.14
1941,"11,016","9,717","9,951","10,187","10,472","10,714","11,015","11,302","11,570","11,804","11,852","11,823","11,787",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1943,43.07,40.53,40.90,41.66,42.39,42.99,43.12,42.68,43.39,44.41,44.73,45.24,44.41
1942,"12,996","11,732","11,952","12,162","12,356","12,548","12,736","13,066","13,438","13,741","13,862","14,039","14,317",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1944,45.70,44.97,45.26,45.35,45.27,45.71,45.85,45.05,45.56,45.88,46.65,46.48,47.01
1943,"15,147","14,441","14,650","14,844","14,930","14,960","15,200","15,384","15,490","15,446","15,495","15,540","15,382",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1945,44.20,47.08,46.94,46.99,46.78,45.70,46.00,45.06,41.27,40.27,40.42,40.24,40.70
1944,"14,740","15,231","15,204","15,044","14,850","14,725","14,725","14,708","14,719","14,546","14,411","14,339","14,382",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1946,43.32,40.57,39.96,41.64,42.26,41.90,42.77,42.81,44.40,44.86,45.29,45.47,46.67
