0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
SIC  332,,,,,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,
,Annual,,,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Year,,January,February,March,,April,,May,,June,,July,,August,September,fember,December,Year,,January,February,March,April,May,June,July,August,September,October,November,December
,Average,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1969,3.4,3.2,2.7,3.1,3.6,3.6,3.5,3.3,4.9,4.9,,,
SIC  332  -,,IRON  AND  STEEL  FOUNDRIES  (Con.),,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.7,2.2
,,,,,,,,,,,,,,,,,,1970,2.4,2.6,2.5,2.6,2.7,2.7,2.4,2.2,3.1,3.1,2.1,1.4,1.1
1966,5.0,4.5,4.1,,4.9,,4.6,,5.0,,6.3,,4.2,7.9,5.2,4.4,3.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1971,1.5,1.3,1.2,1.4,1.6,1.6,1.6,1.4,2.0,2.1,1.5,1.1,1.0
1967,4.2,4.8,3.5,,3.5,,3.5,,4.2,,5.2,,3.8,4.8,4.6,43,3 1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1972,2.0,1.3,1.4,1.7,1.8,2.0,2.0,1.8,3.0,3.1,2.4,1.9,1.7
1968,4.8,4.4,3.8,,4.2,,4.5,,4.8,,5.9,,4.4,5.3,5.6,46,42,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1973,2.9,2.4,2.2,2.7,2.6,2.8,3.0,2.8,4.5,3.7,3.3,2.6,1.7
1969,5.8,6.1,5.1,,5.4,,5.7,,5.6,,7.6,,5.4,6.7,7.3,46,39,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,3.0,1974,2.6,2.3,2.2,2.8,2.6,3.0,2.7,2.6,4.0,3.4,2.4,1.5,1.1
1970,4.5,5.3,4.5,,5.3,,4.7,,5.0,,5.6,,3.9,5.2,4.6,3 1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1975,,1.5,1.1,1.2,1.3,1.4,1.2,,,,,,
1971,3.6,3.6,3.3,,3.5,,3.3,,3.4,,3.9,,2.9,5.0,4.0,3.2,3.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.7,6.2,5.2,3.9,3.0,,,,,,,LAYOFFS  PER  100  EMPLOYEES,,,,,,,
1972,4.4,4.4,3.7,,3.8,,4.0,,4.8,,5.0,,,,,,,,,,,,,,,,,,,,
1973,5.3,5.3,4.5,,5.1,,5.1,,6.3,,6.2,,5.2,6.2,6.2,4.8,3.0,1958,2.8,4.7,3.6,4.1,3.9,3.3,2.5,2.1,2.5,1.8,1.7,1.5,1.5
1974,4.6,4.5,4.3,,5.0,,5.0,,5.5,,5.5,,4.5,6.0,5.7,2.7,2.1,1959,1.7,1.8,1.5,1.3,1.0,.9,1.0,1.2,1.1,2.1,2.7,3.8,1.6
1975,,2.9,2.4,,2.7,,3.7,,3.0,,3.4,,,,,,,1960,2.7,1.5,1.7,2.6,3.1,2.6,1.8,2.1,2.9,3.2,3.0,3.6,4.2
,,,,,,,NEW  HIRES  PER  100  EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,1.0,,
,,,,,,,,,,,,,,,,,,1961,2.0,5.1,2.8,2.8,1.6,1.2,1.4,1.4,2.1,1.8,,1.7,1.0
,1.0,.7,.5,,.6,,.4,,.6,,.8,,1.2,1.3,1.4,1.3,1.4,1962,1.4,1.3,1.0,1.4,1.2,1.1,.9,1.7,1.7,1.4,1.9,1.5,1.3
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,2.4,2.2,2.3,,2.9,,3.0,,3.2,,3.3,,2.3,2.9,2.5,1.2,1.1,1963,1.2,1.1,1.2,1.4,1.0,1.3,.8,1.3,1.2,1.3,1.2,1.5,.9
1960,1.2,1.9,1.7,,1.4,,1.2,,1.1,,1.4,,.9,1.3,1.1,.7,.5,1964,.9,.9,.7,.6,1.0,.8,.7,1.1,.7,.7,1.3,1.0,.7
,,,,,,,,,,,,,,,,,,1965,.7,.4,.4,.4,.4,.3,.8,1.0,.7,.8,1.0,.7,1.0
1961,1.4,.8,.6,,.8,,1.3,,1.6,,1.6,,1.5,2.0,1.9,1.4,1.3,1966,.9,.7,.6,.6,.6,.6,.5,3.0,.6,.8,.7,.8,.7
1962,2.0,2.2,1.9,,2.2,,2.2,,2.6,,2.3,,1.9,2.3,1.8,1.2,1.3,1967,1.1,.8,1.1,1.9,1.1,.9,.8,1.0,1.5,1.4,1.2,1.0,.8
1963,2.1,1.6,1.8,,1.7,,2.3,,2.4,,2.7,,2.2,2.6,2.4,1.7,1.9,1968,.9,1.2,1.1,.9,.9,.7,.8,1.2,.7,.8,1.2,.4,.4
1964,2.7,2.7,2.7,,3.0,,2.9,,3.0,,3.2,,2.3,3.2,3.4,2.3,1.8,1969,.7,.3,.6,.7,.7,.8,.6,.9,.7,.6,.8,.4,1.3
1965,3.2,2.8,3.0,,3.3,,3.0,,3.3,,4.1,,2.6,3.5,3.6,3.0,2.4,1970,2.0,1.1,2.1,1.3,1.7,1.4,2.0,3.8,1.6,1.5,3.3,3.0,1.2
1966,4.0,3.5,3.2,,4.1,,3.8,,4.1,,5.5,,3.4,4.7,4.6,3.7,2.9,,,,,,,,,,,,,,
1967,3.1,3.7,2.8,,2.5,,2.6,,2.8,,4.0,,2.7,3.7,3.4,3.0,2.1,1971,1.4,1.5,.9,1.2,1.4,1.0,.8,2.3,1.6,1.3,1.3,1.5,1.7
1968,3.7,3.2,2.7,,3.0,,3.4,,3.8,,4.8,,3.4,4.3,4.4,4.0,3.5,1972,.8,1.5,.7,.8,.6,.4,.5,1.8,.6,.7,.5,.3,.6
1969,4.9,5.5,4.3,,4.7,,4.8,,4.7,,6.8,,4.4,5.6,6.1,4.0,3.2,1973,.4,.5,.4,.4,.3,.4,.2,.7,.5,.3,.5,.5,.5
1970,3.0,3.9,3.4,,3.3,,3.2,,3.4,,4.0,,2.4,3.4,3.3,1.7,1.6,1974,.7,1.3,1.1,.7,.4,.2,.3,.6,.2,.2,.5,1.1,2.2
,,,,,,,,,,,,,,,,,,1975,,3.1,2.3,1.9,1.5,1.3,1.6,,,,,,
1971,2.2,2.2,2.0,,2.2,,2.2,,2.3,,2.6,,1.7,2.5,2.8,1.7,1.5,,,,,,,,,,,,,,
1972,3.2,2.3,2.3,,2.7,,2.8,,3.7,,3.9,,2.7,4.2,4.4,3.2,2.5,,,,,,,,,,,,,,
1973,4.5,4.4,3.8,,4.1,,4.5,,5.4,,5.4,,4.4,5.4,5.1,4.1,2.4,,SIC  3321  -   GRAY  IRON  FOUNDRIES,,,,,,,,,,,,
1974,3.9,3.8,3.6,,4.1,,4.2,,4.8,,4.5,,3.6,5.2,5.1,2.3,1.5,,,,,,,,,,,,,,
1975,,2.0,1.6,,1.5,,1.5,,1.4,,1.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,ALL  EMPLOYEES -   IN  THOUSANDS,,,,,,,
,,,,,,,SEPARATIONS PER  100  EMPLOYEES,,,,,,,,,,,1958,113.4,125.6,120.1,115.3,112.1,110.8,109.8,109.0,105.5,111.6,105.5,116.6,118.6
,,,,,,,,,,,,,,,,,,1959,124.4,119.8,121.5,123.2,124.8,124.7,128.0,126.9,125.0,125.0,126.3,120.0,127.3
1958,3.8,5.7,4.4,,5.0,,4.8,,4.1,,3.3,,3.0,3.7,3.1,2 5,2.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1960,120.7,127.8,127.5,121.8,122.9,120.6,123.9,120.8,115.2,119.9,117.1,116.0,114.6
1959,3.5,3.1,2.9,,3.1,,3.1,,3.2,,3.2,,3.2,3.4,4.6,$.2,2.7,,,,,,,,,,,,,,
1960,4.0,2.8,3.2,,4.1,,4.7,,4.0,,3.2,,3.4,4.4,4.9,,5.0,,,,,,,,,,,,,,
