0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,SIC  3391,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,
,,Annual,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Year,,,January,February,March,April,May,June,July,August,September,October,November,December,,Year,,January,February,March,April,May,June,July,August,September,October,November,December
,,Average,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,PRODUCTION-WORKER  AVERAGE HOURLY  EARNINGS  -,,,,,,,,,
SIC 3391  -,,,IRCIN  ANID  STEEL  FORGINGS  (C 0 3,,,,,,,,,,,,,,,,,,,,,,IN  DOLLARS,,,,
,,,,,,,,,,,,,,,,1935,.586,.576,.577,.585,.591,.593,.592,.582,.594,.589,.583,.584,.585
,,,,,,PRODUCTION  WORKERS -   IN  THOUSANDS,,,,,,,,,,1936,.603,.596,.597,.601,.604,.598,.595,.594,.605,.607,.601,.608,.626
,,,,,,,,,,,,,,,,1937,.688,.642,.642,.659,.682,.691,.697,.682,.696,.713,.709,.720,.714
1958,,35.2,39.5,37.4,34.6,33.2,33.4,33.7,33.4,34.2,34.9,35.3,36.5,36.7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1938,.723,.727,.723,.720,.715,.721,.720,.726,.719,.717,.721,.726,.739
1959,,37.3,37.5,37.8,38.1,38.0,38.3,38.7,38.2,36.8,37.8,35.8,34.5,36.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1939,.743,.741,.739,.731,.738,.746,.743,.736,.738,.735,.751,.757,.764
1960,,34.5,36.4,36.8,37.2,36.4,35.9,35.1,33.4,32.9,33.7,32.8,32.4,31.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1940,.771,.760,.760,.754,.758,.755,.762,.770,.773,.777,.789,.798,.798
1961,,31.3,31.1,30.3,30.0,30.0,31.1,31.8,31.3,31.6,31.9,31.2,32.9,32.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1941,.874,.807,.815,.822,.830,.857,.881,.881,.892,.911,.917,.934,.947
1962,,33.1,32.6,32.6,33.7,33.8,33.7,33.8,32.9,33.4,32.4,31.9,33.3,33.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1942,1.029,.968,.974,.983,1.002,1.007,1.017,1.011,1.039,1.059,1.077,1.096,1.118
1963,,33.0,33.7,33.3,33.1,33.2,32.8,32.8,32.2,32.4,33.3,33.0,33.0,33.4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1943,1.153,1.118,1.139,1.132,1.138,1.147,1.143,1.121,1.144,1.175,1.188,1.201,1.193
1964,,33.7,33.4,33.6,33.6,33.7,33.5,33.6,32.8,32.7,34.2,34.1,34.3,34.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1944,1.221,1.204,1.210,1.210,1.207,1.205,1.209,1.215,1.199,1.247,1.250,1.243,1.247
1965,,36.2,34.3,34.7,35.3,35.4,35.8,36.3,36.3,34.9,37.4,37.6,38.2,38.4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1945,1.229,1.259,1.262,1.257,1.258,1.250,1.244,1.235,1.210,1.169,1.191,1.185,1.221
1966,,40.8,39.6,39.8,40.2,40.3,40.3,41.0,40.1,40.2,41.6,41.5,42.3,42.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1946,1.296,1.220,1.206,1.226,1.268,1.280,1.281,1.287,1.323,1.341,1.358,1.375,1.390
1967,,40.6,42.9,42.5,42.3,41.4,41.1,41.3,39.6,40.4,39.1,38.7,39.1,39.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1947,1.475,1.404,1.414,1.422,1.418,1.434,1.484,1.476,1.468,1.508,1.547,1.550,1.560
1968,,39.8,39.6,39.4,39.5,39.3,38.9,39.3,38.8,39.5,40.8,40.4,40.7,40.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1948,1.603,1.561,1.565,1.560,1.565,1.553,1.567,1.571,1.622,1.670,1.679,1.690,1.682
1969,,40.7,41.1,41.1,41.3,40.0,40.0,41.3,40.4,40.4,40.7,40.3,40.7,41.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1949,1.660,1.684,1.685,1.660,1.644,1.654,1.662,1.640,1.642,1.658,1.656,1.652,1.673
1970,,37.6,40.8,39.4,39.3,38.4,37.1,38.6,37.5,37.0,38.1,34.1,34.3,36.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1950,1.788,1.687,1.705,1.730,1.727,1.752,1.747,1.768,1.801,1.834,1.857,1.886,1.876
1971,,35.8,36.7,36.2,36.4,35.4,35.6,36.0,34.5,36.0,35.7,35.3,35.8,35.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1951,1.97,1.92,1.92,1.94,1.96,1.96,1.98,1.95,1.96,1.99,2.00,2.00,2.05
1972,,37.1,35.6,35.9,36.3,35.8,36.7,37.7,35.8,37.0,37.8,38.5,38.4,39.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1952,2.05,2.05,2.05,2.05,2.03,2.03,2.02,1.98,1.97,2.02,2.06,2.11,2.17
1973,,40.8,39.5,40.0,40.3,40.4,40.8,41.2,40.5,40.4,40.9,42.0,42.5,41.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1953,2.19,2.19,2.18,2.20,2.19,2.18,2.16,2.17,2.18,2.21,2.22,2.23,2.23
1974,,42.4,40.8,41.2,41.5,42.5,42.5,43.0,42.4,42.7,42.6,42.9,43.4,42.9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1954,2.24,2.22,2.21,2.21,2.20,2.21,2.22,2.23,2.24,2.25,2.27,2.28,2.29
1975,,,41.7,41.2,40.2,39.5,39.1,38.1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1955,2.41,2.32,2.34,2.36,2.38,2.39,2.40,2.37,2.40,2.47,2.48i,2.50,2.50
,,,,,,,,,,,,,,,,1956,2.52,2.51,2.49,2.49,2.49,2.48,2.46,2.49,2.48,2.53,2.59i,2.58,2.59
,,,,,PRODUCTION-WORKER  AVERAGE  WEEKLY  EARNINGS  -   1IN  DOLLARS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1957,2.62,2.63,2.62,2.62,2.59,2.59,2.61,2.59,2.61,2.64,2.65i,2.64,2.64
1935,,23.32,22.87,24.41,24.69,24.23,22.89,21.08,19.85,23.28,23.21,23.61,24.29,25.33,,1958,2.70,2.64,2.65,2.65,2.65,2.66,2.68,2.69,2.69,2.72,2.74,2.79,2.81
1936,,25.02,23.72,24.36,25.24,25.1S,25.06,24.28,23.05,24.26,23.61,25.18,26.75,29.17,,1959,2.86,2.82,2.83,2.84,2.85,2.87,2.85,2.87,2.85,2.87,2.87,2.85,2.91
1937,,27.93,27.67,28.25,29.26,30.21,29.57,29.20,26.19,27.70,28.23,28.01,25.56,23.92,,1960,2.93,2.97,2.98,2.95,2.90,2.90,2.90,2.89,2.88,2.91,2.93>,2.93,2.97
1938,,22.99,20.65,20.89,21.89,21.31,21.05,20.59,21.20,23.58,24.52,25.96,26.14,28.16,,,,,,,,,,,,,,,
1939,,28.16,26.68,27.27,27.05,26.94,27.23,26.82,26.42,28.04,28.08,30.12,31.49,32.01,,1961,3.00,2.96,2.95,2.95,2.97,2.98,2.99,2.98,2.99,3.04,3.01,3.07,3.06
1940,,31.30,31.24,30.78,29.71,29.56,28.92,29.57,30.26,31.23,31.55,33.53,33.68,35.51,,1962,3.10,3.06,3.09,3.10,3.09,3.09,3.09,3.09,3.09,3.10,3.11,3.14,3.16
,,,,,,,,,,,,,,,,1963,3.21,3.19,3.16,3.15,3.16,3.18,3.21,3.23,3.19,3.26,3.25i,3.25,3.27
1941,,39.50,35.83,36.27,37.15,37.18,39.25,41.14,38.50,40.41,40.90,42.00,41.47,43.94,,1964,3.31,3.27,3.25,3.26,3.30,3.30,3.29,3.28,3.31,3.36,3.36i,3.37,3.39
1942,,48.47,45.59,46.07,46.59,47.70,48.13,48.21,46.61,48.31,47.34,50.94,51.51,54.22,,1965,3.47,3.42,3.44,3.46,3.40,3.44,3.43,3.48,3.44,3.47,3.50i,3.53,3.56
1943,,54.08,53.78,54.67,54.45,54.74,54.60,53.84,50.11,53.42,47.24,56.91,58.01,56.79,,1966,3.61,3.54,3.57,3.58,3.58,3.59,3.58,3.57,3.59,3.68,3.68:,3.69,3.66
1944,,57.39,57.43,58.20,57.84,56.37,56.15,56.58,55.28,55.27,58.23,59.38,58.17,58.73,,1967,3.66,3.65,3.63,3.61,3.60,3.63,3.63,3.64,3.69,3.67,3.70i,3.70,3.77
1945,,53.71,59.55,60.32,59.20,59.50,56.38,56.60,54.46,45.74,45.59,49.55,47.99,50.55,,1968,3.92,3.81,3.80,3.85,3.81,3.87,3.88,3.92,3.91,4.02,3.98,4.08,4.10
1946,,50.41,51.12,46.31,46.83,49.83,48.00,48.93,47.49,51.99,51.90,53.64,53.90,55.46,,1969,4.16,4.12,4.10,4.13,4.16,4.14,4.15,4.14,4.16,4.22,4.19i,4.18,4.28
1947,,59.44,56.16,56.98,57.88,57.29,57.79,59.81,57.27,56.52,60.77,63.89,63.09,64.43,,1970,4.32,4.24,4.22,4.24,4.24,4.29,4.33,4.25,4.34,4.38,4.37,4.41,4.51
1948,,64.76,64.31,63.85,63.02,62.13,61.65,63.15,62.84,64.56,66.47,68.84,68.95,68.96,,,,,,,,,,,,,,,
1949,,62.75,68.88,68.24,64.74,61.81,61.53,62.49,60.84,59.93,59.69,59.62,58.98,63.57,,1971,4.62,4.50,4.54,4.53,4.55,4.58,4.67,4.61,4.65,4.66,4.65,4.69,4.85
1950,,73.67,64.44,66.50,68.34,68.39,72.53,71.80,72.66,74.20,77.39,79.67,82.23,80.48,,1972,5.04,4.86,4.88,4.94,4.99,5.00,5.05,4.84,5.00,5.15,5.15,5.22,5.28
,,,,,,,,,,,,,,,,1973,5.43,5.28,5.34,5.38,5.45,5.41,5.35,5.34,5.44,5.58,5.50',5.51,5.61
1951,,84.32,81.98,81.02,83.42,85.06,84.08,85.54,81.71,82.91,83.98,86.60,84.80,90.61,,1974,5.81,5.64,5.59,5.65,5.60,5.73,5.78,5.82,5.86,5.95,6.00',6.03,6.05
1952,,85.69,90.82,89.18,87.13,84.04,84.85,84.03,75.64,76.24,81.41,86.11,88.83,94.83,,1975,,5.99,5.98,6.03,6.12,6.16,6.27,,,,,,
1953,,90.67,94.17,93.30i,93.94,92.20,90.47,88.99,88.54,89.82,88.18,89.47,89.65,89.87,,,,,,,,,,,,,,,
1954,,86.24,87.91,87.07,85.09,82.72,83.54,83.92,84.29,85.57,85.28,86.94,88.24,91.37,,,,,,,PRODUCTION-WORKER  AVERAGE  WEEKLY  HOURS,,,,,,,,
1955,,100.74,93.73l,95.47,98.18,100.67,100.38,101.28,96.70,99.84,103.74,105.40,105.75,106.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1935,39.8,39.7,42.3,42.2,41.0,38.6,35.6,34.1,39.2,39.4,40.5i,41.6,43.3
1956,,104.83,107.43i,105.331,105.08,103.34,102.92,101.11,101.34,100.44,103.48,109.04,108.10,108.26,,1936,41.5,39.8,40.8,,41.7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,42.0,,41.9,40.8,38.8,40.1,38.9,41.9',44.0,46.6
1957,,105.32,111.78i,108.99i,108.73,104.90,104.90,107.27,104.90,103.88,103.22,101.76,99.00,100.85,,1937,40.6,43.1,44.0,44.4,44.3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,42.8,41.9,38.4,39.8,39.6,39.5■,35.5,33.5
1958,,102.87,99.79l,98.32:,99.91,98.32,98.69,101.84,104.64,100.88,104.72,105.49,107.42,113.52,,1938,31.8,28.4,28.9,30.4,29.8,29.2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,28.6,29.2,32.8,34.2,36.0i,36.0,38.1
1959,,114.11,113.08!,113.48,114.17,115.14,117.38,116.28,115.95,113.43,112.22,110.50,108.59,116.98,,1939,37.9,36.0,36.9,37.0,36.5,36.5,36.1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,35.9,38.0,38.2,40.1,41.6,41.9
1960,,115.74,122.66i,123.07,120.66,114.26,115.42,113.97,114.73,108.86,112.91,113.68,112.22,114.05,,1940,40.6,41.1,40.5,39.4,39.0,38.3,,39.3,40.4,,,,
