0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
SIC 366,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,
,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,January,February,March,April,May,June,July,August,September,October,November,,,,,,,,,,,,September,October,,
,Average,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1970,41.0,41.8,41.3,41.6,41.1,40.8,40.7,40.0,,,,,
SIC  366 -,,COMMUNICATION  EQUIPMENT  (Con.),,,,,,,,,,,,,,,,,,,,,40.3,40.3,40.5,41.1,42.0
,,,,,,,,,,,,,,1971,40.4,40.8,40.3,40.7,39.8,40.3,40.4,39.7,40.2,40.6,40.2,40.6,41.2
1967,252.5,237.4,248.9,250.3,251.0,251.3,250.9,250.9,253.3,252.8,258.2,262.0,263.4,,,,,,,,,,,,,,
,,264.6,262.9,262.1,,,,,,,257.8,259.0,258.5,1972,40.6,40.3,40.3,40.5,40.3,40.4,40.9,39.8,40.6,40.8,40.5,40.8,41.4
1968,258.0,,,,255.2,254.3,255.5,252.1,256.3,257.2,,,,,,,,,,,,,,,,,
1969,258.6,256.5,255.4,,253.6,,255.6,257.5,260.0,262.4,265.8,264.5,262.3,1973,40.6,40.3,40.6,40.6,40.2,40.7,40.7,39.5,40.4,41.1,40.6,41.4,41.3
,,,,255.0,,254.2,,,,,,,,,,,,,,,,,,,,,
1970,249.3,261.2,253.6,252.0,249.7,250.8,253.8,252.5,249.5,248.8,241.6,240.0,238.4,1974,40.2,40.6,40.2,40.3,39.5,40.4,40.6,39.4,38.5,40.4,40.5,40.9,41.4
,,,,,,,,,,,,,,1975,,39.7,39.8,39.8,39.8,39.6,39.9,,,,,,
1971,225.1,236.2,233.7,231.1,227.4,226.5,225.3,223.4,221.3,221.5,219.1,217.8,217.8,,,,,,,,,,,,,,
