0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Year,,January,February,March,,April,,May,,June,,July,,August,Septembei,October,,,,,,,,,,,,,September,October,November,December
,Average,,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
SIC  366 -,,COMMUNICATION  EQUIPMENT  (Con.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SIC  3661  -,,TELEPHONE  AND TELEGRAPH APPARATUS,,,,,,,,,,
1974,1.5,1.7,1.4,,1.3,,1.4,,1.5,,2.0,,1.7,1.9,1.9,1.5,,,,,,,,,,,,,,,,
1975,,.7,.6,,.6,,.6,,.7,,1.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ALL  EMPLOYEES  -   IN  THOUSANDS,,,,,,,
,,,,,,,SEPARATIONS PER  100  EMPLOYEES,,,,,,,,,,,,1958,101.5,111.0,109.1,106.9,102.4,99.9,98.6,96.9,97.0,97.6,98.7,99.8,100.1
,,,,,,,,,,,,,,,,,1  C,1  C,1959,105.3,100.8,102.0,102.1,102.2,102.4,103.5,104.9,106.0,107.5,109.6,111.1,111.5
1958,2.5,3.3,3.3,,3.0,,2.8,,2.8,,2.5,,1.9,2.2,2.7,2.2,1.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1960,113.7,111.7,112.3,112.6,112.4,112.1,113.2,113.4,113.8,115.6,116.0,116.1,114.9
1959,2.4,2.2,2.1,,2.3,,2.1,,2.2,,2.1,,2.7,2.4,3.3,2.5,2.3,2.2,,,,,,,,,,,,,,
1960,2.6,2.8,2.9,,2.8,,2.8,,2.5,,2.6,,2.7,2.6,3.6,2.2,2.1,2.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1961,113.2,114.4,113.2,112.7,111.9,111.8,111.6,112.2,112.3,112.9,114.0,115.3,115.7
,,,,,,,,,,,,,,,,,O A,o  3,1962,117.6,116.3,118.8,120.2,119.7,118.8,118.8,118.1,117.5,117.1,116.0,115.2,114.2
1961,2.6,2.9,2.6,,2.8,,2.2,,2.4,,2.8,,2.3,2.6,3.4,2.6,,L .J,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1963,104.0,112.1,111.0,109.4,107.1,105.4,103.6,102.6,99.9,100.9,100.3,96.2,99.0
1962,2.6,2.3,2.5,,2.6,,2.6,,2.4,,2.6,,2.8,3.1,3.6,2.4,2.4,1.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1964,103.3,99.0,99.9,100.2,101.0,102.4,103.1,103.9,104.0,104.6,105.8,107.2,108.9
1963,3.2,3.8,2.9,,3.7,,3.1,,3.0,,3.2,,2.5,3.0,3.6,3.2,3.2,2.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1965,115.6,110.2,111.0,111.5,112.6,113.8,114.5,115.2,116.3,117.7,119.6,121.6,123.4
1964,2.8,3.5,3.4,,3.0,,2.8,,2.8,,2.6,,2.4,2.7,3.1,2.4,2.1,2.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1966,128.2,125.6,127.6,130.3,131.2,131.6,131.8,129.2,128.5,127.7,127.7,127.5,119.1
1965,2.3,2.3,2.1,,2.3,,2.4,,2.4,,2.2,,2.4,2.4,3.2,2.3,2.0,1.9,,,,,,,,,,,,,,
1966,2.7,2.3,2.3,,2.4,,2.6,,2.6,,,,,,,,,,1967,130.0,120.2,129.2,130.0,130.6,130.1,130.7,131.4,130.9,130.5,130.8,133.4,132.0
,,,,,,,,,,,2.7,,2.6,3.1,4.3,3.1,2.4,2 1,,,,,,,,,,,,,,
1967,2.7,2.9,2.5,,3.3,,2.8,,2.3,,2.6,,2.4,2.8,3.9,,,,1968,132.2,131.8,132.7,132.9,127.6,129.8,130.8,130.6,131.4,132.0,134.4,135.8,136.6
,,,,,,,,,,,,,,,,2.5,2.1,2.0,,,,,,,,,,,,,,
1968,2.8,2.8,2.5,,2.9,,3.1,,2.8,,2.7,,2.5,2.9,3.7,2.8,2.4,2.0,1969,145.6,137.2,138.8,138.6,139.1,140.1,143.9,146.7,148.5,149.1,151.9,155.9,157.3
1969,2.8,3.2,2.3,,2.7,,2.4,,2.8,,2.6,,2.7,3.2,3.9,3.2,2.2,2.4,1970,163.1,158.6,153.7,155.7,157.3,161.7,168.6,170.9,170.5,167.7,164.3,164.7,163.8
1970,3.5,3.5,3.5,,3.5,,3.2,,3.0,,3.3,,2.8,4.2,4.6,3.1,4.5,2.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1971,161.0,164.7,164.6,163.8,161.9,161.5,161.1,160.3,159.8,160.1,159.0,158.1,157.5
1971,2.6,3.6,2.5,,2.9,,2.8,,2.4,,2.9,,2.3,2.4,3.2,2.5,2.2,1.7,1972,160.8,157.0,157.4,157.6,157.9,158.1,159.1,159.0,160.9,163.7,165.3,166.2,167.1
1972,2.0,2.5,2.0,,2.1,,2.0,,1.8,,2.0,,1.7,2.4,2.4,1.9,1.7,1.5,1973,171.8,167.9,169.4,169.9,169.7,169.9,171.8,171.2,171.4,173.5,174.8,175.6,176.1
1973,2.1,2.4,2.0,,2.2,,2.0,,1.8,,2.3,,2.1,2.6,2.5,1.9,1.6,1.4,1974,167.2,176.0,175.7,175.3,173.0,171.4,170.1,168.3,123.1,166.2,169.9,170.1,167.3
1974,2.2,2.0,1.9,,2.2,,2.1,,2.4,,2.3,,2.2,3.0,2.8,2.2,2.1,1.7,1975,,164.8,157.3,156.6,150.9,146.7,143.2,,,,,,
1975,,2.9,2.5,,2.6,,3.0,,2.7,,2.9,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN  EMPLOYEES  -,IN  THOUSANDS,,,,,,
,,,,,,,,QUITS  PER  100  EMPLOYEES,,,,,,,,,,,1958,,42.2,,,36.7,,,34.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,,
1958,1.0,.8,.8,,8,,.7,,8,,.9,,8,1.2,1.8,1.2,.9,.8,1959,38.7,36.4,36.8,36.8,36.9,37.1,37.6,38.3,39.0,40.0,41.4,42.0,42.1
1959,1.2,.9,.9,,1.1,,1.0,,1.1,,1.1,,1.2,1.5,2.3,1.4,1.1,1.0,1960,43.3,42.1,42.5,42.4,42.3,44.0,42.7,42.6,43.1,44.2,44.4,44.7,44.0
1960,1.3,1.2,1.2,,1.2,,1.1,,1.1,,1.2,,1.1,1.5,2.4,1.3,1.1,.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1961,43.3,43.6,42.8,42.5,42.2,42.1,41.9,42.8,42.8,43.6,44.5,45.4,45.5
1961,1.2,1.2,.9,,.9,,.9,,.9,,1.2,,1.0,1.4,2.0,1.2,1.2,1.0,1962,47.3,46.0,47.5,48.3,48.1,47.8,47.5,47.4,47.3,47.5,47.1,46.8,46.3
1962,1.3,1.2,1.2,,1.2,,1.2,,1.3,,1.6,,1.2,1.8,2.2,1.2,1.1,.8,1963,42.1,45.3,44.9,44.3,43.3,42.7,41.8,41.2,40.8,40.6,40.6,39.1,40.2
1963,1.2,1.1,1.0,,1.1,,1.1,,1.1,,1.2,,1.1,1.3,1.9,1.2,1.1,.9,1964,42.6,40.4,40.2,40.5,41.1,41.7,42.3,42.8,42.8,43.5,44.5,45.1,46.0
