0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,SIC 363
,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,,,,,,,,,,,,,,,January,February,,,,,,August,September,October,,
,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,1961,1.2,1.0,.8,.9,.8,.9,1.4,1.0,1.8,1.9,1.3,,
SIC  3622  -,,INDUSTRIAL  CONTROLS  (Con.),,,,,,,,,,,,,,,,,,,,,,,,1.1,.9
,,,,,,,,,,,,,,1962,1.3,1.3,1.1,1.4,1.0,1.2,1.4,1.1,1.4,2.8,.9,.8,.6
,,4.4,,,,,,,,,,,,1963,1.1,.9,.8,1.1,1.0,1.1,.9,.9,1.6,1.7,1.0,8,8
1959,4.3,,4.0,4.4,4.3,5.2,5.9,3.4,4.8,4.9,4.0,3.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1964,1.2,1.1,.9,1.0,1.1,1.0,1.0,1.0,1.8,2.2,1.2,1.0,8
1960,2.9,3.3,3.1,2.3,2.3,2.4,3.5,3.3,3.6,4.1,3.4,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1965,1.4,1.3,1.0,1.2,1.2,1.1,1.2,1.0,1.8,2.9,1.6,1.1,1.1
,,,,,,,,,,,,,,1966,2.2,1.5,1.6,2.0,2.0,1.9,2.0,2.0,3.3,5.1,2.2,1.4,1.4
1961,3.0,2.1,2.4,2.1,2.2,2.8,3.7,2.5,4.1,4.2,3.7,3.5,,,,,,,,,,,,,,,
,,3.7,,,,,,,,,,,,1967,1.9,2.1,1.6,1.8,2.0,1.7,1.9,1.4,3.3,3.0,1.7,1.2,1.1
1962,2.8,,3.2,3.5,3.0,3.4,3.8,2.3,3.5,2.3,1.9,1.7,,,,,,,,,,,,,,,
1963,,2.8,2.7,,,,,,,,,,,1968,1.7,1.9,1.2,1.6,1.4,1.7,1.7,1.4,2.4,3.1,1.8,1.2,1.2
,2.5,,,2.4,2.9,2.3,3.9,2.3,2.0,2.2,2.1,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1969,2.1,1.6,1.4,1.7,1.8,1.9,2.3,1.8,3.2,4.7,1.9,1.3,1.3
1964,2.8,2.4,2.0,2.6,3.0,2.3,4.4,2.6,3.2,2.8,3.3,2.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1970,1.6,1.8,1.3,1.4,1.5,1.7,1.9,1.2,2.2,3.4,1.1,.6,.6
1965,3.3,2.6,2.5,3.2,3.0,2.8,5.5,2.0,4.3,4.1,3.7,3.3,,,,,,,,,,,,,,,
1966,4.1,3.7,3.7,4.3,3.9,3.9,7.7,4.1,4.3,4.2,4.2,3.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1971,.8,.8,.6,.7,.8,.7,.9,1.0,1.3,1.0,.9,.6,.6
1967,2.6,4.0,2.2,2.1,1.9,2.0,5.4,2.0,2.2,2.6,2.8,1.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1972,1.4,1.0,.9,1.1,1.2,1.2,1.4,1.5,3.3,2.4,1.3,.9,1.0
1968,2.7,2.0,1.9,2.4,2.5,2.4,3.7,2.6,2.5,3.1,3.6,2.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1973,1.9,1.7,1.8,2.1,1.7,1.5,1.9,1.8,4.5,2.2,1.6,1.4,1.1
1969,3.4,2.7,3.2,4.0,2.9,3.1,6.3,3.3,3.2,4.2,4.2,2.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1974,1.5,1.7,1.1,1.2,1.4,1.5,1.4,1.4,4.0,2.3,1.1,.6,.5
1970,2.1,3.1,2.1,1.8,2.3,2.3,4.4,2.0,1.8,1.6,1.3,1.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1975,,.8,.5,.6,.5,.6,.6,,,,,,
1971,1.7,1.5,1.6,1.4,1.8,2.2,2.4,1.9,2.1,1.3,1.7,1.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,LAYOFFS PER  100  EMPLOYEES,,,,,,,
1972,3.1,2.5,2.0,2.5,2.7,3.8,5.8,3.2,3.3,3.5,2.7,2.7,,,,,,,,,,,,,,,
1973,3.7,3.9,3.3,3.5,3.6,5.2,4.9,3.1,3.9,4.5,4.0,3.0,,1958,2.0,3.7,3.3,3.8,3.3,2.9,1.5,1.1,1.3,.9,.9,.4,.8
1974,2.6,3.5,2.2,2.5,2.6,4.2,4.0,2.5,2.9,2.7,2.0,1.1,,1959,.5,.7,.5,.7,1.1,.4,.3,.4,.2,.2,.5,.5,.8
1975,,1.7,.8,1.5,1.9,1.4,1.9,,,,,,,1960,1.0,.9,.5,2.0,1.6,1.3,.9,.4,.6,.5,.7,1.2,1.0
,,,,,N,EW  HIRES  PER  100  EMPLOYEES,,,,,,,,1961,.8,.8,1.1,1.0,1.4,1.0,1.1,.9,.2,.5,.8,.6,.3
,,,,,,,,,,,,,,1962,.7,.9,.7,.6,.5,.5,.8,.6,.8,.2,1.3,.9,.4
1958,1.5,.8,.9,1.0,1.0,1.1,1.3,1.7,2.1,2.7,2.1,1.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1963,.8,1.4,.9,.8,1.2,.6,.2,.4,.4,1.0,.7,.9,.5
1959,3.4,2.9,3.0,3.2,3.2,3.9,5.0,2.7,4.1,4.3,3.5,3.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1964,.4,.5,.5,.4,.4,.3,.3,.5,.5,.4,.2,.2,.4
1960,1.9,2.3,2.2,1.5,1.4,1.1,2.3,1.9,2.4,2.8,2.3,1.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1965,.4,.8,.9,.7,.5,.3,.2,.6,.1,.4,.2,.2,.1
,,,,,,,,,,,,,,1966,.2,.1,.1,.3,.1,.1,.2,.2,.1,.3,oe,.2,.1
1961,1.9,1.0,1.2,1.0,1.0,1.5,2.5,1.8,2.8,3.2,2.9,2.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1967,.6,.4,.2,.7,.5,.2,.4,.8,.9,1.5,.6,.9,.6
1962,2.0,2.9,2.2,2.3,2.1,2.5,2.9,1.7,2.3,1.8,1.5,1.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1968,.4,.7,.5,.9,.3,.2,.5,.4,.4,.5,.4,.3,.2
1963,1.6,1.5,1.4,1.6,2.2,1.5,3.1,1.4,1.5,1.6,1.4,1.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1969,.3,.6,.2,.2,.2,.5,.4,.3,.3,.2,.3,.3,.2
1964,2.2,1.6,1.4,2.0,2.5,1.8,3.7,1.9,2.5,2.4,2.6,2.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1970,1.2,.7,.4,.7,.6,.7,.9,.5,1.0,1.4,2.4,2.5,2.0
1965,2.8,2.1,2.0,2.7,2.4,2.2,4.8,1.6,3.1,3.6,3.3,2.7,,,,,,,,,,,,,,,
1966,3.6,3.0,3.3,3.8,3.5,3.5,7.2,3.6,3.8,3.8,3.7,2.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1971,.7,1.9,1.1,.6,.4,.4,.3,.6,.3,.3,1.1,.8,.8
1967,2.0,3.4,1.8,1.5,1.5,1.5,4.5,1.5,1.8,2.0,2.1,1.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1972,.4,.8,.4,.1,.3,.1,.4,.6,.2,.1,.3,.9,.3
1968,2.0,1.5,1.1,1.5,1.7,1.8,3.2,2.0,2.0,2.6,2.9,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1973,.3,.8,.4,.6,.7,a*,.1,.1,.3,.1,.2,.2,.2
1969,3.0,2.3,2.8,3.5,2.5,2.6,5.4,3.0,2.8,3.7,3.2,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1974,.4,.1,.1,.4,.2,.1,.2,.1,.1,.4,.7,1.2,.8
1970,1.5,2.4,1.6,1.3,1.8,1.6,3.7,1.3,1.2,1.1,.9,.7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1975,,3.0,2.6,1.6,.9,.9,2.2,,,,,,
1971,.9,.7,.8,.7,.6,1.1,1.3,.8,1.0,.8,1.1,,,,,,,,,,,,,,,,
1972,2.3,1.5,1.2,1.7,1.7,2.9,4.9,2.0,2.8,3.0,2.2,2.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SIC  363 _ HOUSEHOLD  AP,,,,,,,,,,,,
1973,3.2,3.4,2.7,3.0,2.9,4.5,4.4,2.6,3.3,3.9,3.4,2.4,,,,,,,,,,,,,,,
1974,2.2,3.0,1.9,2.0,2.2,3.7,3.6,2.0,2.5,2.2,1.6,,,,,,,,,,,,,,,,
1975,,.8,.3,.7,.7,.4,.9,,,,,,,,,,,,A,LL  EMPLOYEES  -  IN THOUSANDS,,,,,,,
,,,,,,,,,,,,,,1958,147.7,156.9,153.3,150.0,146.4,141.6,138.8,138.5,139.2,147.1,150.5,155.2,155.2
,,,,,,SEPARATIONS PER  100  EMPLOYEES,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1959,157.0,153.5,155.0,156.9,156.4,157.4,156.8,154.5,158.0,160.0,160.6,155.9,159.5
1958,3.5,5.4,4.5,4.9,4.6,4.3,2.8,2.3,3.1,3.3,2.6,1.9,2.1,1960,155.4,163.0,164.6,164.5,161.9,159.6,157.0,152.6,149.1,150.8,145.5,150.5,146.0
1959,3.2,2.8,2.8,3.3,3.8,3.2,3.0,3.2,3.6,4.5,3.1,2.6,3.0,,,,,,,,,,,,,,
