0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,SIC  3711,
,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,,February,,,,,,,Septembei,October,,,,,January,February,March,April,May,June,July,August,September,October,November,December
,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,1965,352.9,342.8,350.1,351.2,351.9,354.2,356.9,348.9,299.5,362.2,369.2,373.8,
SIC  371  - MOTOR VEHICLES AND EQUIPMENT (Con.),,,,,,,,,,,,,,,,,,,,,,,,,,,374.2
,,,,,,,,,,,,,,1966,361.5,360.8,366.7,368.5,369.1,373.0,372.2,348.3,270.8,373.2,378.0,379.6,377.5
,,,,,,,,,,,,,,1967,341.0,357.2,355.9,357.5,342.3,353.8,354.4,322.1,282.1,315.8,317.2,361.3,372.8
1966,5.7,3.9,4.8,3.6,3.4,4.0,5.5,17.3,8.7,5.1,4.2,3.7,4.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1968,373.1,369.6,368.6,373.3,369.6,374.7,378.6,374.1,286.7,389.6,395.6,397.2,399.2
1967,5.5,6.6,5.1,4.6,4.4,3.4,3.9,14.2,6.3,5.9,4.7,3.9,2.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1969,392.9,402.8,390.9,395.8,374.0,363.2,397.3,359.3,393.2,413.8,412.5,404.4,407.1
1968,5.0,5.5,3.2,4.1,3.4,4.5,4.3,10.5,8.8,5.0,4.2,3.5,2.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1970,336.3,388.0,321.7,377.0,368.0,370.8,373.0,333.1,308.4,368.4,231.6,228.6,366.5
1969,5.7,4.3,4.7,4.2,4.3,5.3,5.4,11.1,7.3,6.1,5.5,4.5,5.1,,,,,,,,,,,,,,
1970,6.1,5.8,6.2,5.3,5.1,4.7,5.0,13.6,6.9,5.2,6.8,4.6,4.3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1971,369.6,370.0,367.5,369.8,363.3,380.9,381.5,351.6,337.9,380.6,376.9,378.0,377.7
,,,,,,,,,,,,,,1972,373.5,370.5,368.8,368.0,370.3,372.8,374.3,294.7,359.7,394.4,397.6,403.4,406.9
1971,4.0,3.0,2.2,2.6,2.5,2.0,2.9,13.6,9.0,3.4,2.8,2.3,2.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1973,408.9,405.7,406.7,407.7,411.8,415.7,417.5,393.5,367.6,427.2,423.8,418.0,411.7
1972,3.8,3.2,2.0,2.1,2.0,2.4,5.2,15.7,3.5,3.1,2.6,2.0,1.4,,,,,,,,,,,,,,
,,,,,,,,,,,,2.5,4.1,1974,367.4,377.4,352.9,336.1,378.8,373.6,376.2,354.0,347.8,393.8,392.9,379.3,345.5
