0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
SIC  19,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,
,Annual,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Y ear,,January,February,March,April,May,June,July,August,Septembei,October,November,,,,,January,Februaiy,,,,,July,August,September,October,November,
,Average,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,1973,56.9,61.4,60.6,59.2,58.0,57.3,56.5,56.5,55.4,55.1,55.3,52.4,54.5
SIC  1 9   -,,ORDNANCE  AND  ACCESSORIES  (C on.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1974,50.1,53.8,52.2,51.6,50.2,49.3,49.4,48.7,49.2,49.7,49.1,48.6,48.9
,,1.7,,,1.6,,,1.9,,,2.1,,,,1975,,48.1,47.0,46.4,45.4,45.0,44.3,,,,,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,1.9,,,1.9,,,2.1,,,2.2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PRODUCTION-WORKER  AVERAGE WEEKLY EARN,,,,,,,,,
,,,,,,,,,,,,,,,1958,102.42,99.63,99.95,98.90,98.17,98.65,101.68,102.18,106.34,105.25,106.93,105.50,108.38
SIC  1 9 2   -,,"AMMUNITION,  EXCEPT  FOR  SMALL  ARMS",,,,,,,,,,,,,1959,107.59,109.13,107.78,105.84,104.08,106.85,109.36,106.91,107.23,1 06.81,106.97,108.05,108.32
,,,,,,,,,,,,,,,1960,109.33,107.16,109.30,108.36,106.90,107.68,105.74,108.94,109.74,111.78,110.95,111.22,113.28
,,,,,,ALL  EMPLOYEES -   IN  THOUSANDS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1961,114.68,114.11,112.75,112.88,113.02,113.44,112.89,114.95,114.95,115.36,116.18,116.75,118.29
1958,77.1,52.2,57.2,60.3,64.1,68.7,74.1,79.1,84.3,88.7,93.5,99.1,103.4,,1962,116.97,115.75,115.06,115.75,116.44,116.03,115.75,114.74,115.59,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,118.37,117.91,119.72,121.30
1959,119.3,107.9,110.8,114.1,115.7,117.0,118.9,121.4,122.7,124.3,124.5,126.9,127.8,,,121.77,120.25,120.54,119.36,118.15,119.43,122.84,,,,,,
,,,,,,,,,,,,,,,1963,,,,,,,,121.18,124.09,123.90,124.53,123.02,126.46
1960,137.2,127.6,129.3,130.2,131.4,132.3,132.4,131.9,138.9,141.7,145.6,150.3,154.2,,1964,124.84,124.53,122.01,121.10,123.42,121.90,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,124.03,123.60,124.80,124.34,128.30,128.70,132.07
,,,,,,,,,,,,,,,1965,135.66,133.12,132.16,132.89,131.75,133.76,135.14,137.38,137.05,134.69,139.30,138.65,139.83
1961,162.7,156.5,159.2,161.8,162.8,160.9,161.1,162.3,162.9,164.3,165.5,167.3,168.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1966,133.31,139.30,135.85,133.49,132.99,134.46,131.61,131.43,132.75,132.25,131.61,131.97,131.43
1962,182*3,169.1,169.8,173.0,174.9,176.2,180.8,185.8,189.4,189.9,191.7,193.4,193.9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1967,132.07,132.07,129.88,130.19,127.48,130.73,127.58,131.02,131.65,134.82,133.12,136.92,136.08
1963,194.4,193.1,194.2,193.8,191.5,191.7,192.7,194.1,194.2,195.4,196.1,196.7,199.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1968,132.75,131.05,134.69,130.88,127.20,131.20,131.61,128.39,130.60,134.78,137.85,135.79,138.44
1964,185.0,198.6,194.9,195.3,193.7,191.1,187.2,183.4,179.0,176.8,174.9,173.4,171.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1969,133.73,130.28,134.39,131.67,133.33,133.33,135.20,130.70,133.91,135.26,134.30,137.94,138.98
1965,173.0,170.8,168.8,168.0,167.8,169.5,170.1,172.5,173.2,175.7,177.8,180.1,181.4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1970,141.95,139.73,138.35,140.30,140.75,140.80,141.55,140.89,141.37,140.69,142.48,148.19,150.47
1966,194.8,183.0,185.5,186.9,188.8,190.3,191.7,192.8,196.4,200.8,204.0,208.0,209.8,,,,,,,,,,,,,,,
1967,235.7,217.3,223.1,226.2,227.8,227.2,231.5,236.0,241.2,244.0,247.8,252.4,254.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1971,153.22,153.92,150.88,152.26,150.88,151.98,155.12,154.88,153.64,1 52.52,153.34,153.26,158.88
1968,252.2,254.5,253.2,252.9,252.1,250.4,252.2,254.3,255.2,254.3,239.0,253.3,254.9,,,,,,,,,,,,,,,
