0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
SIC 374,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,
,Annual,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Year,,January,February,March,April,May,June,July,August,Septembe,October,,,,,January,February,March,April,May,June,July,August,September,October,November,December
,Average,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,1961,3.5,3.0,3.1,3.3,3.4,3.7,3.6,3.6,3.7,3.7,,,
SIC 374 -,,RAILROAD EQUIPMENT (Con.),,,,,,,,,,,,,,,,,,,,,,,3.8,3.8,3.2
,,,,,,,,,,,,,,1962,4.0,3.3,3.7,3.8,4.0,4.3,4.1,4.2,4.3,4.2,4.3,4.3,3.9
,,,,,,,,,,,,,.5,1963,4.9,4.2,4.5,4.7,4.9,5.1,5.1,5.1,5.0,5.0,5.1,5.1,4.7
1961,.6,.5,.5,.6,.7,.6,.5,.6,.8,.7,.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.5,1964,5.7,4.8,5.2,5.3,5.6,5.9,5.9,5.7,6.1,5.9,6.1,5.9,5.5
1962,9,.7,.7,8,1.0,1.0,.9,.9,1.2,1.7,.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.7,1965,6.1,5.0,5.4,5.5,5.7,6.1,6.3,6.3,6.4,6.5,6.6,6.6,6.2
1963,1.0,.7,1.1,1.2,.8,1.0,1.0,1.2,1.5,1.6,1.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.8,1966,7.3,5.8,6.4,6.8,7.5,7.8,8.1,8.0,7.7,7.4,7.6,7.6,7.0
1964,1.1,8,.7,1.0,1.0,1.3,1.1,.9,1.7,2.1,.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.9,1967,8.5,6.3,7.4,7.7,8.0,8.4,9.1,9.0,9.0,9.1,9.2,9.5,8.8
1965,1.2,1.0,9,.9,1.2,1.3,1.1,.9,1.4,2.0,1.4,1.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.9,1968,11.1,8.5,9.6,9.4,10.4,10.9,11.5,11.4,11.5,11.9,12.4,12.8,12.7
1966,1.6,1.2,1.2,1.6,1.7,1.4,1.4,1.2,2.1,2.9,1.7,1.4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,1969,13.7,11.9,13.3,13.8,13.5,15.3,14.4,14.2,13.6,13.6,13.4,13.7,13.2
1967,1.3,1.1,1.3,1.5,1.5,1.3,1.5,1.0,1.4,2.1,1.4,1.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.2,1970,15.2,14.0,14.3,14.3,15.2,15.2,15.5,15.4,15.1,15.7,16.0,16.4,15.1
1968,1.6,1.1,1.1,1.4,1.4,1.4,2.1,1.4,1.9,2.3,2.0,1.3,,,,,,,,,,,,,,,
1969,1.6,1.6,1.4,1.3,1.7,1.8,1.9,1.8,1.9,2.8,1.5,1.0,.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,.9,1971,17.3,14.0,13.9,14.8,16.3,17.4,18.1,18.6,18.9,18.9,18.8,19.0,18.7
1970,1.4,1.4,1.2,2.0,1.7,1.5,1.2,1.2,1.7,2.1,1.3,1.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1972,22.8,19.0,19.4,20.4,22.0,22.8,22.5,23.2,23.7,25.0,25.2,24.9,25.0
,,,,,,,,,,,,,.5,1973,26.6,25.2,25.6,26.8,28.5,28.0,28.4,27.2,27.4,27.3,26.8,25.6,22.7
1971,.9,.8,.9,9,.9,.8,.9,.8,1.4,1.7,.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,1974,22.6,19.7,20.5,21.0,23.1,24.5,26.3,25.7,25.9,24.7,22.2,19.8,18.0
1972,.9,.7,.6,6,8,.8,.8,8,1.3,1.3,1.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1975,,15.3,16.6,17.5,18.7,20.1,20.8,,,,,,
1973,1.2,8,.7,1.0,1.2,1.3,1.2,1.0,2.1,1.9,1.2,,.7,,,,,,,,,,,,,,
1974,1.0,1.1,.8,1.0,1.0,1.1,1.0,1.1,2.0,1.4,.9,,.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PRODUCTION  WORKERS -  IN THOUSANDS,,,,,,,,
1975,,.7,.6,.5,.6,.6,.6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1958,23.6,20.3,21.5,21.1,20.8,21.3,22.9,22.6,25.5,26.5,27.7,27.2,25.7
,,,,,,LAYOFFS  PER  100  EMPLOYEES,,,,,,,,1959,28.9,25.0,26.5,27.1,28.2,29.3,30.2,30.1,30.4,31.1,31.3,29.7,27.5
,,,,,,,,,,,,,,1960,26.2,25.4,26.6,26.9,27.6,28.3,27.7,27.0,26.9,27.1,26.1,23.3,21.9
1958,8.6,6.8,6.2,7.2,12.1,11.9,8.1,7.1,9.7,12.6,10.7,6.3,4.1,,,,,,,,,,,,,,
1959,7.8,6.6,5.1,8.3,5.4,3.3,4.3,4.2,11.0,15.6,13.0,9.2,8.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1961,24.3,19.9,21.5,23.1,24.6,25.8,26.3,25.1,25.2,25.3,26.1,24.9,23.5
1960,6.1,3.2,2.8,3.0,3.9,6.7,4.0,7.0,7.0,6.6,8.9,9.3,11.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1962,28.6,22.6,25.2,26.7,29.4,30.7,30.5,29.9,30.3,30.0,30.2,29.4,28.1
,,,,,,,,,,,,,,1963,34.8,27.6,30.8,32.1,34.2,35.8,37.0,36.1,36.1,37.6,37.9,36.6,35.9
1961,10.3,11.7,11.1,10.7,10.7,14.5,13.1,10.9,9.0,7.6,6.6,9.2,8.3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1964,41.8,35.1,38.0,39.3,41.2,42.7,43.6,42.3,44.1,44.7,44.4,43.8,42.7
1962,6.7,6.1,4.8,7.3,3.1,7.6,5.7,4.2,6.7,9.6,9.8,10.1,5.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1965,47.1,38.5,41.9,42.9,44.7,47.1,48.5,49.4,50.7,50.1,50.8,51.0,49.5
1963,3.8,5.4,3.2,5.3,7.1,3.5,2.7,2.1,3.1,3.2,3.3,2.3,4.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1966,52.2,46.6,49.5,51.2,54.7,55.4,57.1,54.8,54.4,52.8,52.6,50.8,47.0
1964,2.3,1.1,1.6,2.4,3.1,1.9,2.3,2.3,3.2,2.6,2.9,2.3,2.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.0,1967,55.3,43.1,48.5,50.9,53.2,54.4,59.7,60.4,59.6,57.9,58.5,59.1,58.0
1965,2.5,1.9,3.0,3.4,3.0,1.6,2.2,2.5,2.5,3.2,1.3,3.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1968,71.0,56.2,60.3,62.7,67.1,69.9,75.0,74.7,74.2,74.4,78.0,79.5,79.6
1966,1.8,3.4,3.2,1.3,2.1,.7,.8,1.8,1.9,1.4,1.0,1.6,2.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1969,87.0,77.3,81.8,85.3,86.7,90.9,94.4,92.6,89.8,86.7,85.6,87.3,86.0
1967,4.3,2.8,4.6,3.4,3.4,3.0,2.9,3.8,6.4,7.4,3.6,1.9,86,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1970,91.5,87.5,87.3,89.9,93.7,92.7,94.2,93.0,92.5,92.4,91.9,92.8,90.0
1968,4.5,5.1,6.9,6.0,5.3,6.5,4.4,4.2,2.3,3.7,4.5,3.0,1.6,,,,,,,,,,,,,,
1969,2.3,1.1,1.3,1.8,1.4,2.5,1.8,1.0,5.5,2.4,3.3,2.7,2.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1971,108.6,86.8,89.4,95.4,103.8,109.9,116.3,118.1,118.4,117.4,117.0,115.9,114.9
1970,3.7,2.4,1.1,4.1,4.5,6.1,2.2,3.4,2.8,4.0,5.9,2.7,3.6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1972,135.5,114.9,120.1,126.9,134.8,138.8,141.7,142.5,144.4,143.9,142.2,139.4,136.8
,,,,,,,,,,,3.5,,3.4,1973,137.3,136.1,141.5,147.3,152.0,151.7,150.8,140.9,138.4,132.3,126.3,121.6,108.4
1971,2.7,3.2,1.6,3.5,2.7,1.7,2.0,3.6,3.1,1.9,,1.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1974,103.4,91.4,95.6,99.9,110.1,117.4,121.0,119.5,115.9,110.4,97.1,84.7,77.6
1972,4.1,7.2,4.0,5.3,5.2,1.3,3.7,3.6,5.2,4.1,3.0,2.6,3*6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1975,,68.5,74.9,80.8,88.9,94.1,98.9,,,,,,
1973,1.7,3.2,2.7,3.3,1.5,1.5,1.2,1.7,2.4,1.3,1.0,.6,.5,,,,,,,,,,,,,,
1974,1.9,.6,2.6,2.2,.9,2.1,1.0,.9,1.1,2.2,4.6,1.0,3.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,PRODUCTION-WORKER  AVERAGE  WEEKLY EARNINGS  -   IN  DOLLARS,,,,,,,,,
1975,,1.7,1.7,3.5,3.4,2.4,2.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1958,76.24,71.82,70.68,73.54,74.11,75.66,77.18,75.46,77.79,80.95,80.34,76.43,79.17
,,,,,,,,,,,,,,1959,80.40,77.22,74.69,79.40,80.70,81.36,80.95,80.98,81.39,82.21,82.22,79.19,81.00
,"SIC  375,9 -",,OTHER TRANSPORTATION  EQUIPMENT,,,,,,,,,,,1960,80.13,75.22,77.37,75.52,79.17,81.18,83.42,80.38,81.72,84.40,82.74,80.88,79.46
,,,,,,,,,,,,,,1961,83.71,77.75,78.00,81.06,83.32,83.13,86.22,84.74,87.08,88.78,86.05,83.07,82.60
,,,,,,ALL  EMPLOYEES  -   IN  THOUSANDS,,,,,,,,1962,86.22,77.86,82.64,82.18,88.32,87.33,89.45,86.65,,,,,
,,,,,,,,,,,,,,,,,,,,,,,89.42,88.99,88.29,84.24,87.12
1958,28.8,25.4,26.5,26.2,25.9,26.4,28.2,27.7,30.6,32.0,33.1,32.7,31.2,1963,91.84,85.46,87.38,89.06,91.39,93.44,94.50,94.66,94.43,95.79,94.02,89.72,93.25
1959,34.8,30.9,32.4,33.0,34.3,35.3,36.1,35.9,36.3,36.9,37.3,35.9,33.7,1964,93.89,87.98,91.13,92.21,93.75,96.22,96.83,92.16,96.10,94.19,98.09,93.32,93.15
1960,32.5,31.6,32.9,33.0,33.9,34.5,33.9,33.0,33.3,33.5,32.4,29.6,27.9,1965,93.09,90.35,86.56,88.37,89.77,93.15,95.63,90.68,96.05,97.16,96.70,94.13,94.87
,,,,,,,,,,,,,,1966,95.52,89.86,91.80,95.60,95.84,96.96,97.27,93.30,97.27,99.55,97.20,94.62,94.53
1961,30.3,25.6,27.2,28.9,30.4,31.7,32.3,31.2,31.4,31.5,32.3,30.9,29.7,1967,102.11,93.07,94.12,98.25,98.36,102.97,106.50,102.00,105.47,106.04,108.16,104.09,101.53
1962,35.4,28.7,31.8,33.3,36.2,37.7,37.2,36.6,37.2,36.9,37.2,36.4,35.0,1968,111.08,94.28,102.70,106.65,105.11,114.39,112.88,112.20,115.64,116.75,115.46,114.86,112.63
1963,42.6,34.6,38.4,39.3,41.8,43.4,45.0,43.7,44.1,45.6,46.0,44.8,44.4,1969,115.53,110.94,110.65,114.34,115.02,116.40,117.97,115.53,115.24,118.89,117.81,118.50,116.33
1964,50.7,43.4,46.5,47.8,50.0,51.5,52.4,51.3,52.9,53.9,53.7,53.1,52.0,1970,118.81,113.40,113.85,115.97,118.04,117.87,119.56,118.34,121.35,121.13,124.66,121.44,121.66
1965,57.3,47.8,51.6,52.6,54.7,57.2,58.9,59.6,61.2,60.8,61.5,61.5,60.3,,,,,,,,,,,,,,
1966,634,57.3,60.4,62.4,65.8,66.6,68.5,66.0,65.6,64.2,64.0,62.2,57.9,1971,129.75,115.66,117.85,123.39,127.86,132.59,134.13,132.53,133.87,135.88,132.33,132.53,130.76
1967,67.2,54.1,59.7,62.4,65.0,66.0,71.6,72.0,72.2,70.0,70.9,72.0,70.5,1972,138.95,128.69,133.28,138.45,140.40,141.50,141.05,138.60,144.38,143.72,142.71,139.48,136.42
1968,84.6,68.8,72.8,75.1,80.2,83.5,88.8,88.6,88.1,88.4,92.2,93.9,94.5,1973,142.80,132.49,137.86,143.05,143.47,147.57,146.46,144.28,143.91,147.78,147.03,141.00,139.09
1969,104.7,92.7,97.9,102.0,103.7,108.2,111.6,110.1,107.7,105.2,104.6,106.6,105.7,1974,148.60,135.40,140.25,149.00,147.84,154.79,154.41,146.31,148.22,149.71,148.48,149.23,155.42
1970,111.4,105.9,106.2,108.9,113.1,112.8,113.8,113.4,113.1,112.5,112.5,113.5,111.5,1975,,146.32,149.45,154.75,159.71,164.61,163.88,,,,,,
1971,131.9,107.9,110.8,117.5,126.6,132.9,140.1,142.2,142.6,141.5,141.3,140.3,139.6,,,,,PRODUCTION-WORKER  AVERAGE  HOURLY EARNINGS -   IN  DOLLARS,,,,,,,,,
1972,162.9,140.0,145.8,152.8,160.7,166.7,170.0,170.3,172.5,171.4,170.3,167.8,166.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1958,1.93,1.91,1.90,1.92,1.91,1.93,1.92,1.93,1.94,1.96,1.95,1.93,1.95
1973,167.7,166.0,171.5,177.6,182.8,183.1,182.2,172.7,169.7,162.7,156.2,151.0,136.7,,1.99,,,,,,,,,,,,
,,,,,,,,,,,,,,1959,,1.96,1.94,1.98,1.94,1.97,1.96,1.98,1.99,2.04,2.03,2.01,2.01
1974,130.6,117.8,121.4,126.5,137.5,145.2,151.3,148.9,145.4,137.5,123.7,110.2,102.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1960,2.06,1.99,2.02,2.03,2.03,2.05,2.07,2.04,2.09,2.11,2.10,2.09,2.08
1975,,92.3,100.0,106.3,114.7,120.0,124.7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1961,2.13,2.09,2.08,2.10,2.12,2.11,2.15,2.14,2.15,2.16,2.13,2.13,2.14
,,,,,,WOMEN  EMPLOYEES -   IN THOUSANDS,,,,,,,,1962,2.15,2.11,2.13,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2.14,2.17,2.13,2.14,2.15,2.16,2.16,2.18,2.16,2.20
1958,,2.8,,,3.1,,,3.5,,,4.2,,,1963,2.24,2.18,2.19,2.21,2.24,2.23,2.25,2.27,2.27,2.27,2.26,2.26,2.28
1959,4.2,3.7,39,4.1,4.2,4.3,4.4,4.4,4.5,4.3,4.4,4.2,3.9,1964,2.29,2.25,2.25,2.26,2.27,2.28,2.30,2.27,2.31,2.32,2.33,2.31,2.30
1960,3.9,3.8,4.0,4.0,4.1,4 2,4.3,4.1,4.1,4.0,3.8,3.5,3.2,1965,2.31,2.27,2.26,2.26,2.29,2.30,2.31,2.29,2.32,2.33,2.33,2.33,2.36
See footnotes at end of tables.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3 3 2,,,,,,,,,,,,,,
