0,1,2,3,4
Industry group,,,,P ercent of
,,Workers,,estimated
,Number,,Number,
,,involved,,working time
,,,,of all workers
All industries,"13,468","1,530,000","22,600,000",0.21
MANUFAC TURING ____________,"1,703","772,000","13,700,000",0.33
Primary metal industries,156,"80,400","952,000",.31
"Fabricated metal products (except ordnance,",,,,
"machinery, and transportation equipment)",175,"42,400","1,200,000",.45
Ordnance and accessories,11,"4,260","57,800",.1 3
"Electrical machinery, equipment, and",,,,
supplies,116,"57,100","1,010,000",. 35
Machinery (except electrical),175,"64,000","1,350,000",. 34
Transportation equipment,84,"107,000","656,000",.15
Lumber and wood products (except furniture),70,"87,300","4,200,000",2.25
Furniture and fixtures,70,"10,900","139,000",.16
"Stone, clay, and glass products",106,"20,700","300,000",. 23
Textile mill products,65,"28,400","573,000",. 21
Apparel and other finished products made,,,,
from fabrics and similar materials,135,"12,200","145,000",.05
Leather and leather products,36,"5,560","53,300",.o6
Food and kindred products	_________ ______,157,"73,800","694,000",.18
Tobacco manufactures,2,100,140,(a)
Paper and allied products,37,"9,970","77,000",.06
"Printing, publishing, and allied industries _____",30,"5,950","103,000",.05
Chemicals and allied products,77,"18,200","159,000",.08
Products of petroleum and coal,16,"2,230","50,600",.08
Rubber products,83,"108,000","1,620,000",2.49
"Professional,	scientific, and controlling",,,,
instruments; photographic and optical,,,,
goods; watches and clocks,24,"18,700","145,000",.18
Miscellaneous manufacturing industries,85,"14,200","186,000",.15
NONMA.NUFAC TURING _,"1,765","761,000","8,900,000",.14
"Agriculture, forestry, and fishing  		______",11,"2,930","59,900",(3)
________	_________	____________Mining,249,"111,000","845,000",. 44
Construc tion,804,"437,000","4,800,000",.71
Trade,298,"53,400","1,690,000",.o6
"Finance, insurance, and real estate _",10,600,"13,900",(3)
"Transportation, communication, and",,•,,
other public utilities,282,"146,000","1,410,000",.14
"Services-personal, business, and other ____",104,"8,040","82,900",
,,,,(3)
"Government-administration, protection,",,,,
and sanitation  4,10,"1,810","10,400",
,,,,(3)
