0,1,2,3,4,5,6
,,,,,Man-days,idle
,,,,,during,1956
,,,Workers involved,,,(all stoppages)
Major issues,,Percent,,,,
,Number,of,,Percent,,Percent
,,total',Number',of,Number',of
,,,,total',,total'
All issues(cid:9)------------------------------,"3, 825",100. 0,"1, 900, 000",100.0,"33, 100, 000",100. 0
"Wages, hours, and supplementary",,,,,,
------------------benefits (cid:9),"1, 821",47. 6,"1, 270, 000",66.8,"24, 300, 000",73. 5
Wage increase ------------ -------,"1, 094",28. 6,"924, 000",48. 6,"19,300,000",58. 2
Wage decrease (cid:9),10,. 3,600,(a),"660, 000",Z. 0
"Wage increase, hour decrease — (cid:9)",45,1. 2,"7, 680",. 4,"66, 600",.z
"Wage increase, pension and/ or",,,,,,
social insurance benefits(cid:9),258,6. 7,"105, 000",5. 5,"2, 210, 000",6.7
Pension and/ or social insurance,,,,,,
benefits,23,. 6,"9,120",.5,"41,800",1.(cid:9)
Other'(cid:9)(cid:9)—,391,10.2,"224, 000",11.8,"2,100,000",6.3
"Jnion organization, wages, hours,",,,,,,
and supplementary benefits  (cid:9),329,8. 6,"81,200",4. 3,"5,070,000",15. 3
"Recognition, wages, and/ or",,,,,,
hours (cid:9),202,5. 3,"21, 200",1.(cid:9)1,"494, 000",1. 5
"Strengthening bargaining position,",,,,,,
"wages, and/ or hours (cid:9)",32,. 8,"6, ozo",. 3,"3, 730, 000",11. 3
"Closed or union shop, wages,",,,,,,
and/ or hours (cid:9),95,2. 5,"54, 000",2. 8,"841, 000",2. 5
Jnion organization(cid:9)(cid:9),445,11. 6,"102, 000",5. 4,"1, 100,000",3. 3
Recognition,301,7. 9,"22, 700",1. 2,"420, 000",1. 3
Strengthening bargaining position ----,42,1. 1,"66, 600",3. 5,"494, 000",1. 5
Closed or union shop -----------------,77,2. 0,"11, 300",. 6,"149,000",5
Discrimination -----------------,13,. 3,480,(a),"6,060",(a)
Other,12,.3,"1,370",.1,"29,800",. 1
Other working conditions ----------,862,22.5,"375, 000",19. 7,"2, 160, 000",6. 5
Job security ------------------,416,10.9,"184, 000",9. 7,"1, 270, 000",3. 9
Shop conditions and policies --------,387,10.1,"149, 000",7. 8,"562, 000",1. 7
Workload(cid:9)—,55,1. 4,"38, 300",2. 0,"199, 000",. 6
Other(cid:9)—,4,.(cid:9)1,"4, 190",.2,"124, 000",. 4
nterunion or intraunion matters  (cid:9),317,8. 3,"67, 600",3. 6,"423, 000",1. 3
Sympathy—,68,1. 8,"25,600",1. 3,"179, 000",. 5
Union rivalry 4 -------------,27,. 7,"2, 330",.(cid:9)1,"23,200",. 1
Jurisdiction 5,214,5.6,"37, 100",2. 0,"212, 000",6
Union adminis tration 6 (cid:9),8,.2,"2,550",.(cid:9)1,"8,760",(a)
,51,1.3,"4, 630",. 2,"22, 800",1.(cid:9)
