0,1,2,3,4,5,6,7,8
,,,,,,,,workers
1957,,,,,,,,
January,240,341,57,,73,0.16 618,,0.06
,229,361,59,,121,.27,925,.10
Mar ch,276,402,77,,107,. 24,802,. 09
,389,522,165,,203,. 45,"1,610",.16
May,446,634,179,,243,.54,"1,990",.20
,388,577,154,,238,.52,"2,050",.23
July,415,603,129,,228,.50,"2,480",.25
August_,370,601,136,,226,.49,"1,690",.17
,,,,,,,,
September -__________October	________--- --__,335293,518471,243'95,,279159,.61.35,4illt,.19.13
November___________	-----,184,340,63,,109,.24,765,.08
December _-_-_-------____ _,108,220,31,,54,.12,404,.04
1958,,,,,,,,
January,208,307,83,,98,.23,595,.06
February - - --- - --- - - -,159,262,36,'),52,.12,404,.05
March____-_-_---,195,309,,,182,.43,"1,240",.14
April,293,411,,,122,.29,"1,100",.12
,,,156,,200,,,.22
May --------------,360,519,,,,.48,"1,940",
June -----------,374,552,156,,247,.58,"1,850",.21
July- - - ----_ - _-__,399,596,159,,238,.56,"2,160",.23
August,403,638,162,,288,.67,"2,160",.24
"September _,- -",471,712,324,,414,.96,"2,400",.26
October,391,637,463,,53T-,1.23,V776-,.55
November-- -----,305,497,224,,296,.68,"2,210",.27
December,136,357,58,,169,.39,"2,430",.25
