0,1,2,3,4,5,6,7
,,,,,,Man-days idle during,
,,,,,,1962 (all stoppages),
,,,Workers involved,,,,
Contract status and major issue,,,,,,,
,Number,Percent,,,,,
,,,Number,Percent,Number,,Percent
All stoppages ___ 	-__,"3,614",100.0,"1,230,000",100.0,"18,600,000",,100.0
,...,,,,,,
,,,,,,-,
Negotiation of first agreement or union,,,,,,,
recognition _____-___	 --,608,16.8,"50,100",4.1,"1,230,000",,6.6
General wage changes and supplementary,,,,,,,
benefits,166,,"16,100",,"490,000",,
Wage adjustments,4,,"1,000",,"61,000",,
Hours of work,-,,-,,-,,
Union organization and security ____---,394,,"27,200",,"622,000",,
Job security and plant administration _,28,,"2,970",,"23,300",,
Interunion or intraunion matters ______-,12,,"2,320",,"25,100",,
Other,4,,490,,"12,700",,
Renegotiation of agreement (expiration,,,,,,,
or reopening),"1,747",48.3,"798,000",64.6,"14,900,000",,80.3
General wage changes and supplementary,,,,,,,
,"1,431",,"600,000",,"11,900,000",,
Wage adjustments _____________,58,,"40,100",,"490,000",,
Hours of work,5,,"1, 530",,"45,300",,
Union organization and security _____,100,,"69,800",,"1,090,000",,
Job security and plant administration ___,114,,"76,000",,"1,250,000",,
Interunion or intraunion matters __-,5,,"2,690",,"53,600",,
Other _-____------------,34,,"7,780",,"55,200",,
During term of agreement (negotiations of,,,,,,,
new agreement not involved),"1,078",29.8,"349,000",28.3,"2,260,000",,12.2
General wage changes and supplementary,,,,,,,
benefits,5,,390,,"1,250",,
Wage adjustments,93,,"39,600",,"144,000",,
Hours of work __------,1,,130,,380,,
Union organization and security ______,60,,"6,850",,"45,200",,
Job security and plant administration ____,548,,"241,000",,"1,730,000",,
Interunion or intraunion matters ------,305,,"43,400",,"171,000",,
Other,66,,"17,400",,"167,000",,
"No contract, or other contract status ___",91,2.5,"30,600",2.5,"88,600",,.5
General wage changes and supplementary,,,,,,,
benefits,20,,"23,100",,"30,000",,
Wage adjustments __________,11,,370,,"6,420",,
Hours of work __--,-,,-,,-,,
Union organization and security _--,17,,"1,440",,"9,590",,
Job security and plant administration -,24,,"2,360",,"15,300",,
Interunion or intraunion matters ___,16,,"3,070",,"26,21)0",,
Other,3,,250,,970,,
