0,1,2,3,4,5,6
12,,,,,,
,"Table 9. Work Stoppages by Metropolitan Area, 1966'",,,,,
,,Stoppages,,,Stoppage s,
,,,Man-days,,,Man-days
,,beginning in,,,beginning in,
,,,idle1966,,,idle (all1966
Metropolitan area,,1966,Metropolitan area,,1966,
,,,(all,,,
,Num-,Workers,,Num-,Worker s,
,,,stoppages),,,stoppages)
,ber,involved,,be r,involved,
"Akron, Ohio",35,"19, 500","334, 000Indianapolis, Ind _____",15,"4, 400","75, 100"
Albany-Schenectady-,,,"Jackson, Mich _________",10,"1, 150","20, 600"
"Troy, N. Y ____________",39,"32, 900","762, 000Jackson, Miss ___________",6,880,"16, 000"
"Albuquerque, N. Mex _______",6,540,"5, 480Jacksonville, Fla ______",15,"3, 090","49, 200"
Allentown-Bethlehem-,,,"Jersey City, N. J ________________",26,"7, 120","120, 000"
"Easton, Pa.-N. J ____________",53,"7, 170","93, 000",,,
Anaheim-Santa Ana-,,,"Johnstown, Pa _",9,"1, 660","5, 340"
"Garden Grove, Calif",12,"1, 970","14, 100Kalamazoo, Mich ________",16,"4, 770","95, 900"
,,,"Kansas City, Mo.-Kane _____ __",35,"21, 000","353, 000"
"Ann Arbor, Mich ________",12,"4, 830","48, 200King ston-Newburgh-",,,
"Atlanta, Ga _-- _________________",30,"18, 000","511, 000Poughkeepsie, N. Y ___________",12,980,"4,990"
"Bakersfield, Calif ____---",10,"1, 640","33, 300Knoxville, Tenn ________",12,"2, 020","19, 900"
"Baltimore, Md",30,"8, 580","98, 500",,,
"Baton Rouge, La",12,"9, 560","117, 000La Crosse, Wis ________",5,"1, 500","3, 960"
,,,"Lake Charles, La _____-",6,800,"4, 410"
"Bay City, Mich ______--",5,"1, 060","21, 300Lancaster, Pa ________",5,510,"6, 890"
"Beaumont-Port Arthur, Tex",21,"6, 220","64, 700___Lansing, Mich",13,"2, 630","25, 400"
"Birmingham, Ala ______",22,"6, 470","122, 000Las Vegas, Nev ___________",9,"1, 000","33, 600"
"Binghamton, N. Y.-Pa ____",11,"2, 330","23, 600",,,
