0,1,2,3,4,5,6,7,8,9,10,11,12,13
,Beginning in month,,,In effect during month,,,Beginning in month,,In effect during month,,,,Percent of
Month,,,,,,,,,,,Number,,
,,,,,,,,,,,,,estimated
,,,,,,Number,,,Number,,(in,Percent,
,,,,,,,,,,,,,working
,Number,Percent,,Number,Percent,(in,Percent,,(in,Percent,thousands),,
,,,,,,,,,,,,,time
,,,,,,thousands),,,thousands),,,,
1969,"5,700","100,0",,"9,145",100.0,"2,481",100.0,,"4,656",100.0,"42,869",100.0,0.24
January..,342,6.0,,511,5.6,184.9,7.5,,264.3,5.7,"3,173.3",7.4,.Z1
February_____,385,6.8,,578,6.3,177.1,7.1,,339.9,7.3,". 2,565.8",6.0,.18
March -------,436,7.6,,651,7.1,158.1,6.4,,386.3,8.3,"2,412.5",5.6,.16
April-------,578,"10,1",,831,9.1,309.7,12.5,,462.3,9.9,"3,755.0",8.8,.24
May ----____,723,"12,7",.,"1,054",11.5,286.3,11.5,,507.7,10.9,"4,744.7",11.1,.32
June---------------,565,9.9,,911,10.0,214.6,8.6,,500.0,10.7,"4,722.7",11.0,.31
July -----------------,528,9.3,,883,9.7,255.0,10.3,,461.5,9.9,"4,311.0",10.1,.27
August-,538,9.4,,915,"10,0",191.2,7.7,,394.8,8.5,"3,634.3",8.5,.24
September,554,9.7,,904,9.9,185.6,7.5,,"274,5",5.9,"Z, 193.4",5.1,.15
October -,531,9.3,,850,9.3,337.0,13.6,,420.9,9.0,"3,167.5",7.4,.19
November__-_-,324,5.7,,611,6.7,131.0,5.3,,367.6,7.9,"4,307.6",10.0,.31
December ----------,196,3.4,,446,4.9,50.8,2.0,,276.0,5.9,"3,881.8",9.1,.24
1970-,"5,716","100,0",,",9, 626",100.0,"3,305",100.0,,"6, 557","100,0","66,414",100.0,.37
January,279,4.9,,458,4.8,71.1,2.2,,269.8,4.1,"3,710.8",5.6,.25
February_-___---,330,5.8,,529,5.5,116.3,3.5,,329.6,5.0,"2,110.6",3.2,.15
March,427,7.5,,630,6.5,316.2,9.6,,402.5,6.1,"2,471.2",3.7,.16
ApriL--------,640,11.2,,884,9.2,451.1,"13,6",_,523.1,8.0,"5,431.1",8.2,.34
May__,-	699,12:2,,"1,050",10.9,331.1,10.0,,675.4,10.3,"6,650.7",10.0,.46
June-,657,11.5,,"1,060",11.0,288.1,8.7,,538.0,8.2,"5,845.6",8.8,.36
July...---------,585,10.2,,989,10.3,242.4,7.3,,467.1,7.1,"5,112.1",7.7,.32
August--,527,9.2,,950,9.9,127.3,3.9,,340.7,5.2,"3,851.8",5.8,.26
September,560,9.8,,971,10.1,591.1,17.9,,"785,0",12.0,"8,669.5",13.1,.57
October,448,7.8,,881,9.2,231.1,7.0,,753.9,11.5,"11,573.6",17.4,.73
November,340,5.9,,695,7.Z,83.6,2.5,,552.0,8.4,"7,798.0",11.7,.54
December,224,3.9,,529,5.5,455.5,13.8,,919.9,14.0,"3,188.7",4.8,.20
