0,1,2,3
"Idleness as a percent of total available working time, in selected industries,' 1970 and 1971",,,
INDUSTRY,,,
Ordnance and accessories,,,
"Transportation, communication,",,,
"electric, gas and sanitary services",,,
Contract construction,,,
Transportation equipment,,,
Fabricated metal products,,,
Paper and allied products,,,
"Electrical machinery,",,,
equipment and supplies,,,
Mining,,,
Primary metal industries,,,
Food and kindred products,,,
Apparel,,,
Petroleum refining,,,
Manufacturing,,,
Rubber and miscellaneous,,,
plastic products,,,
,0,1,2
