0,1,2,3,4,5,6,7,8,9,10,11,12
"Table A-2. Work stoppages by month, 1972-73",,,,,,,,,,,,
,,,Number of stoppages,,,,Workers involved,,,,Days of idleness,
,,,,,,,,,,,,Percent of
Month,,Beginning in month,,In effect during month,,Beginning in month,,In effect during month,,,,
,,,,,,,,,,Number,,estimated
,,,,,,,,,,,Percent,
,,,,,,Number,,Number,,(thousands),,working
,,Number,Percent,Number,Percent,,Percent,,Percent,,,
,,,,,,(thousands),,(thousands),,,,time
1972 --------,,"5,010",100.0,"8,382",100.0,1.714,100.0,3.070,100.0,27. 066,100.0,0.15
January ---,,427,8.5,643,7.7,79.7,4.7,194. 5,6.3,"2, 530. 0",9.3,.17
February--,,419,8.4,675,8.1,86.0,5.0,182.8,6.0,"1, 848. 5",6.8,.13
March,--,421,8. 4,727,8. 7,162.1,9. 5,220.4,7. 2,"I, 830.2",6. 8,.11
April,,498,9. 9,759,9. 1,186.6,10.9,257.4,8. 4,"2, 257.6",8. 3,. 15
May --------,,541,10. 8,860,10.3,154.6,9. 0,249.0,8. 1,"2, 604.0",9. 6,. 16
June.-,,491,9.8,818,9.8,311.3,18.2,412.5,13.4,"3, 605. 6",13.3,.22
July,,404,8. 1,706,8. 4,130.0,7. 6,383.6,12.5,"3, 437.2",12. 7,. 23
August,,485,9.7,790,9.4,167.6,9.8,269.5,8.8,"2, 839. 9",10.5,.17
--September,,444,8. 9,733,8. 7,143.2,8. 4,259. 6,S. 5,"2, 402. 9",8. 9,. 16
October,,395,7. 9,665,7. 9,172.5,10. 1,276.8,9. 0,"1, 342. 1",5. 0,. 09
--.	November,..,357,6. 5,595,7. 1,84.6,4. 9,202.2,6. 6,"1, 350.5",5. 0,. 08
December,,158,3.2,411,4.9,35.4,2.1,161.8,5.3,"1, 017. 8",3.8,.07
1973,,"5,353",100.0,"8,873",100.0,2.251,100.0,3.321,100.0,27. 948,100.0,0.14
January,,382,7. 1,543,6. 1,151.4,6. 7,216.3,6. 5,"1, 659.7",5. 9,. 10
February,,349,6.5,560,6.3,151.1,6.7,228.8,6.9,"1, 335. 0",4.8,.09
March,,461,8. 6,703,7.9,143.7,6. 4,189.7,5. 7,"1, 344.3",4. 8,. 08
April,,465,8. 7,728,8. Z,161.7,7. 2,205.5,6. 2,"1, 831.7",6. 6,. 11
May,,536,10.0,837,9. 4,184.2,8. 2,257.2,7. 7,"2, 709.1",9. 7,. 16
June-,,530,9.9,864,9.7,308.4,13.7,395. 1,11.9,"2, 902. 6",10.4,.18
July -,,509,9.5,860,9.7,208.1,9.2,323.7,9.7,"2,995.5",10.7,.19
August,,498,9. 3,864,9. 7,158.1,7. 0,307.5,9. 3,"2, 571.0",9. 2,. 14
,September - 541,,10. 1,883,10.0,268.9,11.9,367.6,11.1,"2, 953. 9",10.6,.20
October,,523,9.8,885,10.0,193.9,8.6,297.2,8.9,"2, 484. 5",8.9,.15
November,,350,6.5,671,7.6,230.3,10.2,351.1,10.6,"3, 025. 8",10.8,.18
December,,209,3.9,475,5. 4,90.9,4.0,181.7,5. 5,"2, 135.4",7. 6,. 14
