0,1,2,3,4,5
,,,Agricultural,,
,,,Implement,,
,,,Workers of,,
,,,America,,
,,,(Ind.),,
"Oct. 18,",17,International liar-,International,"40, 400",3-year agreement provided 3 percent annual increase plus 12 cents effec-
1973,,vomiter Co.,"Union, United",,"1973; and 3-percent annual improvement factor increase effec-tive Oct.	1,"
,,Interstate,"Automobile,",,"1973; and 3 -percent annual improvement factor increasetive October 1,"
,,,Aerospace and,,"effective both October 7,1974, and October  6,	1975; 35 of current 40 cents"
,,,Agricultural,,cost-of-living allowance incorporated into base rates after the initial wage
,,,Implement,,increase and clause revised to provide quarterly adjustments of 1 cent an
,,,Workers of,,Retirement elegibilityhour for each 0.3 point movement in the BLS-CPI.
,,,America;,,provisions and benefits liberalized; improved dental plan.
,,,International,,
,,,Association of,,
,,,Machinists,,
,,,and Aero-,,
,,,space,,
,,,Workers,,
"Nov. 5,",7,Associated Under-,Laborers. Inter-,"30,000",wage	increases of between 25 to 50 cents in3-year contract providing:
1973,,ground Contractors,national Union,,"same wage increase for the1973,	the first year effective November 12,"
,,Inc.,of North,,second year; improvements were made in vacation and holiday benefits.
,,"Bloom Field Hills,",America,,
,,Mich.,,,
"Nov. 5,",7,League of Voluntary,"Retail, Whole-","30, 000",Strike called when cost of living council failed  to approve 7.5 percent in-
1973,,Hospitals and,sale and De-,,crease granted to hospital workers under a State arbitration award in July
,,Homes of New,partment,,1973.	Strike was settled when the union accepted a wage hike of 6 percent.
,,York,Store Union,,
,,New York City,,,
