0,1,2,3,4,5,6,7,8,9
,100.0,15.7,14.9,12.3,17.9,16.0,12.5,4.9,5.8
All workers -----------------,,,,,,,,,
,,,,,,,,••,
,,1.1,1.1,1.1,2.0,2.0,,",8",1.1
,10.9,,,,,,,,
,,5.2,3.9,3.9,6.6,6.4,5.6,2.2,2.6
20 and under 100,36.4,,,,,,,,
,,5.2,4.4,3.0,4.4,3.6,2.7,.8,1.0
-----------100 and under 250	-----,25.2,,,,,,,,
,15.3,3.0,3.3,2.1,2.5,2.0,1.2,.5,.5
250 and under 500,,,,,,,,,
,,.7,1.3,1.2,1.1,.9,.7,.3,.3
"-500 and under 1,000 ---",6.4,,,,,,,,
,5.0,.4,.8,.9,1.0,.8,.5,.3,.3
"-	 -1,000 and under 5,000 -",,,,,,,,,
"- -	-5,000 and under 10,000 -- - -",.4,(a),.,.1,.1,.1,(e),,
,,,,.1,.1,.1,.1,,()
"------------------------10 ,000 and over",.5,(a),(a),,,,,(a),
,,,,,Workers involved (percent),,,,
,,12.3,12.8,"17,6",21.8,18.5,8.9,4.1,4.0
--------------------All worker •,100.0,,,,,,,,
,,,,,,,(a),,
,.3,(a),(a),(a),.1,.1,,(a),(a)
6 and under 20	----- ----- - 	- - -,,,,,,,,,
,,,.5,.5,.8,.8,.7,.3,.3
20 and under 100,4.5,.7,,,,,,,
,,,1.7,1.2,1.7,1.3,1.1,.3,.4
------------------- -100 and under 250,9.7,2.0,,,,,,,
,,,2.7,1.8,2.1,1.7,1.1,.4,.4
-----------250 and under 500,12.5,2.5,,,,,,,
,,1.1,2.2,1.9,1.8,1.5,,.4,.4
"------- ---------500 and under 1,000",10.5,,,,,,,,
,,1.5,3.8,4.1,4.9,4.4,,1.5,1.5
"1,000 and under 5,000 ------",23.9,,,,,,,,
,6.2,.6,1.0,1.1,1.2,1.7,;6,,
"5,000 and under 10,000 -------------------",,,,,,,,,
,,,.8,7.0,9.3,7.2,2.2,1.2,1.0
,32.5,3.8,,,,,,,
,,,,,Days of idle (percent),,,,
,,1.0,2.2,3.9,10.9,1 9. 4,21.4,14.3,26.8
,100.0,,,,,,,,
,,,,,,.1,.1,.1,.3
,.6,(a),(a),(a),(a),,,,
,,,.1,.1,.5,.9,1.6,1.1,2.8
20 and under 100 ----------------------,7.2,.1,,,,,,,
,,.2,.3,.3,1.0,1.6,2.5,1.2,3.1
- - - --	100 and under 250 -,10.2,,,,,,,,
,,,.4,.5,1.2,2.0,2.4,1.6,3.7
----------------------250 end under 500,12.0,.2,,,,,,,
,,.1,.4,.5,1.0,1.7,2.4,1.9,2.9
"500 and under 1,000",10.9,,,,,,,,
,,,.6,1.0,2.7,4.7,4.9,5.0,9.9
"-----------------1,000 and under 5,000",29.0,,,,,,,,
,,,,.2,.7,1.4,1.8,,
"5,	 anclunder 10,000 -----------------------",4.4,)(a,.2,,,,,,
,,,,,,,5.6,3.5,4.0
,25.7,3.,.2,1.2,4.0,6.9,,,
