0,1,2,3,4,5,6,7,8,9,10,11
,"Table 6. Work stoppages by industry group and size, 1974",,,,,,,,,,
,,,,6,20,100,25D,500,"1,003","5,333","10,000"
,,,TOTAL,AND UNDER,AND UNDER,AND UNDER,AND UNDER,,AND UNDER AND UNDER AND UDDER,,'PORKERS
,INDUSTRY GROUP,,,,,,,,,,
,,,,20,100,250,500,"1,000","5,000","10,30)",OR
,,,,WORKERS',WORKERS,WORKERS,WORKERS,WORKERS,WORKERS,WORKERS,FORE
,,,,,,STOPPAGES BEGINNING IN YEAR,,,,,
,,,"1/6,074",592,"2,128","1,581",923,426,355,42,27
,ALL INDUSTRIES,,,,,,,,,,
,,,,208,998,788,395,220,191,16,7
MANUFACTURING,,,"1/2,823",,,,,,,,
,,,6,,2,2,,,1,,
ORDNANCE AND ACCESSORIES,,,,,,,,,,,
,,,265,26,110,52,37,27,13,,
,FOOD AND KINDRED PRODUCTS,,,,,,,,,,
TOBACCO MANUFACTURES,,,3,,,1,,,23,,
,,,45,2,13,17,7,1,,2,
TEXTILE MILL PRODUCTS,,,,,,,,,,,
,,,66,5,23,19,10,,3,,
"APPAREL, ETC. 2/",,,,,,,,,,,
,"LUBBER AND WOOD PRODUCTS, EXCEPT",,,,,,,,,,
FURNITURE,,,87,,36,23,11,,,,
,,,88,873,36,25,12,4,5 9,,
,FURNITURE AND FIXTURES,,,,,,,,,,
,PAPER AND ALLIED PRODUCTS,,136,,49,47,18,10,,,
"PRINTING,","PUBLISHING,",AND ALLIED,,,,,,,,,
INDUSTRIES,,,69,17,18,13,8,6,,,
,CHEMICALS AND ALLIED PRODUCTS,,156,13,60,50,12,14,66 2,,
,PETROLEUM REFINING AND RELATED,,,,,,,,,,
INDUSTRIES,,,25,3,7,11,,,,,
,RUBBER AND MISCELLANEOUS PLASTICS,,,,,,,,,,
,,,126,12,45,29,18,14,,,
PRODUCTS,,,,,,,,,,,
,LEATHER AND LEATHER PRODUCTS,,15,,3,5,3,39,,,
,,,167,22,70,43,14,,9,,
,"STONE, CLAY, AND GLASS PRODUCTS",,,,,,,,,,
,,,225,8,62,87,39,16,11,1,1
,PRIMARY METAL INDUSTRIES,,,,,,,,,,
,,,423,29,178,119,52,30,14,1,-
,FABRICATED METAL PRODUCTS  3/,,,,,,,,,,
,,,401,20,144,104,63,3D,34,6,-
,"MACHINERY, EXCEPT ELECTRICAL",,,,,,,,,,
,"ELECTRICAL MACHINERY, EQUIPMENT, AND",,,,,,,,,,
,,,220,21,50,66,,15,18,3,3
SUPPLIES,,,,,,,,,,,
,,,197,,53,41,31,24,38,5,2
,TRANSPORTATION EQUIPMENT,,,,,,,,,,
,,,41,327,8,14,8,,,,
"INSTRUMENTS, ETC. 4/",,,,,,,,34,61,,
,MISCELLANEOUS MANUFACTURING INDUSTRIES.,,69,,31,20,,,,,
,,,,384,"1,131",793,528,206,164,26,21
,NONN ► MUFAXTURING,,"1/3,253",,,,,,,,
,,,13,,4,3,1,,3,2,
,"AGRICULTURE, FORESTRY, AND FISHERIES",,,,,,,,,,
,,,"1,053",23,253,381,287,69,30,,3
811110,,,,,,,,,,,
,,,688,88,229,152,85,54,56,13,11
,CONTRACT CONSTRUCTION,,,,,,,,,,
,"TRANSPORTATION, COMMUNICATION,",,,,,,,,,,
,,,32D,61,140,,25,18,23,2,3
,"ELECTRIC, GAS, AND SANITARY SERVICES.",,,,,,,,,,
,,,543,125,269,77,35,21,18,1,3
,WHOLESALE AND RETAIL TRADE,,,,,,,,,,
,"FINANCE, INSURANCE, AND REAL ESTATE",,29,10,16,1,,2,,,
,,,220,51,96,39,14,12,,,
SERVICES,,,,,,,,,,,
,,,384,26,124,92,81,30,26,,1
GOVERNMENT 5/,,,,,,,,,,,
,,,,,,WORKERS INVOLVED (IN THOUSANDS),,,,,
