year,forgings,foundries,motor,steel
1958,44.4,192.4,606.5,531.4
1959,46.3,211.8,692.3,515.3
1960,43.2,204.7,724.1,577.1
1961,39.3,186.7,632.3,526.5
1962,41.2,193.6,691.7,522.3
1963,41.4,198.1,741.3,520
1964,41.6,212.3,752.9,556.7
1965,44.1,227,842.7,580.2
1966,49.6,240.8,861.6,571.4
1967,50.2,231.3,815.8,555.5
1968,49.5,225.7,873.7,555.5
1969,50.6,235.1,911.4,561.1
1970,47.4,228.9,797.3,546.3
1971,44.9,217.9,842.6,497.3
1972,45.7,222.1,849.3,491.9
1973,49.8,238.8,955.3,518.4
1974,52.1,247.3,890.8,522
