year,aircraft,electronics,forge,foundry,motor,ordnance,ship
1958,NA,NA,NA,NA,NA,NA,NA
1959,-6.54,19.23,4.28,10.08,14.15,28.72,-4.24
1960,-12.86,9.47,-6.7,-3.35,4.59,8.11,-4.85
1961,-2.9,4.07,-9.03,-8.79,-12.68,11,3.76
1962,4.71,9.51,4.83,3.7,9.39,8.27,-1.21
1963,0.13,-1.35,0.49,2.32,7.17,0.42,0.79
1964,-5.29,0.88,0.48,7.17,1.56,-8.14,1.13
1965,3.11,15.97,6.01,6.92,11.93,-7.42,10.36
1966,20.68,26.54,12.47,6.08,2.24,15.54,11.4
1967,10.66,-0.95,1.21,-3.95,-5.32,21.58,-2.51
1968,2.21,-0.91,-1.39,-2.42,7.1,6.56,0.71
1969,-5.59,3.3,2.22,4.16,4.31,-6.45,0.71
1970,-16.87,-7.39,-6.32,-2.64,-12.52,-23.5,-6.55
1971,-20.25,-11.26,-5.27,-4.81,5.68,-21.12,-1.58
1972,-4.22,9.67,1.78,1.93,0.8,-4.14,5.74
1973,4.27,17.77,8.97,7.52,12.48,-0.16,4.2
1974,1.93,2.56,4.62,3.56,-6.75,-3.34,6.95
