year,aircraft,electronics,forge,foundry,motor,ordnance,ship
1958,1.6,2.2,3.2,2.8,5.3,1,9.6
1959,1.5,1,1.9,1.7,5.1,0.7,9.1
1960,1.7,1.9,2.7,2.7,4.2,0.9,8.8
1961,1.3,1.7,3.3,2,4.5,0.7,8.6
1962,1,1.5,1.4,1.4,3.4,0.9,7.9
1963,1.1,2.1,1.2,1.2,2.4,1.2,8.2
1964,1.2,1.7,1.2,0.9,2.2,1.8,7.7
1965,0.7,0.8,0.5,0.7,2.7,0.8,5.8
1966,0.3,0.6,0.3,0.9,3.2,0.4,4.8
1967,5,1.6,0.8,1.1,3.3,0.7,5.4
1968,0.7,1,0.5,0.9,2.6,0.7,4.6
1969,1,0.8,0.6,0.7,2.9,1.2,3.7
1970,2.2,2.3,2.1,2,4,2.3,4.6
1971,1.9,1.2,1.6,1.4,2.4,1.7,5.3
1972,9,0.6,0.5,0.8,1.9,0.7,4.2
1973,0.7,0.4,0.3,0.4,1.2,1,3.3
1974,0.5,1.4,0.5,0.7,3.9,1,2.2
