year,aircraft,electronics,forge,foundry,motor,ordnance,ship
1958,0.21,1.23,7.21,1.46,0.87,0.63,7.82
1959,0.21,0.47,4.1,0.8,0.74,0.34,7.74
1960,0.27,0.81,6.25,1.32,0.58,0.41,7.87
1961,0.21,0.7,8.4,1.07,0.71,0.29,7.41
1962,0.16,0.56,3.4,0.72,0.49,0.34,6.89
1963,0.17,0.8,2.9,0.61,0.32,0.45,7.1
1964,0.2,0.64,2.88,0.42,0.29,0.74,6.59
1965,0.11,0.26,1.13,0.31,0.32,0.35,4.5
1966,0.04,0.15,0.6,0.37,0.37,0.15,3.34
1967,0.6,0.42,1.59,0.48,0.4,0.22,3.86
1968,0.08,0.26,1.01,0.4,0.3,0.21,3.26
1969,0.12,0.2,1.19,0.3,0.32,0.38,2.61
1970,0.33,0.63,4.43,0.87,0.5,0.95,3.47
1971,0.36,0.37,3.56,0.64,0.28,0.89,4.06
1972,1.76,0.17,1.09,0.36,0.22,0.38,3.04
1973,0.13,0.1,0.6,0.17,0.13,0.55,2.29
1974,0.09,0.33,0.96,0.28,0.44,0.57,1.43
