year,aircraft,electronics,forge,foundry,motor,ordnance,ship
1958,1.4,1.7,0.6,1,0.9,2.9,3.6
1959,1.5,3.4,1.3,2.4,1.8,2.5,3
1960,1.4,2.4,1.1,1.2,1.4,1.9,3.6
1961,1.7,2.8,1.2,1.4,0.9,2.1,3.3
1962,2.1,3,1.2,2,1.5,NA,3.2
1963,1.7,2.3,1.4,2.1,1.4,1.6,3.6
1964,1.4,2.7,1.6,2.7,2,1.1,4.8
1965,2.5,4.1,2.2,3.2,2.4,1.8,5.1
1966,3.6,4.7,2.9,4,2.5,3.3,5
1967,2.6,2.7,1.8,3.1,2.1,3.3,4.6
1968,1.8,3,2.2,3.7,2.6,2.8,4.9
1969,1.4,3.7,2.9,4.9,2.5,1.8,5
1970,0.7,1.7,1.7,3,1.5,0.9,3.7
1971,0.7,2,1.2,2.2,1.2,0.9,3.9
1972,1,3.3,2.1,3.2,1.9,1.6,3.9
1973,1.5,4.4,2.7,4.5,2.4,1.4,4.8
1974,1.5,2.8,2.8,3.9,1.5,1.4,4.9
