year,forgings,foundries,motor,steel
1958,102.87,86.86,101.24,108.54
1959,114.11,97.04,111.38,123.38
1960,115.74,96.61,115.21,117.04
1961,119.1,98.81,114.69,123.84
1962,126.48,106.52,127.67,128.31
1963,131.93,113.28,132.68,134.4
1964,137.7,119.84,138.03,140.15
1965,148.86,125.72,147.63,141.86
1966,154.51,128.57,147.23,145.71
1967,150.06,127.71,144.84,145.16
1968,162.68,139.86,168.09,155.86
1969,175.55,150.23,170.56,168.51
1970,172.8,151.03,170.07,168.38
1971,183.41,164.43,194.46,181.43
1972,209.66,183.99,220.16,210.12
1973,236.75,206.54,237.51,230.74
1974,246.34,213.03,239.54,263.08
