year,aircraft,electronics,forge,foundry,motor,ordnance,ship
1958,NA,NA,NA,NA,NA,NA,NA
1959,5.31,6,10.93,11.72,10.02,3.64,5.3
1960,3.56,3.03,1.43,-0.44,3.44,2.12,3.95
1961,3.85,5.46,2.9,2.28,-0.45,4.28,6.13
1962,4.61,1.99,6.2,7.8,11.32,3.16,3.75
1963,2.05,0.93,4.31,6.35,3.92,3.28,5.2
1964,2.12,4.13,4.37,5.79,4.03,1.91,0.23
1965,5.48,3.6,8.1,4.91,6.96,6.87,-0.18
1966,8.67,3.17,3.8,2.27,-0.27,2,7.66
1967,2.55,2.14,-2.88,-0.67,-1.62,-0.87,1.12
1968,3.45,7.07,8.41,9.51,16.05,2.02,4.07
1969,6.12,4.44,7.91,7.41,1.47,2.13,6.95
1970,4.44,5.39,-1.57,0.53,-0.29,5.82,1.89
1971,4.34,5.72,6.14,8.87,14.34,8.41,3
1972,10.02,6.13,14.31,11.9,13.22,8.11,6.1
1973,7.49,4.56,12.92,12.26,7.88,6.11,3.33
1974,5.18,5.24,4.05,3.14,0.85,8.02,6.35
