year,aircraft,electronics,forge,foundry,motor,ordnance,ship
1958,40.5,39,38.1,37.6,39.7,40.8,39.1
1959,40.7,40,39.9,40.1,41.1,41.3,39.2
1960,40.9,39.5,39.5,38.8,41,40.9,39.3
1961,41.4,40.2,39.7,38.9,40.1,41.1,40
1962,41.8,40,40.8,40.5,42.7,41.2,40.4
1963,41.5,39.6,41.1,41.8,42.8,41.1,41
1964,41.4,39.9,41.6,42.8,43,40.5,40.7
1965,42,40.4,42.9,43.5,44.2,41.9,40.5
1966,43.3,40.4,42.8,43,42.8,42.2,41.5
1967,42.6,39.2,41,41.6,40.8,41.7,40.5
1968,42,39.5,41.5,42,43.1,41.5,40.5
1969,41.8,39.4,42.2,42.2,41.6,40.4,40.7
1970,41,38.9,40,40.6,40.3,40.5,39.9
1971,40.7,39.2,39.7,40.7,41.2,41.6,39.5
1972,41.6,40,41.6,42.2,43,42,39.6
1973,41.5,39.9,43.6,43.3,43.5,41.8,38.7
1974,40.5,39,42.4,42.1,40.6,41.7,38.1
