year,aircraft,electronics,forge,foundry,motor,ordnance,ship
1958,1.9,1.1,NA,1.5,2.3,1.8,NA
1959,2.1,2,NA,2.7,3.1,2.2,NA
1960,2.2,1.6,NA,2.1,3.2,2,NA
1961,2.5,1.9,NA,2.1,2.6,1.9,NA
1962,2.9,2,NA,2.9,4.2,2.3,NA
1963,2.6,1.8,NA,3.7,4.4,2.4,NA
1964,2.5,2.1,NA,4.7,5,1.8,NA
1965,3.3,2.4,NA,5.5,6.2,3,NA
1966,5,3,NA,5.3,4.9,3.9,NA
1967,4.4,2,NA,4.2,3.4,3.8,NA
1968,3.8,2.1,NA,4.9,5.8,3.5,NA
1969,3.4,2.2,NA,5.1,4.2,2.5,NA
1970,2.7,1.7,NA,3.9,3.2,2.2,NA
1971,2.3,1.8,NA,3.7,3.7,2.6,NA
1972,3,2.7,NA,4.8,4.9,3.1,NA
1973,3.4,3,NA,6.2,5.9,3.3,NA
1974,3.2,2.2,NA,5,3.4,3.2,NA
