year,aircraft,electronics,forge,foundry,motor,ordnance,ship
1958,0.12,0.73,1.13,0.31,0.08,0.63,1.39
1959,0.17,0.89,1.73,0.57,1.16,0.59,1.36
1960,0.16,0.69,1.39,0.39,0.08,0.5,1.52
1961,0.15,0.66,1.53,0.37,0.08,0.45,1.38
1962,0.17,0.71,1.7,0.52,0.87,0.45,1.4
1963,0.16,0.61,1.69,0.56,0.07,0.38,1.39
1964,0.15,0.64,1.92,0.66,0.09,0.37,1.54
1965,0.18,0.72,2.49,0.79,0.12,0.49,1.71
1966,0.21,0.77,3.23,1.16,0.16,0.57,2.02
1967,0.19,0.62,2.79,1.04,0.16,0.54,1.71
1968,0.18,0.63,2.83,1.2,0.15,0.56,1.91
1969,0.16,0.69,3.56,1.45,0.18,0.57,2.11
1970,0.12,0.52,2.53,1.05,0.14,0.45,1.66
1971,0.11,0.46,2,0.69,0.95,0.42,1.53
1972,0.14,0.62,2.19,0.9,0.12,0.49,1.52
1973,0.17,0.72,3.01,1.21,0.14,0.6,1.88
1974,0.15,0.58,3.07,1.05,0.12,0.51,1.69
