year,aircraft,electronics,forge,foundry,motor,ordnance,ship
1958,2.8,3.9,4.1,3.8,6.6,NA,12.1
1959,3.2,3.6,3.2,3.5,6.7,2.4,11.4
1960,3.3,4.3,3.7,4,5.5,2.4,11.2
1961,2.6,4.1,4.4,3.4,5.8,2.3,10.8
1962,2.5,4.3,2.5,3.2,5.2,2.7,10.2
1963,2.5,4.6,2.5,3.2,4.2,2.7,10.6
1964,2.6,4.1,2.5,3.3,4.1,3.4,10.2
1965,2.3,4,2.2,3.6,4.7,2.5,9
1966,2.6,4.7,2.8,4.8,5.7,2.7,8.9
1967,2.7,5.1,3,4.7,5.5,3.2,8.9
1968,2.7,4.5,2.7,4.8,5,3.4,8.6
1969,2.8,4.7,3.4,5.6,5.7,3.9,8
1970,3.5,5.3,4.2,5.6,6.1,4,8.1
1971,3,3.7,3.1,3.9,4,3,8.6
1972,2,3.8,2.3,3.9,3.8,2.2,7.8
1973,2.1,4.5,2.8,4.7,3.5,2.7,7.5
1974,1.9,5,3.1,4.7,6.1,2.5,6.5
