year,aircraft,electronics,forge,foundry,motor,ordnance,ship
1958,censusMIC,censusMIC,MICplus,MICplus,censusMIC,censusMIC,censusMIC
1959,censusMIC,censusMIC,MICplus,MICplus,censusMIC,censusMIC,censusMIC
1960,censusMIC,censusMIC,MICplus,MICplus,censusMIC,censusMIC,censusMIC
1961,censusMIC,censusMIC,MICplus,MICplus,censusMIC,censusMIC,censusMIC
1962,censusMIC,censusMIC,MICplus,MICplus,censusMIC,censusMIC,censusMIC
1963,censusMIC,censusMIC,MICplus,MICplus,censusMIC,censusMIC,censusMIC
1964,censusMIC,censusMIC,MICplus,MICplus,censusMIC,censusMIC,censusMIC
1965,censusMIC,censusMIC,MICplus,MICplus,censusMIC,censusMIC,censusMIC
1966,censusMIC,censusMIC,MICplus,MICplus,censusMIC,censusMIC,censusMIC
1967,censusMIC,censusMIC,MICplus,MICplus,censusMIC,censusMIC,censusMIC
1968,censusMIC,censusMIC,MICplus,MICplus,censusMIC,censusMIC,censusMIC
1969,censusMIC,censusMIC,MICplus,MICplus,censusMIC,censusMIC,censusMIC
1970,censusMIC,censusMIC,MICplus,MICplus,censusMIC,censusMIC,censusMIC
1971,censusMIC,censusMIC,MICplus,MICplus,censusMIC,censusMIC,censusMIC
1972,censusMIC,censusMIC,MICplus,MICplus,censusMIC,censusMIC,censusMIC
1973,censusMIC,censusMIC,MICplus,MICplus,censusMIC,censusMIC,censusMIC
1974,censusMIC,censusMIC,MICplus,MICplus,censusMIC,censusMIC,censusMIC
