year,aircraft,electronics,forge,foundry,motor,ordnance,ship
1958,NA,NA,NA,NA,NA,NA,NA
1959,14.86,57.71,5.83,4.53,9.61,18.77,3.06
1960,14.81,56.23,6.02,4.64,9.45,19.23,3.13
1961,14.56,56.3,6.11,4.71,9.52,19.25,3.1
1962,14.43,57.84,5.83,4.55,9.19,19.36,3.05
1963,13.81,56.99,5.8,4.44,9.2,18.64,3.12
1964,13.26,57.21,5.29,4.19,8.95,18.12,3.17
1965,13.25,58.94,5.22,4.41,8.26,17.89,3.03
1966,14.24,60.11,5.24,4.82,8.55,20.24,3.13
1967,15.24,57.91,5.98,5.27,8.83,23.27,3.86
1968,15.07,56.5,6.26,5.1,8.17,25.77,3.9
1969,14.81,56.37,5.93,4.98,8.39,26.63,4.08
1970,14.15,53.44,6.12,5.2,8.87,25.38,4.22
1971,13.63,52.84,5.79,4.91,8.62,23.17,4.44
1972,13.84,54.38,5.25,4.59,8.91,22.96,4.92
1973,14.63,55.69,5.42,5.03,9.69,24.04,5.77
1974,15.4,54.98,5.76,5.5,9.81,24.42,6.69
