year,aircraft,appliances,durgoods,electronics,forgings,foundries,furniture,manufacturing,motor,ordnance,other_transport,ship,steel
1958,2.4,3.6,3.5,4,2.9,2.8,3.8,3.6,4.8,3.7,6.3,11.6,2.8
1959,2.3,3.6,4.2,5,3.2,4.2,4.5,4.2,5.9,3.2,7.2,11.1,3.3
1960,2.4,3.4,3.5,4,2.8,2.9,3.9,3.8,4.5,NA,7.2,11.4,2
1961,2.8,3.8,3.9,4.7,2.8,3.5,4.1,4.1,5.1,2.9,7.8,10.5,3.5
1962,2.9,3.5,3.8,4.5,2.5,3.5,4.5,4.1,5,2.9,8.2,10.3,2.6
1963,2.4,3.7,3.6,4,2.4,3.5,4.4,3.9,4.1,2.5,8,9.7,3.2
1964,2.1,3.3,3.7,4.5,2.8,3.8,4.8,4,4.1,NA,8.3,11.5,2.9
1965,3.2,4,4.1,5.4,2.5,4.1,5.5,4.3,4.7,2.9,8.2,9.8,2.3
1966,4.2,5.1,4.8,5.7,3.3,5,6.6,5,5.5,4,8.4,8.9,2.9
1967,3.1,3.9,4.1,4.2,2.3,4.2,5.6,4.4,4.3,3.9,9.6,8.6,2.5
1968,2.3,4.3,4.3,4.5,2.7,4.8,6.3,4.6,4.9,3.4,9.4,9.1,3
1969,2,4.5,4.4,4.9,3.4,5.8,6.4,4.7,4.7,2.4,8.6,8.3,3.3
1970,1.4,4.1,3.5,3,2.8,4.5,4.9,4,4.4,1.7,7.9,7.3,2.7
1971,1.7,3.7,3.5,3.6,2.4,3.6,5.3,3.9,3.3,1.9,8.2,8.6,3.5
1972,2,4.4,4.1,4.4,2.9,4.4,6.4,4.4,3.6,2.6,8.8,8.1,3.1
1973,2.3,4.7,4.4,5.3,3.1,5.3,6.9,4.8,3.5,2.2,8,7.9,2.5
1974,2.1,4,3.8,3.6,3.3,4.6,5.5,4.2,3.9,2.2,7,7.4,2
