year,aircraft,appliances,durgoods,electronics,forgings,foundries,furniture,manufacturing,motor,ordnance,other_transport,ship,steel
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,-6.54,6.3,6.15,19.23,4.28,10.08,6.71,4.58,14.15,28.72,20.83,-4.24,-3.03
1960,-12.86,-1.02,0.92,9.47,-6.7,-3.35,-0.52,0.73,4.59,8.11,-6.61,-4.85,11.99
1961,-2.9,-4.63,-4.11,4.07,-9.03,-8.79,-4.05,-2.8,-12.68,11,-6.77,3.76,-8.77
1962,4.71,1.42,4.52,9.51,4.83,3.7,4.79,3.23,9.39,8.27,16.83,-1.21,-0.8
1963,0.13,3.46,1.43,-1.35,0.49,2.32,1.25,0.84,7.17,0.42,20.34,0.79,-0.44
1964,-5.29,3.15,2.08,0.88,0.48,7.17,4.1,1.64,1.56,-8.14,19.01,1.13,7.06
1965,3.11,3.05,6.01,15.97,6.01,6.92,6.11,4.56,11.93,-7.42,13.02,10.36,4.22
1966,20.68,8.83,8.44,26.54,12.47,6.08,7.15,6.38,2.24,15.54,10.65,11.4,-1.52
1967,10.66,-2.83,1.37,-0.95,1.21,-3.95,-1.32,1.21,-5.32,21.58,5.99,-2.51,-2.78
1968,2.21,2.57,1.63,-0.91,-1.39,-2.42,3.56,1.72,7.1,6.56,25.89,0.71,0
1969,-5.59,4.24,2.31,3.3,2.22,4.16,2.61,1.95,4.31,-6.45,23.76,0.71,1.01
1970,-16.87,-1.66,-5.88,-7.39,-6.32,-2.64,-4.98,-4.06,-12.52,-23.5,6.4,-6.55,-2.64
1971,-20.25,-2.72,-5.34,-11.26,-5.27,-4.81,0.26,-4.02,5.68,-21.12,18.4,-1.58,-8.97
1972,-4.22,3.97,3.86,9.67,1.78,1.93,9.2,2.79,0.8,-4.14,23.5,5.74,-1.09
1973,4.27,5.59,7.57,17.77,8.97,7.52,6.38,5.12,12.48,-0.16,2.95,4.2,5.39
1974,1.93,-4.18,0.47,2.56,4.62,3.56,-3.51,-0.11,-6.75,-3.34,-22.12,6.95,0.69
