year,aircraft,appliances,durgoods,electronics,forgings,foundries,furniture,manufacturing,motor,ordnance,other_transport,ship,steel
1958,0.21,1.69,0.03,1.23,7.21,1.46,0.67,0.02,0.87,0.63,11.11,7.82,0.49
1959,0.21,1.4,0.02,0.47,4.1,0.8,0.47,0.01,0.74,0.34,10.92,7.74,0.08
1960,0.27,1.8,0.03,0.81,6.25,1.32,0.55,0.01,0.58,0.41,21.54,7.87,0.61
1961,0.21,1.42,0.02,0.7,8.4,1.07,0.57,0.01,0.71,0.29,12.54,7.41,0.28
1962,0.16,1.2,0.02,0.56,3.4,0.72,0.47,0.01,0.49,0.34,9.89,6.89,0.54
1963,0.17,0.9,0.02,0.8,2.9,0.61,0.41,0.01,0.32,0.45,6.57,7.1,0.33
1964,0.2,0.75,0.02,0.64,2.88,0.42,0.32,0.01,0.29,0.74,5.13,6.59,0.09
1965,0.11,0.73,0.01,0.26,1.13,0.31,0.23,0.01,0.32,0.35,4.19,4.5,0.22
1966,0.04,0.44,0.01,0.15,0.6,0.37,0.17,0.01,0.37,0.15,4.73,3.34,0.09
1967,0.6,0.63,0.01,0.42,1.59,0.48,0.24,0.01,0.4,0.22,2.83,3.86,0.16
1968,0.08,0.45,0.01,0.26,1.01,0.4,0.17,0.01,0.3,0.21,1.77,3.26,0.25
1969,0.12,0.37,0.01,0.2,1.19,0.3,0.14,0.01,0.32,0.38,2.2,2.61,0.05
1970,0.33,0.71,0.02,0.63,4.43,0.87,0.3,0.01,0.5,0.95,2.24,3.47,0.22
1971,0.36,0.95,0.02,0.37,3.56,0.64,0.24,0.01,0.28,0.89,1.14,4.06,0.6
1972,1.76,0.48,0.01,0.17,1.09,0.36,0.14,0.01,0.22,0.38,0.86,3.04,0.16
1973,0.13,0.36,0.01,0.1,0.6,0.17,0.13,0,0.13,0.55,1.43,2.29,0.08
1974,0.09,1.01,0.01,0.33,0.96,0.28,0.33,0.01,0.44,0.57,3.75,1.43,0.13
